Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Belgorod Oblast, all devices
December 2017;508 010;0,75;
January 2018;490 865;0,72;
February 2018;535 236;0,73;
March 2018;471 530;0,75;
April 2018;531 763;0,84;
May 2018;386 645;0,66;
June 2018;362 856;0,59;
July 2018;363 752;0,61;
August 2018;507 345;0,75;
September 2018;614 728;0,79;
October 2018;542 789;0,76;
November 2018;563 169;0,78;
December 2018;563 095;0,77;
January 2019;546 085;0,78;
February 2019;558 899;0,76;
March 2019;515 542;0,77;
April 2019;545 305;0,84;
May 2019;396 550;0,67;
June 2019;373 408;0,62;
July 2019;362 383;0,61;
August 2019;487 802;0,77;
September 2019;572 738;0,80;
October 2019;566 481;0,77;
November 2019;635 016;0,82;
December 2019;631 993;0,80;
January 2020;593 571;0,79;
February 2020;604 744;0,75;
March 2020;873 672;0,81;
April 2020;970 158;0,94;
May 2020;558 510;0,74;
June 2020;452 914;0,65;
July 2020;426 768;0,62;
August 2020;575 337;0,76;
September 2020;662 410;0,76;
October 2020;714 643;0,77;
November 2020;785 882;0,86;
December 2020;719 140;0,82;
January 2021;766 148;0,87;
February 2021;876 429;0,89;
March 2021;878 334;0,89;
April 2021;913 357;0,93;
May 2021;666 379;0,71;
June 2021;554 815;0,64;
July 2021;568 848;0,64;
August 2021;775 969;0,79;
September 2021;833 583;0,79;
October 2021;899 973;0,80;
November 2021;1 009 351;0,89;
December 2021;898 677;0,80;
January 2022;821 884;0,75;
February 2022;953 457;0,79;
March 2022;847 012;0,75;
April 2022;973 726;0,86;
May 2022;627 691;0,63;
June 2022;549 282;0,56;
July 2022;545 043;0,56;
August 2022;734 742;0,68;
September 2022;798 532;0,67;
October 2022;1 043 513;0,79;
November 2022;1 041 304;0,78;
December 2022;857 868;0,68;
January 2023;808 500;0,68;
February 2023;936 693;0,73;
March 2023;861 385;0,71;
April 2023;960 339;0,81;
May 2023;545 584;0,56;
June 2023;471 861;0,49;
July 2023;477 829;0,51;
August 2023;696 057;0,68;
September 2023;850 100;0,73;
October 2023;790 972;0,69;
November 2023;886 913;0,76;
December 2023;732 526;0,63;
January 2024;779 005;0,68;
February 2024;694 646;0,64;
March 2024;779 464;0,75;
April 2024;793 568;0,77;
May 2024;492 812;0,57;
June 2024;438 441;0,52;
July 2024;410 953;0,49;
August 2024;637 409;0,68;
September 2024;786 317;0,74;
October 2024;799 885;0,72;
November 2024;899 242;0,77;
