Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Mordovia, all devices
December 2017;226 823;0,76;
January 2018;220 989;0,75;
February 2018;234 736;0,75;
March 2018;207 496;0,74;
April 2018;205 954;0,81;
May 2018;141 544;0,58;
June 2018;138 216;0,58;
July 2018;142 626;0,60;
August 2018;221 833;0,78;
September 2018;273 118;0,82;
October 2018;232 220;0,77;
November 2018;256 703;0,83;
December 2018;243 094;0,78;
January 2019;229 647;0,78;
February 2019;242 830;0,78;
March 2019;214 108;0,76;
April 2019;224 600;0,84;
May 2019;160 520;0,66;
June 2019;140 902;0,59;
July 2019;142 397;0,60;
August 2019;214 502;0,79;
September 2019;258 308;0,83;
October 2019;254 701;0,80;
November 2019;305 740;0,88;
December 2019;293 263;0,84;
January 2020;278 341;0,80;
February 2020;291 741;0,81;
March 2020;398 614;0,81;
April 2020;335 458;0,81;
May 2020;255 052;0,73;
June 2020;188 780;0,63;
July 2020;180 244;0,60;
August 2020;269 109;0,75;
September 2020;331 293;0,80;
October 2020;327 037;0,74;
November 2020;373 379;0,86;
December 2020;338 142;0,83;
January 2021;349 653;0,89;
February 2021;379 852;0,91;
March 2021;365 867;0,88;
April 2021;367 522;0,90;
May 2021;277 821;0,74;
June 2021;205 858;0,62;
July 2021;218 839;0,63;
August 2021;323 089;0,79;
September 2021;360 009;0,81;
October 2021;385 932;0,82;
November 2021;436 814;0,90;
December 2021;379 441;0,81;
January 2022;370 740;0,81;
February 2022;415 944;0,82;
March 2022;377 629;0,79;
April 2022;408 931;0,86;
May 2022;269 742;0,66;
June 2022;224 037;0,57;
July 2022;226 738;0,59;
August 2022;319 455;0,70;
September 2022;362 961;0,74;
October 2022;375 696;0,74;
November 2022;393 094;0,77;
December 2022;343 356;0,68;
January 2023;315 271;0,69;
February 2023;361 276;0,73;
March 2023;303 545;0,67;
April 2023;366 211;0,80;
May 2023;230 034;0,57;
June 2023;195 005;0,50;
July 2023;198 035;0,53;
August 2023;284 738;0,68;
September 2023;359 666;0,75;
October 2023;337 533;0,71;
November 2023;360 388;0,75;
December 2023;318 739;0,68;
January 2024;309 864;0,71;
February 2024;299 567;0,67;
March 2024;285 867;0,68;
April 2024;315 730;0,75;
May 2024;213 596;0,61;
June 2024;191 379;0,55;
July 2024;183 023;0,53;
August 2024;257 552;0,69;
September 2024;329 177;0,76;
October 2024;329 502;0,73;
November 2024;382 328;0,80;
