Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Novosibirsk Oblast, all devices
December 2017;1 396 701;0,76;
January 2018;1 419 636;0,78;
February 2018;1 546 691;0,76;
March 2018;1 399 175;0,76;
April 2018;1 500 648;0,80;
May 2018;995 856;0,62;
June 2018;912 604;0,56;
July 2018;965 033;0,59;
August 2018;1 315 291;0,70;
September 2018;1 694 653;0,77;
October 2018;1 456 571;0,74;
November 2018;1 518 590;0,71;
December 2018;1 729 503;0,75;
January 2019;1 547 187;0,73;
February 2019;1 616 967;0,75;
March 2019;1 595 708;0,77;
April 2019;1 630 442;0,80;
May 2019;1 171 376;0,63;
June 2019;1 026 839;0,57;
July 2019;1 045 467;0,59;
August 2019;1 336 968;0,70;
September 2019;1 585 946;0,76;
October 2019;1 477 081;0,71;
November 2019;1 622 359;0,73;
December 2019;1 681 512;0,73;
January 2020;1 616 656;0,74;
February 2020;1 644 840;0,70;
March 2020;2 020 472;0,73;
April 2020;2 003 399;0,78;
May 2020;1 312 515;0,64;
June 2020;1 109 668;0,56;
July 2020;1 106 637;0,55;
August 2020;1 503 029;0,66;
September 2020;1 735 983;0,68;
October 2020;1 778 671;0,66;
November 2020;1 924 230;0,71;
December 2020;1 812 793;0,72;
January 2021;1 887 872;0,79;
February 2021;1 940 126;0,75;
March 2021;1 898 025;0,76;
April 2021;1 695 594;0,74;
May 2021;1 376 794;0,62;
June 2021;1 160 130;0,52;
July 2021;1 217 476;0,53;
August 2021;1 537 736;0,65;
September 2021;1 701 943;0,69;
October 2021;1 687 395;0,69;
November 2021;1 749 134;0,70;
December 2021;1 688 107;0,68;
January 2022;1 710 098;0,67;
February 2022;1 845 227;0,69;
March 2022;1 814 369;0,71;
April 2022;1 831 211;0,73;
May 2022;1 325 254;0,56;
June 2022;1 108 027;0,49;
July 2022;1 159 698;0,49;
August 2022;1 474 135;0,58;
September 2022;1 727 595;0,62;
October 2022;1 762 137;0,62;
November 2022;1 709 437;0,60;
December 2022;1 551 870;0,56;
January 2023;1 484 731;0,57;
February 2023;1 678 093;0,60;
March 2023;1 530 617;0,58;
April 2023;1 606 769;0,65;
May 2023;1 059 094;0,48;
June 2023;933 357;0,43;
July 2023;933 656;0,43;
August 2023;1 288 508;0,55;
September 2023;1 576 484;0,61;
October 2023;1 490 528;0,58;
November 2023;1 522 916;0,58;
December 2023;1 486 548;0,56;
January 2024;1 432 155;0,57;
February 2024;1 372 073;0,55;
March 2024;1 408 928;0,59;
April 2024;1 437 208;0,63;
May 2024;968 884;0,47;
June 2024;896 884;0,44;
July 2024;884 413;0,43;
August 2024;1 247 365;0,56;
September 2024;1 598 958;0,62;
October 2024;1 554 111;0,60;
November 2024;1 658 176;0,63;
