Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;404;0,00060;
январь 2018;410;0,00062;
февраль 2018;650;0,00090;
март 2018;866;0,00133;
апрель 2018;430;0,00068;
май 2018;391;0,00066;
июнь 2018;380;0,00063;
июль 2018;411;0,00070;
август 2018;367;0,00053;
сентябрь 2018;328;0,00041;
октябрь 2018;333;0,00045;
ноябрь 2018;357;0,00049;
декабрь 2018;309;0,00041;
январь 2019;251;0,00034;
февраль 2019;317;0,00041;
март 2019;254;0,00035;
апрель 2019;284;0,00042;
май 2019;275;0,00045;
июнь 2019;302;0,00049;
июль 2019;351;0,00057;
август 2019;298;0,00045;
сентябрь 2019;409;0,00054;
октябрь 2019;370;0,00049;
ноябрь 2019;669;0,00086;
декабрь 2019;375;0,00047;
январь 2020;325;0,00042;
февраль 2020;352;0,00041;
март 2020;402;0,00038;
апрель 2020;349;0,00037;
май 2020;438;0,00056;
июнь 2020;408;0,00056;
июль 2020;323;0,00045;
август 2020;379;0,00047;
сентябрь 2020;439;0,00048;
октябрь 2020;416;0,00044;
ноябрь 2020;500;0,00055;
декабрь 2020;302;0,00033;
январь 2021;264;0,00030;
февраль 2021;324;0,00033;
март 2021;327;0,00033;
апрель 2021;378;0,00038;
май 2021;247;0,00026;
июнь 2021;275;0,00030;
июль 2021;251;0,00027;
август 2021;239;0,00024;
сентябрь 2021;287;0,00027;
октябрь 2021;280;0,00025;
ноябрь 2021;292;0,00026;
декабрь 2021;155;0,00014;
январь 2022;261;0,00024;
февраль 2022;737;0,00062;
март 2022;770;0,00067;
апрель 2022;865;0,00078;
май 2022;1 008;0,00101;
июнь 2022;943;0,00094;
июль 2022;1 065;0,00105;
август 2022;666;0,00061;
сентябрь 2022;717;0,00061;
октябрь 2022;542;0,00046;
ноябрь 2022;609;0,00052;
декабрь 2022;455;0,00039;
январь 2023;550;0,00051;
февраль 2023;689;0,00059;
март 2023;583;0,00054;
апрель 2023;562;0,00053;
май 2023;471;0,00048;
июнь 2023;597;0,00060;
июль 2023;486;0,00049;
август 2023;279;0,00027;
сентябрь 2023;312;0,00027;
октябрь 2023;345;0,00031;
ноябрь 2023;259;0,00023;
декабрь 2023;282;0,00025;
январь 2024;254;0,00024;
февраль 2024;291;0,00026;
март 2024;336;0,00033;
апрель 2024;260;0,00026;
май 2024;319;0,00035;
июнь 2024;350;0,00038;
июль 2024;331;0,00036;
август 2024;371;0,00039;
сентябрь 2024;304;0,00028;
октябрь 2024;353;0,00032;
ноябрь 2024;322;0,00029;
декабрь 2024;235;0,00021;
