Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;66;0,00029;
январь 2018;69;0,00031;
февраль 2018;87;0,00035;
март 2018;86;0,00039;
апрель 2018;77;0,00035;
май 2018;71;0,00033;
июнь 2018;122;0,00058;
июль 2018;82;0,00038;
август 2018;93;0,00039;
сентябрь 2018;78;0,00028;
октябрь 2018;66;0,00026;
ноябрь 2018;92;0,00037;
декабрь 2018;92;0,00035;
январь 2019;71;0,00029;
февраль 2019;68;0,00026;
март 2019;91;0,00038;
апрель 2019;93;0,00039;
май 2019;82;0,00040;
июнь 2019;116;0,00053;
июль 2019;98;0,00046;
август 2019;102;0,00045;
сентябрь 2019;138;0,00054;
октябрь 2019;127;0,00049;
ноябрь 2019;128;0,00047;
декабрь 2019;103;0,00037;
январь 2020;97;0,00036;
февраль 2020;132;0,00044;
март 2020;136;0,00037;
апрель 2020;76;0,00022;
май 2020;104;0,00039;
июнь 2020;82;0,00031;
июль 2020;84;0,00033;
август 2020;62;0,00022;
сентябрь 2020;86;0,00027;
октябрь 2020;73;0,00022;
ноябрь 2020;65;0,00020;
декабрь 2020;90;0,00029;
январь 2021;78;0,00026;
февраль 2021;85;0,00026;
март 2021;97;0,00029;
апрель 2021;90;0,00025;
май 2021;72;0,00022;
июнь 2021;77;0,00027;
июль 2021;81;0,00027;
август 2021;50;0,00014;
сентябрь 2021;79;0,00020;
октябрь 2021;71;0,00018;
ноябрь 2021;93;0,00023;
декабрь 2021;62;0,00015;
январь 2022;106;0,00026;
февраль 2022;335;0,00079;
март 2022;240;0,00059;
апрель 2022;239;0,00060;
май 2022;281;0,00078;
июнь 2022;328;0,00090;
июль 2022;212;0,00058;
август 2022;392;0,00101;
сентябрь 2022;219;0,00052;
октябрь 2022;203;0,00048;
ноябрь 2022;117;0,00027;
декабрь 2022;109;0,00025;
январь 2023;100;0,00025;
февраль 2023;89;0,00021;
март 2023;136;0,00034;
апрель 2023;125;0,00032;
май 2023;65;0,00018;
июнь 2023;230;0,00064;
июль 2023;119;0,00033;
август 2023;98;0,00027;
сентябрь 2023;127;0,00031;
октябрь 2023;56;0,00014;
ноябрь 2023;97;0,00024;
декабрь 2023;76;0,00018;
январь 2024;100;0,00026;
февраль 2024;91;0,00023;
март 2024;59;0,00015;
апрель 2024;81;0,00022;
май 2024;96;0,00029;
июнь 2024;103;0,00030;
июль 2024;102;0,00031;
август 2024;71;0,00021;
сентябрь 2024;124;0,00032;
октябрь 2024;122;0,00030;
ноябрь 2024;129;0,00032;
декабрь 2024;57;0,00014;
