Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Карелия, все устройства
декабрь 2017;76;0,000285;
январь 2018;64;0,000241;
февраль 2018;77;0,000273;
март 2018;73;0,000283;
апрель 2018;61;0,000262;
май 2018;59;0,000275;
июнь 2018;108;0,000511;
июль 2018;80;0,000355;
август 2018;87;0,000332;
сентябрь 2018;52;0,000168;
октябрь 2018;69;0,000246;
ноябрь 2018;73;0,000255;
декабрь 2018;88;0,000290;
январь 2019;57;0,000198;
февраль 2019;94;0,000301;
март 2019;67;0,000228;
апрель 2019;64;0,000228;
май 2019;100;0,000432;
июнь 2019;67;0,000294;
июль 2019;81;0,000360;
август 2019;50;0,000207;
сентябрь 2019;43;0,000152;
октябрь 2019;52;0,000185;
ноябрь 2019;126;0,000434;
декабрь 2019;57;0,000191;
январь 2020;77;0,000268;
февраль 2020;86;0,000276;
март 2020;93;0,000230;
апрель 2020;50;0,000147;
май 2020;91;0,000333;
июнь 2020;52;0,000196;
июль 2020;44;0,000169;
август 2020;92;0,000313;
сентябрь 2020;53;0,000157;
октябрь 2020;38;0,000100;
ноябрь 2020;67;0,000176;
декабрь 2020;75;0,000213;
январь 2021;71;0,000225;
февраль 2021;73;0,000213;
март 2021;69;0,000191;
апрель 2021;36;0,000095;
май 2021;38;0,000113;
июнь 2021;72;0,000248;
июль 2021;64;0,000208;
август 2021;39;0,000108;
сентябрь 2021;31;0,000076;
октябрь 2021;47;0,000115;
ноябрь 2021;75;0,000180;
декабрь 2021;28;0,000066;
январь 2022;41;0,000099;
февраль 2022;211;0,000477;
март 2022;288;0,000673;
апрель 2022;247;0,000593;
май 2022;315;0,000849;
июнь 2022;296;0,000813;
июль 2022;316;0,000864;
август 2022;238;0,000583;
сентябрь 2022;196;0,000453;
октябрь 2022;136;0,000310;
ноябрь 2022;112;0,000258;
декабрь 2022;123;0,000287;
январь 2023;80;0,000201;
февраль 2023;198;0,000452;
март 2023;134;0,000325;
апрель 2023;145;0,000367;
май 2023;189;0,000528;
июнь 2023;149;0,000404;
июль 2023;160;0,000452;
август 2023;71;0,000188;
сентябрь 2023;113;0,000272;
октябрь 2023;90;0,000219;
ноябрь 2023;85;0,000205;
декабрь 2023;86;0,000203;
январь 2024;69;0,000174;
февраль 2024;112;0,000273;
март 2024;79;0,000200;
апрель 2024;68;0,000183;
май 2024;84;0,000259;
июнь 2024;74;0,000223;
июль 2024;41;0,000124;
август 2024;70;0,000204;
сентябрь 2024;63;0,000162;
октябрь 2024;58;0,000144;
ноябрь 2024;82;0,000196;
декабрь 2024;49;0,000119;
