Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;325;0,00045;
январь 2018;279;0,00040;
февраль 2018;300;0,00040;
март 2018;253;0,00038;
апрель 2018;243;0,00037;
май 2018;266;0,00045;
июнь 2018;317;0,00055;
июль 2018;473;0,00080;
август 2018;206;0,00029;
сентябрь 2018;311;0,00039;
октябрь 2018;230;0,00031;
ноябрь 2018;262;0,00036;
декабрь 2018;211;0,00028;
январь 2019;185;0,00025;
февраль 2019;263;0,00034;
март 2019;176;0,00024;
апрель 2019;202;0,00030;
май 2019;244;0,00041;
июнь 2019;259;0,00044;
июль 2019;235;0,00039;
август 2019;194;0,00029;
сентябрь 2019;203;0,00027;
октябрь 2019;229;0,00029;
ноябрь 2019;577;0,00070;
декабрь 2019;299;0,00035;
январь 2020;309;0,00036;
февраль 2020;257;0,00029;
март 2020;183;0,00015;
апрель 2020;211;0,00019;
май 2020;279;0,00033;
июнь 2020;202;0,00026;
июль 2020;218;0,00028;
август 2020;239;0,00026;
сентябрь 2020;266;0,00025;
октябрь 2020;278;0,00022;
ноябрь 2020;333;0,00030;
декабрь 2020;253;0,00025;
январь 2021;214;0,00022;
февраль 2021;198;0,00019;
март 2021;219;0,00021;
апрель 2021;191;0,00019;
май 2021;267;0,00028;
июнь 2021;201;0,00023;
июль 2021;213;0,00024;
август 2021;173;0,00016;
сентябрь 2021;197;0,00016;
октябрь 2021;148;0,00012;
ноябрь 2021;197;0,00016;
декабрь 2021;268;0,00022;
январь 2022;188;0,00015;
февраль 2022;548;0,00042;
март 2022;595;0,00049;
апрель 2022;630;0,00052;
май 2022;683;0,00065;
июнь 2022;795;0,00079;
июль 2022;670;0,00067;
август 2022;646;0,00056;
сентябрь 2022;487;0,00039;
октябрь 2022;523;0,00041;
ноябрь 2022;521;0,00040;
декабрь 2022;423;0,00032;
январь 2023;395;0,00033;
февраль 2023;460;0,00035;
март 2023;331;0,00028;
апрель 2023;336;0,00028;
май 2023;324;0,00031;
июнь 2023;372;0,00037;
июль 2023;384;0,00038;
август 2023;174;0,00015;
сентябрь 2023;221;0,00017;
октябрь 2023;220;0,00017;
ноябрь 2023;219;0,00017;
декабрь 2023;227;0,00017;
январь 2024;167;0,00014;
февраль 2024;280;0,00023;
март 2024;157;0,00014;
апрель 2024;171;0,00015;
май 2024;177;0,00019;
июнь 2024;350;0,00038;
июль 2024;265;0,00029;
август 2024;157;0,00016;
сентябрь 2024;265;0,00023;
октябрь 2024;219;0,00018;
ноябрь 2024;407;0,00033;
декабрь 2024;184;0,00015;
