Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;67;0,000225;
январь 2018;42;0,000143;
февраль 2018;49;0,000158;
март 2018;83;0,000297;
апрель 2018;73;0,000287;
май 2018;119;0,000494;
июнь 2018;77;0,000324;
июль 2018;53;0,000224;
август 2018;74;0,000261;
сентябрь 2018;37;0,000111;
октябрь 2018;92;0,000306;
ноябрь 2018;83;0,000270;
декабрь 2018;95;0,000306;
январь 2019;48;0,000164;
февраль 2019;62;0,000200;
март 2019;39;0,000139;
апрель 2019;66;0,000247;
май 2019;36;0,000149;
июнь 2019;68;0,000288;
июль 2019;80;0,000339;
август 2019;139;0,000517;
сентябрь 2019;52;0,000167;
октябрь 2019;57;0,000180;
ноябрь 2019;115;0,000334;
декабрь 2019;86;0,000246;
январь 2020;53;0,000153;
февраль 2020;74;0,000206;
март 2020;60;0,000122;
апрель 2020;74;0,000179;
май 2020;61;0,000176;
июнь 2020;48;0,000160;
июль 2020;53;0,000176;
август 2020;56;0,000156;
сентябрь 2020;47;0,000113;
октябрь 2020;75;0,000171;
ноябрь 2020;70;0,000161;
декабрь 2020;63;0,000155;
январь 2021;42;0,000106;
февраль 2021;45;0,000108;
март 2021;47;0,000113;
апрель 2021;60;0,000147;
май 2021;33;0,000089;
июнь 2021;36;0,000109;
июль 2021;74;0,000214;
август 2021;76;0,000187;
сентябрь 2021;50;0,000112;
октябрь 2021;18;0,000038;
ноябрь 2021;26;0,000053;
декабрь 2021;34;0,000073;
январь 2022;57;0,000124;
февраль 2022;100;0,000198;
март 2022;181;0,000381;
апрель 2022;156;0,000330;
май 2022;195;0,000480;
июнь 2022;138;0,000354;
июль 2022;189;0,000495;
август 2022;149;0,000327;
сентябрь 2022;163;0,000333;
октябрь 2022;84;0,000167;
ноябрь 2022;88;0,000173;
декабрь 2022;87;0,000173;
январь 2023;76;0,000168;
февраль 2023;103;0,000208;
март 2023;111;0,000247;
апрель 2023;99;0,000218;
май 2023;85;0,000212;
июнь 2023;80;0,000206;
июль 2023;109;0,000292;
август 2023;46;0,000110;
сентябрь 2023;57;0,000119;
октябрь 2023;45;0,000095;
ноябрь 2023;45;0,000093;
декабрь 2023;45;0,000096;
январь 2024;48;0,000110;
февраль 2024;121;0,000270;
март 2024;49;0,000117;
апрель 2024;29;0,000069;
май 2024;51;0,000145;
июнь 2024;130;0,000375;
июль 2024;81;0,000234;
август 2024;59;0,000158;
сентябрь 2024;94;0,000217;
октябрь 2024;48;0,000106;
ноябрь 2024;56;0,000118;
декабрь 2024;66;0,000143;
