Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;6 583;0,00151;
январь 2018;6 578;0,00153;
февраль 2018;8 808;0,00184;
март 2018;7 109;0,00167;
апрель 2018;7 659;0,00184;
май 2018;8 545;0,00215;
июнь 2018;8 190;0,00200;
июль 2018;8 206;0,00200;
август 2018;7 348;0,00157;
сентябрь 2018;7 018;0,00129;
октябрь 2018;7 865;0,00156;
ноябрь 2018;8 288;0,00165;
декабрь 2018;6 054;0,00115;
январь 2019;6 947;0,00135;
февраль 2019;8 170;0,00147;
март 2019;7 614;0,00151;
апрель 2019;7 506;0,00156;
май 2019;7 601;0,00167;
июнь 2019;8 592;0,00186;
июль 2019;7 754;0,00170;
август 2019;7 178;0,00147;
сентябрь 2019;7 849;0,00145;
октябрь 2019;7 118;0,00130;
ноябрь 2019;21 622;0,00383;
декабрь 2019;9 493;0,00165;
январь 2020;9 079;0,00163;
февраль 2020;11 734;0,00187;
март 2020;9 004;0,00115;
апрель 2020;8 604;0,00116;
май 2020;8 648;0,00146;
июнь 2020;8 474;0,00155;
июль 2020;7 617;0,00142;
август 2020;7 024;0,00120;
сентябрь 2020;8 078;0,00120;
октябрь 2020;8 242;0,00117;
ноябрь 2020;8 842;0,00131;
декабрь 2020;6 059;0,00094;
январь 2021;5 861;0,00097;
февраль 2021;6 356;0,00096;
март 2021;7 490;0,00105;
апрель 2021;8 441;0,00108;
май 2021;8 080;0,00108;
июнь 2021;6 197;0,00098;
июль 2021;6 463;0,00099;
август 2021;6 456;0,00082;
сентябрь 2021;7 124;0,00085;
октябрь 2021;6 892;0,00078;
ноябрь 2021;8 022;0,00091;
декабрь 2021;6 589;0,00072;
январь 2022;8 156;0,00094;
февраль 2022;19 039;0,00194;
март 2022;19 188;0,00210;
апрель 2022;23 538;0,00259;
май 2022;25 612;0,00312;
июнь 2022;23 073;0,00282;
июль 2022;23 011;0,00278;
август 2022;17 623;0,00193;
сентябрь 2022;18 142;0,00193;
октябрь 2022;16 654;0,00178;
ноябрь 2022;16 353;0,00175;
декабрь 2022;11 461;0,00124;
январь 2023;12 074;0,00144;
февраль 2023;16 599;0,00179;
март 2023;13 541;0,00162;
апрель 2023;14 259;0,00169;
май 2023;14 253;0,00184;
июнь 2023;18 239;0,00234;
июль 2023;16 232;0,00212;
август 2023;12 175;0,00153;
сентябрь 2023;13 580;0,00158;
октябрь 2023;11 231;0,00134;
ноябрь 2023;13 487;0,00159;
декабрь 2023;12 745;0,00145;
январь 2024;11 499;0,00141;
февраль 2024;18 081;0,00209;
март 2024;11 795;0,00148;
апрель 2024;12 398;0,00156;
май 2024;16 073;0,00222;
июнь 2024;12 099;0,00167;
июль 2024;12 418;0,00171;
август 2024;12 040;0,00160;
сентябрь 2024;11 857;0,00145;
октябрь 2024;13 618;0,00163;
ноябрь 2024;14 435;0,00166;
декабрь 2024;11 172;0,00126;
