Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;134;0,00041;
январь 2018;170;0,00056;
февраль 2018;218;0,00067;
март 2018;170;0,00060;
апрель 2018;125;0,00043;
май 2018;227;0,00084;
июнь 2018;168;0,00062;
июль 2018;189;0,00072;
август 2018;210;0,00069;
сентябрь 2018;138;0,00040;
октябрь 2018;109;0,00034;
ноябрь 2018;146;0,00044;
декабрь 2018;116;0,00034;
январь 2019;112;0,00034;
февраль 2019;149;0,00044;
март 2019;157;0,00048;
апрель 2019;110;0,00036;
май 2019;199;0,00072;
июнь 2019;167;0,00061;
июль 2019;122;0,00046;
август 2019;122;0,00039;
сентябрь 2019;170;0,00049;
октябрь 2019;151;0,00043;
ноябрь 2019;297;0,00079;
декабрь 2019;211;0,00056;
январь 2020;176;0,00047;
февраль 2020;232;0,00060;
март 2020;141;0,00027;
апрель 2020;156;0,00033;
май 2020;145;0,00039;
июнь 2020;136;0,00041;
июль 2020;176;0,00053;
август 2020;157;0,00040;
сентябрь 2020;190;0,00043;
октябрь 2020;160;0,00035;
ноябрь 2020;166;0,00037;
декабрь 2020;140;0,00033;
январь 2021;87;0,00021;
февраль 2021;128;0,00029;
март 2021;74;0,00016;
апрель 2021;88;0,00020;
май 2021;112;0,00026;
июнь 2021;127;0,00033;
июль 2021;55;0,00014;
август 2021;97;0,00022;
сентябрь 2021;106;0,00022;
октябрь 2021;128;0,00026;
ноябрь 2021;93;0,00018;
декабрь 2021;101;0,00019;
январь 2022;99;0,00019;
февраль 2022;361;0,00067;
март 2022;357;0,00070;
апрель 2022;373;0,00072;
май 2022;398;0,00086;
июнь 2022;345;0,00078;
июль 2022;463;0,00105;
август 2022;246;0,00048;
сентябрь 2022;262;0,00048;
октябрь 2022;287;0,00052;
ноябрь 2022;327;0,00055;
декабрь 2022;303;0,00054;
январь 2023;280;0,00054;
февраль 2023;453;0,00084;
март 2023;279;0,00053;
апрель 2023;203;0,00038;
май 2023;308;0,00068;
июнь 2023;302;0,00068;
июль 2023;301;0,00069;
август 2023;151;0,00031;
сентябрь 2023;223;0,00042;
октябрь 2023;129;0,00024;
ноябрь 2023;174;0,00032;
декабрь 2023;142;0,00026;
январь 2024;160;0,00031;
февраль 2024;225;0,00044;
март 2024;140;0,00029;
апрель 2024;177;0,00038;
май 2024;349;0,00086;
июнь 2024;303;0,00077;
июль 2024;226;0,00057;
август 2024;175;0,00041;
сентябрь 2024;157;0,00032;
октябрь 2024;254;0,00051;
ноябрь 2024;180;0,00034;
декабрь 2024;117;0,00023;
