Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;310;0,000366;
январь 2018;296;0,000365;
февраль 2018;293;0,000335;
март 2018;229;0,000290;
апрель 2018;262;0,000315;
май 2018;274;0,000394;
июнь 2018;255;0,000363;
июль 2018;367;0,000505;
август 2018;268;0,000327;
сентябрь 2018;327;0,000342;
октябрь 2018;300;0,000334;
ноябрь 2018;298;0,000334;
декабрь 2018;239;0,000268;
январь 2019;253;0,000289;
февраль 2019;268;0,000297;
март 2019;308;0,000351;
апрель 2019;193;0,000238;
май 2019;232;0,000316;
июнь 2019;234;0,000333;
июль 2019;217;0,000305;
август 2019;239;0,000306;
сентябрь 2019;225;0,000249;
октябрь 2019;260;0,000280;
ноябрь 2019;564;0,000571;
декабрь 2019;340;0,000337;
январь 2020;245;0,000251;
февраль 2020;353;0,000328;
март 2020;320;0,000253;
апрель 2020;293;0,000257;
май 2020;237;0,000245;
июнь 2020;243;0,000269;
июль 2020;321;0,000360;
август 2020;234;0,000225;
сентябрь 2020;293;0,000241;
октябрь 2020;359;0,000289;
ноябрь 2020;476;0,000393;
декабрь 2020;261;0,000223;
январь 2021;216;0,000194;
февраль 2021;207;0,000171;
март 2021;214;0,000180;
апрель 2021;174;0,000156;
май 2021;229;0,000208;
июнь 2021;242;0,000231;
июль 2021;203;0,000188;
август 2021;165;0,000143;
сентябрь 2021;250;0,000195;
октябрь 2021;219;0,000167;
ноябрь 2021;220;0,000162;
декабрь 2021;277;0,000207;
январь 2022;258;0,000195;
февраль 2022;638;0,000441;
март 2022;724;0,000547;
апрель 2022;601;0,000473;
май 2022;627;0,000531;
июнь 2022;606;0,000533;
июль 2022;581;0,000510;
август 2022;506;0,000400;
сентябрь 2022;475;0,000337;
октябрь 2022;610;0,000413;
ноябрь 2022;572;0,000388;
декабрь 2022;479;0,000328;
январь 2023;385;0,000284;
февраль 2023;502;0,000341;
март 2023;442;0,000315;
апрель 2023;317;0,000241;
май 2023;407;0,000348;
июнь 2023;379;0,000331;
июль 2023;562;0,000487;
август 2023;160;0,000129;
сентябрь 2023;199;0,000144;
октябрь 2023;217;0,000158;
ноябрь 2023;184;0,000130;
декабрь 2023;150;0,000107;
январь 2024;170;0,000128;
февраль 2024;233;0,000174;
март 2024;182;0,000145;
апрель 2024;332;0,000273;
май 2024;325;0,000310;
июнь 2024;359;0,000348;
июль 2024;261;0,000251;
август 2024;204;0,000181;
сентябрь 2024;139;0,000108;
октябрь 2024;192;0,000146;
ноябрь 2024;188;0,000138;
декабрь 2024;96;0,000071;
