Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;6;0,0001036;
январь 2018;13;0,0002360;
февраль 2018;10;0,0001675;
март 2018;8;0,0001368;
апрель 2018;14;0,0002269;
май 2018;13;0,0002431;
июнь 2018;16;0,0002836;
июль 2018;15;0,0002751;
август 2018;6;0,0001032;
сентябрь 2018;11;0,0001561;
октябрь 2018;3;0,0000451;
ноябрь 2018;4;0,0000598;
декабрь 2018;7;0,0001085;
январь 2019;13;0,0001972;
февраль 2019;4;0,0000589;
март 2019;6;0,0000895;
апрель 2019;6;0,0000941;
май 2019;2;0,0000355;
июнь 2019;4;0,0000711;
июль 2019;10;0,0001803;
август 2019;12;0,0002042;
сентябрь 2019;15;0,0002149;
октябрь 2019;7;0,0000954;
ноябрь 2019;19;0,0002358;
декабрь 2019;8;0,0000963;
январь 2020;8;0,0001014;
февраль 2020;11;0,0001251;
март 2020;1;0,0000088;
апрель 2020;24;0,0002684;
май 2020;3;0,0000355;
июнь 2020;11;0,0001372;
июль 2020;3;0,0000386;
август 2020;12;0,0001367;
сентябрь 2020;1;0,0000095;
октябрь 2020;14;0,0001209;
ноябрь 2020;17;0,0001590;
декабрь 2020;8;0,0000837;
январь 2021;12;0,0001341;
февраль 2021;16;0,0001648;
март 2021;12;0,0001215;
апрель 2021;19;0,0001928;
май 2021;12;0,0001242;
июнь 2021;7;0,0000785;
июль 2021;2;0,0000226;
август 2021;9;0,0000922;
сентябрь 2021;7;0,0000616;
октябрь 2021;3;0,0000258;
ноябрь 2021;19;0,0001564;
декабрь 2021;6;0,0000499;
январь 2022;13;0,0001072;
февраль 2022;34;0,0002655;
март 2022;30;0,0002499;
апрель 2022;27;0,0002322;
май 2022;56;0,0005040;
июнь 2022;41;0,0003660;
июль 2022;28;0,0001475;
август 2022;43;0,0003319;
сентябрь 2022;21;0,0001654;
октябрь 2022;15;0,0001102;
ноябрь 2022;49;0,0003625;
декабрь 2022;10;0,0000755;
январь 2023;29;0,0002351;
февраль 2023;43;0,0003184;
март 2023;28;0,0002122;
апрель 2023;39;0,0003087;
май 2023;28;0,0002494;
июнь 2023;21;0,0001790;
июль 2023;34;0,0002873;
август 2023;21;0,0001785;
сентябрь 2023;27;0,0002119;
октябрь 2023;34;0,0002673;
ноябрь 2023;22;0,0001654;
декабрь 2023;18;0,0001385;
январь 2024;11;0,0000889;
февраль 2024;22;0,0001774;
март 2024;17;0,0001433;
апрель 2024;28;0,0002409;
май 2024;30;0,0002916;
июнь 2024;28;0,0002586;
июль 2024;19;0,0001781;
август 2024;23;0,0002154;
сентябрь 2024;13;0,0001077;
октябрь 2024;12;0,0000959;
ноябрь 2024;38;0,0002868;
декабрь 2024;4;0,0000315;
