Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;81;0,000255;
январь 2018;97;0,000313;
февраль 2018;74;0,000226;
март 2018;63;0,000208;
апрель 2018;57;0,000190;
май 2018;85;0,000322;
июнь 2018;59;0,000219;
июль 2018;61;0,000225;
август 2018;65;0,000206;
сентябрь 2018;35;0,000095;
октябрь 2018;41;0,000117;
ноябрь 2018;64;0,000188;
декабрь 2018;31;0,000087;
январь 2019;65;0,000187;
февраль 2019;45;0,000124;
март 2019;77;0,000219;
апрель 2019;45;0,000137;
май 2019;83;0,000294;
июнь 2019;77;0,000273;
июль 2019;73;0,000255;
август 2019;69;0,000206;
сентябрь 2019;46;0,000113;
октябрь 2019;50;0,000122;
ноябрь 2019;117;0,000272;
декабрь 2019;64;0,000150;
январь 2020;81;0,000185;
февраль 2020;74;0,000155;
март 2020;76;0,000127;
апрель 2020;80;0,000152;
май 2020;40;0,000102;
июнь 2020;36;0,000098;
июль 2020;51;0,000139;
август 2020;25;0,000057;
сентябрь 2020;121;0,000222;
октябрь 2020;139;0,000225;
ноябрь 2020;128;0,000226;
декабрь 2020;37;0,000073;
январь 2021;46;0,000093;
февраль 2021;58;0,000119;
март 2021;75;0,000148;
апрель 2021;58;0,000120;
май 2021;112;0,000262;
июнь 2021;66;0,000166;
июль 2021;73;0,000182;
август 2021;52;0,000111;
сентябрь 2021;46;0,000087;
октябрь 2021;48;0,000081;
ноябрь 2021;74;0,000131;
декабрь 2021;49;0,000089;
январь 2022;47;0,000085;
февраль 2022;115;0,000197;
март 2022;197;0,000348;
апрель 2022;178;0,000334;
май 2022;172;0,000372;
июнь 2022;197;0,000444;
июль 2022;208;0,000465;
август 2022;148;0,000282;
сентябрь 2022;169;0,000289;
октябрь 2022;187;0,000299;
ноябрь 2022;143;0,000231;
декабрь 2022;89;0,000144;
январь 2023;113;0,000199;
февраль 2023;161;0,000260;
март 2023;132;0,000219;
апрель 2023;133;0,000235;
май 2023;68;0,000142;
июнь 2023;131;0,000289;
июль 2023;107;0,000234;
август 2023;74;0,000144;
сентябрь 2023;104;0,000178;
октябрь 2023;99;0,000172;
ноябрь 2023;89;0,000148;
декабрь 2023;84;0,000142;
январь 2024;108;0,000192;
февраль 2024;127;0,000232;
март 2024;66;0,000126;
апрель 2024;113;0,000234;
май 2024;137;0,000336;
июнь 2024;173;0,000443;
июль 2024;77;0,000195;
август 2024;57;0,000128;
сентябрь 2024;99;0,000187;
октябрь 2024;114;0,000206;
ноябрь 2024;98;0,000167;
декабрь 2024;96;0,000168;
