Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Северная Осетия — Алания, все устройства
декабрь 2017;93;0,00050;
январь 2018;85;0,00048;
февраль 2018;113;0,00059;
март 2018;116;0,00071;
апрель 2018;134;0,00079;
май 2018;97;0,00061;
июнь 2018;126;0,00078;
июль 2018;186;0,00115;
август 2018;143;0,00083;
сентябрь 2018;119;0,00061;
октябрь 2018;117;0,00064;
ноябрь 2018;126;0,00066;
декабрь 2018;61;0,00030;
январь 2019;69;0,00036;
февраль 2019;108;0,00054;
март 2019;102;0,00054;
апрель 2019;143;0,00078;
май 2019;119;0,00072;
июнь 2019;167;0,00101;
июль 2019;103;0,00064;
август 2019;95;0,00056;
сентябрь 2019;84;0,00044;
октябрь 2019;94;0,00048;
ноябрь 2019;173;0,00082;
декабрь 2019;89;0,00040;
январь 2020;115;0,00054;
февраль 2020;171;0,00078;
март 2020;118;0,00043;
апрель 2020;177;0,00070;
май 2020;166;0,00079;
июнь 2020;98;0,00050;
июль 2020;85;0,00044;
август 2020;92;0,00046;
сентябрь 2020;89;0,00038;
октябрь 2020;109;0,00043;
ноябрь 2020;127;0,00052;
декабрь 2020;58;0,00024;
январь 2021;38;0,00017;
февраль 2021;90;0,00037;
март 2021;75;0,00031;
апрель 2021;122;0,00050;
май 2021;62;0,00026;
июнь 2021;77;0,00034;
июль 2021;62;0,00028;
август 2021;79;0,00032;
сентябрь 2021;89;0,00032;
октябрь 2021;122;0,00043;
ноябрь 2021;107;0,00037;
декабрь 2021;142;0,00047;
январь 2022;183;0,00063;
февраль 2022;364;0,00116;
март 2022;420;0,00145;
апрель 2022;553;0,00186;
май 2022;850;0,00318;
июнь 2022;708;0,00269;
июль 2022;693;0,00263;
август 2022;580;0,00208;
сентябрь 2022;528;0,00169;
октябрь 2022;335;0,00104;
ноябрь 2022;420;0,00128;
декабрь 2022;338;0,00103;
январь 2023;312;0,00104;
февраль 2023;378;0,00119;
март 2023;305;0,00102;
апрель 2023;304;0,00101;
май 2023;258;0,00097;
июнь 2023;306;0,00117;
июль 2023;177;0,00068;
август 2023;139;0,00050;
сентябрь 2023;113;0,00037;
октябрь 2023;163;0,00051;
ноябрь 2023;112;0,00034;
декабрь 2023;132;0,00040;
январь 2024;82;0,00027;
февраль 2024;151;0,00049;
март 2024;72;0,00026;
апрель 2024;114;0,00040;
май 2024;85;0,00034;
июнь 2024;124;0,00050;
июль 2024;118;0,00047;
август 2024;85;0,00033;
сентябрь 2024;103;0,00036;
октябрь 2024;141;0,00049;
ноябрь 2024;151;0,00048;
декабрь 2024;69;0,00022;
