Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;107;0,00048;
январь 2018;92;0,00041;
февраль 2018;255;0,00107;
март 2018;129;0,00057;
апрель 2018;109;0,00048;
май 2018;86;0,00051;
июнь 2018;106;0,00069;
июль 2018;96;0,00060;
август 2018;73;0,00033;
сентябрь 2018;59;0,00022;
октябрь 2018;99;0,00039;
ноябрь 2018;124;0,00050;
декабрь 2018;104;0,00042;
январь 2019;122;0,00048;
февраль 2019;102;0,00039;
март 2019;69;0,00027;
апрель 2019;38;0,00016;
май 2019;71;0,00039;
июнь 2019;84;0,00052;
июль 2019;83;0,00049;
август 2019;68;0,00030;
сентябрь 2019;85;0,00031;
октябрь 2019;76;0,00028;
ноябрь 2019;428;0,00152;
декабрь 2019;136;0,00048;
январь 2020;93;0,00031;
февраль 2020;120;0,00038;
март 2020;98;0,00025;
апрель 2020;71;0,00019;
май 2020;61;0,00023;
июнь 2020;99;0,00044;
июль 2020;92;0,00042;
август 2020;112;0,00040;
сентябрь 2020;98;0,00029;
октябрь 2020;97;0,00025;
ноябрь 2020;133;0,00037;
декабрь 2020;55;0,00016;
январь 2021;36;0,00011;
февраль 2021;78;0,00023;
март 2021;79;0,00022;
апрель 2021;57;0,00016;
май 2021;84;0,00030;
июнь 2021;45;0,00018;
июль 2021;31;0,00012;
август 2021;74;0,00022;
сентябрь 2021;93;0,00024;
октябрь 2021;88;0,00023;
ноябрь 2021;96;0,00023;
декабрь 2021;76;0,00018;
январь 2022;54;0,00013;
февраль 2022;314;0,00074;
март 2022;294;0,00071;
апрель 2022;409;0,00108;
май 2022;626;0,00202;
июнь 2022;482;0,00174;
июль 2022;506;0,00177;
август 2022;416;0,00113;
сентябрь 2022;315;0,00075;
октябрь 2022;305;0,00070;
ноябрь 2022;380;0,00086;
декабрь 2022;241;0,00055;
январь 2023;233;0,00057;
февраль 2023;361;0,00082;
март 2023;320;0,00074;
апрель 2023;285;0,00073;
май 2023;300;0,00098;
июнь 2023;259;0,00096;
июль 2023;224;0,00082;
август 2023;222;0,00063;
сентябрь 2023;180;0,00044;
октябрь 2023;172;0,00042;
ноябрь 2023;248;0,00059;
декабрь 2023;152;0,00037;
январь 2024;140;0,00035;
февраль 2024;186;0,00046;
март 2024;136;0,00034;
апрель 2024;182;0,00050;
май 2024;183;0,00065;
июнь 2024;152;0,00061;
июль 2024;169;0,00067;
август 2024;202;0,00064;
сентябрь 2024;137;0,00036;
октябрь 2024;251;0,00063;
ноябрь 2024;277;0,00068;
декабрь 2024;117;0,00030;
