Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;2;0,00000319;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;2;0,00000229;
февраль 2020;2;0,00000214;
март 2020;0;0;
апрель 2020;0;0;
май 2020;1;0,00000118;
июнь 2020;1;0,00000131;
июль 2020;1;0,00000132;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;2;0,00000198;
январь 2021;3;0,00000313;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;1;0,00000088;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;1;0,00000078;
март 2022;0;0;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;1;0,00000085;
сентябрь 2022;0;0;
октябрь 2022;3;0,00000233;
ноябрь 2022;4;0,00000297;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;1;0,00000077;
март 2023;0;0;
апрель 2023;2;0,00000173;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;1;0,00000087;
сентябрь 2023;1;0,00000080;
октябрь 2023;4;0,00000323;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;1;0,00000082;
март 2024;1;0,00000085;
апрель 2024;1;0,00000087;
май 2024;1;0,00000103;
июнь 2024;1;0,00000104;
июль 2024;1;0,00000104;
август 2024;2;0,00000189;
сентябрь 2024;0;0;
октябрь 2024;3;0,00000244;
ноябрь 2024;0;0;
декабрь 2024;5;0,00000406;
