Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;105 312;0,27;
январь 2018;105 169;0,28;
февраль 2018;111 355;0,27;
март 2018;91 016;0,25;
апрель 2018;79 700;0,22;
май 2018;79 339;0,22;
июнь 2018;87 854;0,25;
июль 2018;94 364;0,27;
август 2018;101 864;0,26;
сентябрь 2018;117 337;0,26;
октябрь 2018;106 095;0,26;
ноябрь 2018;79 806;0,20;
декабрь 2018;116 389;0,27;
январь 2019;114 878;0,29;
февраль 2019;112 662;0,26;
март 2019;96 263;0,25;
апрель 2019;81 412;0,21;
май 2019;80 913;0,23;
июнь 2019;94 561;0,27;
июль 2019;94 607;0,27;
август 2019;96 667;0,26;
сентябрь 2019;110 423;0,27;
октябрь 2019;105 941;0,25;
ноябрь 2019;89 789;0,21;
декабрь 2019;121 644;0,27;
январь 2020;114 238;0,27;
февраль 2020;104 482;0,22;
март 2020;82 879;0,13;
апрель 2020;98 404;0,18;
май 2020;102 191;0,23;
июнь 2020;111 070;0,26;
июль 2020;102 829;0,25;
август 2020;102 801;0,23;
сентябрь 2020;110 933;0,22;
октябрь 2020;110 693;0,21;
ноябрь 2020;91 430;0,18;
декабрь 2020;123 078;0,25;
январь 2021;130 304;0,27;
февраль 2021;143 690;0,27;
март 2021;131 010;0,24;
апрель 2021;121 006;0,21;
май 2021;125 637;0,24;
июнь 2021;116 518;0,24;
июль 2021;117 361;0,24;
август 2021;121 863;0,22;
сентябрь 2021;119 993;0,20;
октябрь 2021;125 063;0,20;
ноябрь 2021;110 030;0,17;
декабрь 2021;156 648;0,24;
январь 2022;140 521;0,22;
февраль 2022;152 881;0,22;
март 2022;143 115;0,21;
апрель 2022;128 496;0,20;
май 2022;125 488;0,22;
июнь 2022;129 340;0,22;
июль 2022;127 491;0,22;
август 2022;116 085;0,18;
сентябрь 2022;112 755;0,17;
октябрь 2022;115 678;0,17;
ноябрь 2022;91 423;0,13;
декабрь 2022;122 158;0,18;
январь 2023;105 406;0,17;
февраль 2023;115 414;0,17;
март 2023;92 746;0,15;
апрель 2023;85 939;0,14;
май 2023;87 755;0,15;
июнь 2023;92 352;0,16;
июль 2023;95 738;0,17;
август 2023;90 650;0,16;
сентябрь 2023;99 704;0,15;
октябрь 2023;94 027;0,15;
ноябрь 2023;74 846;0,12;
декабрь 2023;98 270;0,15;
январь 2024;88 705;0,14;
февраль 2024;84 497;0,14;
март 2024;79 201;0,13;
апрель 2024;70 412;0,12;
май 2024;75 554;0,15;
июнь 2024;85 090;0,17;
июль 2024;79 342;0,16;
август 2024;82 039;0,16;
сентябрь 2024;88 983;0,15;
октябрь 2024;83 855;0,14;
ноябрь 2024;72 644;0,11;
декабрь 2024;97 442;0,15;
