Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;241 733;0,40;
январь 2018;231 127;0,38;
февраль 2018;241 204;0,36;
март 2018;201 188;0,33;
апрель 2018;169 516;0,29;
май 2018;165 291;0,30;
июнь 2018;187 362;0,34;
июль 2018;193 300;0,35;
август 2018;218 063;0,33;
сентябрь 2018;261 195;0,35;
октябрь 2018;225 058;0,33;
ноябрь 2018;180 127;0,27;
декабрь 2018;241 916;0,35;
январь 2019;239 233;0,36;
февраль 2019;236 957;0,33;
март 2019;206 462;0,31;
апрель 2019;172 491;0,26;
май 2019;177 565;0,30;
июнь 2019;202 373;0,33;
июль 2019;203 213;0,33;
август 2019;215 222;0,33;
сентябрь 2019;245 147;0,33;
октябрь 2019;231 542;0,32;
ноябрь 2019;203 813;0,27;
декабрь 2019;255 525;0,34;
январь 2020;244 294;0,34;
февраль 2020;220 137;0,28;
март 2020;177 202;0,17;
апрель 2020;185 527;0,20;
май 2020;197 079;0,27;
июнь 2020;216 703;0,31;
июль 2020;201 284;0,29;
август 2020;207 593;0,28;
сентябрь 2020;225 208;0,26;
октябрь 2020;223 160;0,25;
ноябрь 2020;189 358;0,22;
декабрь 2020;236 283;0,28;
январь 2021;244 817;0,30;
февраль 2021;261 447;0,29;
март 2021;240 142;0,26;
апрель 2021;208 361;0,23;
май 2021;212 644;0,25;
июнь 2021;203 354;0,25;
июль 2021;212 070;0,25;
август 2021;216 646;0,23;
сентябрь 2021;217 593;0,22;
октябрь 2021;231 632;0,23;
ноябрь 2021;197 212;0,19;
декабрь 2021;262 466;0,25;
январь 2022;229 875;0,22;
февраль 2022;260 465;0,23;
март 2022;244 536;0,23;
апрель 2022;218 052;0,21;
май 2022;210 404;0,22;
июнь 2022;211 922;0,23;
июль 2022;213 417;0,23;
август 2022;202 391;0,19;
сентябрь 2022;198 009;0,18;
октябрь 2022;191 844;0,17;
ноябрь 2022;155 805;0,14;
декабрь 2022;199 686;0,18;
январь 2023;183 584;0,18;
февраль 2023;201 188;0,18;
март 2023;162 019;0,16;
апрель 2023;150 502;0,15;
май 2023;153 605;0,16;
июнь 2023;166 744;0,18;
июль 2023;176 772;0,20;
август 2023;164 819;0,17;
сентябрь 2023;187 585;0,18;
октябрь 2023;174 928;0,17;
ноябрь 2023;139 413;0,13;
декабрь 2023;176 733;0,16;
январь 2024;167 824;0,17;
февраль 2024;160 465;0,15;
март 2024;146 099;0,15;
апрель 2024;133 498;0,14;
май 2024;133 366;0,16;
июнь 2024;147 027;0,18;
июль 2024;150 897;0,18;
август 2024;152 744;0,18;
сентябрь 2024;170 309;0,17;
октябрь 2024;168 599;0,16;
ноябрь 2024;142 246;0,13;
декабрь 2024;181 941;0,17;
