Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Новгородская область, все устройства
декабрь 2017;76 482;0,33;
январь 2018;72 963;0,31;
февраль 2018;75 472;0,29;
март 2018;62 094;0,26;
апрель 2018;51 516;0,23;
май 2018;53 356;0,25;
июнь 2018;60 277;0,27;
июль 2018;64 149;0,29;
август 2018;70 443;0,28;
сентябрь 2018;81 468;0,29;
октябрь 2018;70 656;0,27;
ноябрь 2018;56 929;0,22;
декабрь 2018;77 674;0,29;
январь 2019;76 279;0,30;
февраль 2019;73 723;0,27;
март 2019;62 150;0,25;
апрель 2019;52 082;0,21;
май 2019;52 496;0,24;
июнь 2019;62 664;0,27;
июль 2019;62 873;0,28;
август 2019;65 878;0,28;
сентябрь 2019;77 870;0,28;
октябрь 2019;74 061;0,27;
ноябрь 2019;64 425;0,23;
декабрь 2019;87 999;0,30;
январь 2020;80 624;0,28;
февраль 2020;72 174;0,23;
март 2020;55 356;0,14;
апрель 2020;60 547;0,18;
май 2020;63 803;0,23;
июнь 2020;70 226;0,26;
июль 2020;67 004;0,25;
август 2020;69 182;0,23;
сентябрь 2020;75 445;0,21;
октябрь 2020;71 160;0,20;
ноябрь 2020;56 784;0,17;
декабрь 2020;79 958;0,25;
январь 2021;80 483;0,27;
февраль 2021;82 857;0,25;
март 2021;84 538;0,24;
апрель 2021;76 600;0,21;
май 2021;77 867;0,23;
июнь 2021;73 890;0,25;
июль 2021;75 200;0,25;
август 2021;78 496;0,22;
сентябрь 2021;77 983;0,20;
октябрь 2021;79 684;0,20;
ноябрь 2021;69 816;0,17;
декабрь 2021;96 232;0,23;
январь 2022;83 483;0,21;
февраль 2022;88 960;0,20;
март 2022;88 582;0,21;
апрель 2022;79 783;0,19;
май 2022;78 510;0,21;
июнь 2022;80 954;0,21;
июль 2022;77 842;0,21;
август 2022;74 216;0,18;
сентябрь 2022;70 708;0,16;
октябрь 2022;72 528;0,16;
ноябрь 2022;58 350;0,13;
декабрь 2022;73 798;0,17;
январь 2023;64 077;0,16;
февраль 2023;72 952;0,17;
март 2023;59 680;0,14;
апрель 2023;54 952;0,13;
май 2023;58 066;0,16;
июнь 2023;62 704;0,17;
июль 2023;66 734;0,18;
август 2023;59 611;0,15;
сентябрь 2023;63 667;0,15;
октябрь 2023;64 421;0,15;
ноябрь 2023;50 537;0,12;
декабрь 2023;64 160;0,15;
январь 2024;62 065;0,15;
февраль 2024;59 112;0,14;
март 2024;54 974;0,14;
апрель 2024;50 018;0,13;
май 2024;50 175;0,15;
июнь 2024;61 115;0,18;
июль 2024;58 588;0,17;
август 2024;58 409;0,16;
сентябрь 2024;63 081;0,16;
октябрь 2024;62 170;0,15;
ноябрь 2024;51 142;0,12;
декабрь 2024;67 958;0,16;
