Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;140 032;0,27;
январь 2018;134 060;0,26;
февраль 2018;137 226;0,25;
март 2018;111 177;0,22;
апрель 2018;93 776;0,20;
май 2018;92 878;0,21;
июнь 2018;109 161;0,24;
июль 2018;114 461;0,26;
август 2018;126 922;0,24;
сентябрь 2018;143 499;0,24;
октябрь 2018;132 069;0,25;
ноябрь 2018;103 317;0,19;
декабрь 2018;142 103;0,25;
январь 2019;144 316;0,27;
февраль 2019;145 300;0,25;
март 2019;120 408;0,23;
апрель 2019;103 734;0,21;
май 2019;108 435;0,24;
июнь 2019;121 303;0,26;
июль 2019;119 896;0,26;
август 2019;124 237;0,25;
сентябрь 2019;149 419;0,26;
октябрь 2019;139 569;0,24;
ноябрь 2019;120 086;0,19;
декабрь 2019;173 894;0,27;
январь 2020;164 563;0,26;
февраль 2020;143 464;0,21;
март 2020;103 622;0,12;
апрель 2020;127 325;0,16;
май 2020;145 621;0,23;
июнь 2020;142 789;0,25;
июль 2020;134 663;0,23;
август 2020;135 272;0,21;
сентябрь 2020;146 488;0,19;
октябрь 2020;150 860;0,19;
ноябрь 2020;124 676;0,16;
декабрь 2020;170 846;0,23;
январь 2021;172 381;0,25;
февраль 2021;184 414;0,24;
март 2021;164 753;0,22;
апрель 2021;144 559;0,20;
май 2021;154 519;0,22;
июнь 2021;145 883;0,23;
июль 2021;152 229;0,23;
август 2021;160 228;0,21;
сентябрь 2021;155 778;0,19;
октябрь 2021;164 433;0,19;
ноябрь 2021;147 945;0,17;
декабрь 2021;207 822;0,24;
январь 2022;183 021;0,22;
февраль 2022;207 352;0,22;
март 2022;180 937;0,21;
апрель 2022;169 207;0,20;
май 2022;165 357;0,22;
июнь 2022;171 368;0,23;
июль 2022;170 104;0,23;
август 2022;153 272;0,18;
сентябрь 2022;151 322;0,17;
октябрь 2022;151 018;0,16;
ноябрь 2022;121 844;0,13;
декабрь 2022;158 179;0,17;
январь 2023;141 440;0,17;
февраль 2023;150 385;0,16;
март 2023;125 232;0,15;
апрель 2023;116 031;0,14;
май 2023;119 141;0,15;
июнь 2023;129 577;0,17;
июль 2023;137 905;0,18;
август 2023;132 520;0,16;
сентябрь 2023;141 382;0,15;
октябрь 2023;132 819;0,15;
ноябрь 2023;106 866;0,12;
декабрь 2023;144 306;0,16;
январь 2024;133 347;0,16;
февраль 2024;127 611;0,14;
март 2024;112 330;0,13;
апрель 2024;112 235;0,13;
май 2024;112 128;0,15;
июнь 2024;131 502;0,18;
июль 2024;124 758;0,17;
август 2024;124 764;0,17;
сентябрь 2024;133 697;0,16;
октябрь 2024;127 070;0,15;
ноябрь 2024;104 749;0,12;
декабрь 2024;140 901;0,16;
