Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;352 231;0,32;
январь 2018;341 438;0,30;
февраль 2018;355 649;0,29;
март 2018;307 498;0,28;
апрель 2018;275 222;0,25;
май 2018;249 333;0,25;
июнь 2018;267 281;0,29;
июль 2018;291 482;0,30;
август 2018;314 986;0,28;
сентябрь 2018;376 787;0,28;
октябрь 2018;316 153;0,27;
ноябрь 2018;247 896;0,21;
декабрь 2018;339 695;0,29;
январь 2019;324 939;0,28;
февраль 2019;316 908;0,27;
март 2019;284 278;0,25;
апрель 2019;227 761;0,22;
май 2019;235 567;0,24;
июнь 2019;259 290;0,27;
июль 2019;260 963;0,26;
август 2019;269 668;0,26;
сентябрь 2019;319 141;0,26;
октябрь 2019;289 116;0,24;
ноябрь 2019;245 259;0,20;
декабрь 2019;329 989;0,27;
январь 2020;299 603;0,25;
февраль 2020;281 091;0,21;
март 2020;198 776;0,11;
апрель 2020;223 851;0,16;
май 2020;248 305;0,20;
июнь 2020;246 752;0,22;
июль 2020;255 865;0,23;
август 2020;259 208;0,21;
сентябрь 2020;285 630;0,20;
октябрь 2020;297 307;0,19;
ноябрь 2020;249 380;0,16;
декабрь 2020;336 664;0,24;
январь 2021;335 255;0,24;
февраль 2021;339 610;0,23;
март 2021;310 737;0,20;
апрель 2021;261 816;0,18;
май 2021;287 454;0,20;
июнь 2021;277 004;0,21;
июль 2021;266 795;0,21;
август 2021;294 055;0,19;
сентябрь 2021;299 295;0,18;
октябрь 2021;308 085;0,18;
ноябрь 2021;272 325;0,15;
декабрь 2021;368 389;0,21;
январь 2022;329 311;0,19;
февраль 2022;367 433;0,19;
март 2022;340 085;0,19;
апрель 2022;301 202;0,17;
май 2022;301 063;0,19;
июнь 2022;289 934;0,20;
июль 2022;300 985;0,20;
август 2022;291 064;0,17;
сентябрь 2022;276 747;0,15;
октябрь 2022;271 164;0,14;
ноябрь 2022;218 836;0,11;
декабрь 2022;281 303;0,15;
январь 2023;252 158;0,15;
февраль 2023;279 389;0,15;
март 2023;228 794;0,13;
апрель 2023;202 246;0,12;
май 2023;217 414;0,14;
июнь 2023;231 704;0,16;
июль 2023;250 666;0,17;
август 2023;231 161;0,14;
сентябрь 2023;253 340;0,14;
октябрь 2023;240 925;0,13;
ноябрь 2023;190 315;0,10;
декабрь 2023;252 371;0,14;
январь 2024;231 188;0,13;
февраль 2024;229 070;0,13;
март 2024;205 926;0,12;
апрель 2024;203 408;0,12;
май 2024;189 539;0,14;
июнь 2024;222 926;0,16;
июль 2024;221 536;0,16;
август 2024;225 922;0,15;
сентябрь 2024;253 476;0,15;
октябрь 2024;242 228;0,14;
ноябрь 2024;205 223;0,11;
декабрь 2024;262 851;0,15;
