Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;1 754 297;0,40;
январь 2018;1 713 235;0,40;
февраль 2018;1 814 574;0,37;
март 2018;1 492 207;0,35;
апрель 2018;1 329 025;0,31;
май 2018;1 310 627;0,32;
июнь 2018;1 452 229;0,35;
июль 2018;1 565 194;0,38;
август 2018;1 730 314;0,37;
сентябрь 2018;2 054 222;0,37;
октябрь 2018;1 845 375;0,36;
ноябрь 2018;1 407 607;0,28;
декабрь 2018;1 986 558;0,37;
январь 2019;2 058 883;0,40;
февраль 2019;2 085 246;0,37;
март 2019;1 749 739;0,34;
апрель 2019;1 506 059;0,31;
май 2019;1 561 678;0,34;
июнь 2019;1 712 960;0,37;
июль 2019;1 704 614;0,37;
август 2019;1 825 154;0,37;
сентябрь 2019;2 116 255;0,39;
октябрь 2019;1 958 024;0,35;
ноябрь 2019;1 599 101;0,28;
декабрь 2019;2 170 166;0,37;
январь 2020;2 100 525;0,37;
февраль 2020;1 857 762;0,29;
март 2020;1 446 081;0,18;
апрель 2020;1 748 509;0,23;
май 2020;1 949 243;0,32;
июнь 2020;1 963 790;0,36;
июль 2020;1 844 526;0,34;
август 2020;1 885 734;0,32;
сентябрь 2020;1 986 697;0,29;
октябрь 2020;1 965 199;0,28;
ноябрь 2020;1 541 532;0,22;
декабрь 2020;2 056 530;0,31;
январь 2021;2 084 840;0,34;
февраль 2021;2 272 929;0,34;
март 2021;2 147 074;0,30;
апрель 2021;2 134 269;0,27;
май 2021;2 037 575;0,27;
июнь 2021;1 752 864;0,27;
июль 2021;1 929 211;0,29;
август 2021;2 273 560;0,28;
сентябрь 2021;2 325 546;0,27;
октябрь 2021;2 389 134;0,27;
ноябрь 2021;1 990 642;0,22;
декабрь 2021;2 667 710;0,29;
январь 2022;2 588 343;0,29;
февраль 2022;2 973 869;0,30;
март 2022;2 813 899;0,30;
апрель 2022;2 528 374;0,27;
май 2022;2 391 502;0,29;
июнь 2022;2 343 073;0,28;
июль 2022;2 369 919;0,28;
август 2022;2 248 814;0,24;
сентябрь 2022;2 171 677;0,23;
октябрь 2022;2 112 416;0,22;
ноябрь 2022;1 624 098;0,17;
декабрь 2022;2 096 340;0,22;
январь 2023;1 866 057;0,22;
февраль 2023;2 063 820;0,22;
март 2023;1 627 147;0,19;
апрель 2023;1 545 323;0,18;
май 2023;1 505 480;0,19;
июнь 2023;1 590 740;0,20;
июль 2023;1 671 991;0,21;
август 2023;1 600 108;0,20;
сентябрь 2023;1 760 677;0,20;
октябрь 2023;1 621 440;0,19;
ноябрь 2023;1 272 214;0,15;
декабрь 2023;1 682 184;0,19;
январь 2024;1 598 590;0,19;
февраль 2024;1 547 829;0,17;
март 2024;1 374 985;0,17;
апрель 2024;1 312 338;0,16;
май 2024;1 305 134;0,18;
июнь 2024;1 437 158;0,19;
июль 2024;1 449 768;0,20;
август 2024;1 499 623;0,19;
сентябрь 2024;1 611 807;0,19;
октябрь 2024;1 539 533;0,18;
ноябрь 2024;1 295 647;0,14;
декабрь 2024;1 732 663;0,19;
