Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;442 526;0,28;
январь 2018;462 966;0,27;
февраль 2018;530 807;0,26;
март 2018;457 694;0,24;
апрель 2018;403 241;0,22;
май 2018;382 519;0,22;
июнь 2018;469 054;0,26;
июль 2018;484 128;0,27;
август 2018;516 182;0,25;
сентябрь 2018;597 300;0,26;
октябрь 2018;542 883;0,25;
ноябрь 2018;434 179;0,20;
декабрь 2018;586 858;0,26;
январь 2019;578 162;0,27;
февраль 2019;574 423;0,25;
март 2019;505 797;0,24;
апрель 2019;441 378;0,21;
май 2019;441 637;0,24;
июнь 2019;490 502;0,26;
июль 2019;488 456;0,25;
август 2019;494 817;0,24;
сентябрь 2019;535 886;0,24;
октябрь 2019;496 312;0,23;
ноябрь 2019;417 147;0,19;
декабрь 2019;572 460;0,27;
январь 2020;523 825;0,25;
февраль 2020;484 692;0,21;
март 2020;396 152;0,13;
апрель 2020;429 936;0,17;
май 2020;430 987;0,23;
июнь 2020;396 178;0,24;
июль 2020;409 079;0,24;
август 2020;412 421;0,22;
сентябрь 2020;426 259;0,20;
октябрь 2020;430 640;0,19;
ноябрь 2020;371 490;0,16;
декабрь 2020;503 622;0,25;
январь 2021;484 381;0,25;
февраль 2021;531 142;0,24;
март 2021;472 346;0,22;
апрель 2021;395 906;0,20;
май 2021;436 939;0,22;
июнь 2021;443 529;0,23;
июль 2021;453 055;0,23;
август 2021;458 409;0,21;
сентябрь 2021;430 968;0,18;
октябрь 2021;445 917;0,18;
ноябрь 2021;395 570;0,16;
декабрь 2021;516 072;0,22;
январь 2022;463 726;0,19;
февраль 2022;529 788;0,20;
март 2022;477 090;0,20;
апрель 2022;444 179;0,19;
май 2022;438 485;0,21;
июнь 2022;421 866;0,20;
июль 2022;428 806;0,21;
август 2022;395 301;0,17;
сентябрь 2022;382 220;0,15;
октябрь 2022;386 813;0,15;
ноябрь 2022;304 557;0,12;
декабрь 2022;382 737;0,15;
январь 2023;349 743;0,15;
февраль 2023;379 459;0,15;
март 2023;307 914;0,13;
апрель 2023;305 211;0,13;
май 2023;306 071;0,14;
июнь 2023;322 780;0,16;
июль 2023;347 161;0,17;
август 2023;328 951;0,15;
сентябрь 2023;354 947;0,14;
октябрь 2023;341 305;0,14;
ноябрь 2023;269 953;0,11;
декабрь 2023;352 878;0,14;
январь 2024;324 122;0,14;
февраль 2024;315 330;0,13;
март 2024;274 434;0,12;
апрель 2024;274 545;0,13;
май 2024;267 880;0,14;
июнь 2024;308 348;0,16;
июль 2024;297 926;0,16;
август 2024;299 421;0,15;
сентябрь 2024;336 158;0,15;
октябрь 2024;326 456;0,13;
ноябрь 2024;270 700;0,11;
декабрь 2024;363 507;0,15;
