Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;88 940;0,278;
январь 2018;84 115;0,278;
февраль 2018;86 973;0,270;
март 2018;72 228;0,258;
апрель 2018;74 136;0,257;
май 2018;74 229;0,277;
июнь 2018;78 874;0,294;
июль 2018;80 205;0,306;
август 2018;77 544;0,258;
сентябрь 2018;80 715;0,235;
октябрь 2018;75 642;0,237;
ноябрь 2018;64 911;0,197;
декабрь 2018;93 088;0,277;
январь 2019;89 280;0,274;
февраль 2019;81 690;0,244;
март 2019;72 548;0,226;
апрель 2019;65 326;0,215;
май 2019;68 375;0,249;
июнь 2019;72 421;0,268;
июль 2019;71 795;0,271;
август 2019;69 681;0,228;
сентябрь 2019;74 371;0,216;
октябрь 2019;76 531;0,222;
ноябрь 2019;72 220;0,193;
декабрь 2019;101 081;0,269;
январь 2020;91 881;0,246;
февраль 2020;81 865;0,211;
март 2020;60 027;0,116;
апрель 2020;75 758;0,160;
май 2020;84 362;0,229;
июнь 2020;82 261;0,249;
июль 2020;79 850;0,242;
август 2020;76 076;0,197;
сентябрь 2020;76 290;0,173;
октябрь 2020;82 599;0,183;
ноябрь 2020;69 798;0,158;
декабрь 2020;98 415;0,234;
январь 2021;93 730;0,230;
февраль 2021;94 777;0,218;
март 2021;85 728;0,195;
апрель 2021;81 307;0,186;
май 2021;94 202;0,223;
июнь 2021;88 980;0,235;
июль 2021;88 522;0,232;
август 2021;81 841;0,186;
сентябрь 2021;79 929;0,166;
октябрь 2021;84 233;0,172;
ноябрь 2021;74 399;0,145;
декабрь 2021;102 708;0,201;
январь 2022;95 326;0,188;
февраль 2022;97 707;0,183;
март 2022;87 285;0,171;
апрель 2022;89 503;0,174;
май 2022;91 314;0,199;
июнь 2022;86 937;0,198;
июль 2022;86 712;0,198;
август 2022;73 996;0,147;
сентябрь 2022;67 386;0,124;
октябрь 2022;71 246;0,129;
ноябрь 2022;57 317;0,097;
декабрь 2022;79 350;0,143;
январь 2023;68 947;0,134;
февраль 2023;72 853;0,135;
март 2023;59 317;0,114;
апрель 2023;60 563;0,115;
май 2023;64 019;0,142;
июнь 2023;65 701;0,149;
июль 2023;71 327;0,164;
август 2023;62 114;0,128;
сентябрь 2023;63 006;0,118;
октябрь 2023;63 755;0,120;
ноябрь 2023;52 279;0,097;
декабрь 2023;68 218;0,128;
январь 2024;62 826;0,125;
февраль 2024;58 520;0,114;
март 2024;47 890;0,102;
апрель 2024;51 030;0,110;
май 2024;51 558;0,128;
июнь 2024;57 333;0,146;
июль 2024;54 484;0,138;
август 2024;51 650;0,121;
сентябрь 2024;52 020;0,109;
октябрь 2024;51 972;0,105;
ноябрь 2024;45 566;0,087;
декабрь 2024;65 206;0,128;
