Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;57 399;0,30;
январь 2018;56 746;0,31;
февраль 2018;57 046;0,29;
март 2018;49 394;0,27;
апрель 2018;49 071;0,26;
май 2018;40 211;0,25;
июнь 2018;49 143;0,28;
июль 2018;50 806;0,29;
август 2018;57 278;0,30;
сентябрь 2018;63 246;0,29;
октябрь 2018;57 045;0,28;
ноябрь 2018;44 261;0,22;
декабрь 2018;59 524;0,29;
январь 2019;58 879;0,30;
февраль 2019;56 528;0,28;
март 2019;54 185;0,27;
апрель 2019;45 820;0,24;
май 2019;44 088;0,27;
июнь 2019;48 017;0,28;
июль 2019;48 283;0,28;
август 2019;47 998;0,26;
сентябрь 2019;55 944;0,27;
октябрь 2019;55 787;0,26;
ноябрь 2019;51 355;0,23;
декабрь 2019;71 154;0,30;
январь 2020;68 347;0,30;
февраль 2020;64 785;0,26;
март 2020;43 169;0,14;
апрель 2020;47 396;0,17;
май 2020;54 701;0,23;
июнь 2020;54 269;0,25;
июль 2020;54 551;0,25;
август 2020;52 999;0,22;
сентябрь 2020;57 921;0,21;
октябрь 2020;60 589;0,19;
ноябрь 2020;55 986;0,19;
декабрь 2020;72 038;0,26;
январь 2021;68 881;0,27;
февраль 2021;71 105;0,27;
март 2021;64 753;0,24;
апрель 2021;56 942;0,21;
май 2021;59 785;0,23;
июнь 2021;56 385;0,23;
июль 2021;55 970;0,23;
август 2021;55 976;0,21;
сентябрь 2021;55 733;0,19;
октябрь 2021;59 709;0,19;
ноябрь 2021;54 495;0,17;
декабрь 2021;74 980;0,24;
январь 2022;67 597;0,21;
февраль 2022;74 535;0,22;
март 2022;64 529;0,20;
апрель 2022;57 316;0,19;
май 2022;59 404;0,21;
июнь 2022;58 791;0,21;
июль 2022;60 240;0,22;
август 2022;52 564;0,17;
сентябрь 2022;54 673;0,17;
октябрь 2022;53 500;0,15;
ноябрь 2022;43 561;0,12;
декабрь 2022;58 980;0,17;
январь 2023;51 843;0,16;
февраль 2023;55 934;0,16;
март 2023;47 487;0,14;
апрель 2023;42 224;0,13;
май 2023;41 460;0,15;
июнь 2023;45 780;0,17;
июль 2023;46 800;0,17;
август 2023;43 089;0,14;
сентябрь 2023;48 493;0,15;
октябрь 2023;44 644;0,14;
ноябрь 2023;37 646;0,11;
декабрь 2023;52 064;0,15;
январь 2024;45 496;0,14;
февраль 2024;44 614;0,14;
март 2024;42 049;0,14;
апрель 2024;38 247;0,13;
май 2024;36 230;0,14;
июнь 2024;42 172;0,17;
июль 2024;41 723;0,16;
август 2024;40 637;0,15;
сентябрь 2024;45 860;0,15;
октябрь 2024;44 951;0,14;
ноябрь 2024;39 619;0,12;
декабрь 2024;53 384;0,16;
