Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Брянская область, все устройства
декабрь 2017;134 105;0,27;
январь 2018;127 901;0,26;
февраль 2018;131 572;0,25;
март 2018;103 772;0,23;
апрель 2018;96 547;0,21;
май 2018;97 581;0,22;
июнь 2018;113 686;0,25;
июль 2018;111 376;0,25;
август 2018;125 390;0,25;
сентябрь 2018;141 209;0,25;
октябрь 2018;122 331;0,23;
ноябрь 2018;95 605;0,18;
декабрь 2018;144 381;0,25;
январь 2019;138 579;0,25;
февраль 2019;137 637;0,24;
март 2019;114 251;0,22;
апрель 2019;106 668;0,21;
май 2019;107 972;0,24;
июнь 2019;121 467;0,25;
июль 2019;117 913;0,25;
август 2019;123 355;0,25;
сентябрь 2019;139 667;0,25;
октябрь 2019;132 812;0,23;
ноябрь 2019;112 513;0,19;
декабрь 2019;159 720;0,26;
январь 2020;148 356;0,25;
февраль 2020;129 279;0,20;
март 2020;92 585;0,11;
апрель 2020;115 741;0,14;
май 2020;123 847;0,20;
июнь 2020;132 534;0,23;
июль 2020;126 291;0,23;
август 2020;128 697;0,21;
сентябрь 2020;136 999;0,20;
октябрь 2020;136 809;0,17;
ноябрь 2020;112 377;0,16;
декабрь 2020;161 635;0,23;
январь 2021;163 853;0,25;
февраль 2021;179 270;0,24;
март 2021;157 574;0,21;
апрель 2021;146 907;0,19;
май 2021;145 572;0,21;
июнь 2021;149 797;0,22;
июль 2021;150 369;0,22;
август 2021;152 343;0,20;
сентябрь 2021;144 406;0,18;
октябрь 2021;149 324;0,17;
ноябрь 2021;130 989;0,15;
декабрь 2021;186 033;0,21;
январь 2022;161 922;0,19;
февраль 2022;179 495;0,20;
март 2022;169 088;0,19;
апрель 2022;157 674;0,19;
май 2022;154 895;0,21;
июнь 2022;160 574;0,21;
июль 2022;155 669;0,21;
август 2022;145 634;0,17;
сентябрь 2022;142 828;0,16;
октябрь 2022;138 242;0,15;
ноябрь 2022;112 089;0,12;
декабрь 2022;149 617;0,16;
январь 2023;131 357;0,16;
февраль 2023;141 223;0,16;
март 2023;110 870;0,13;
апрель 2023;110 279;0,13;
май 2023;113 698;0,15;
июнь 2023;118 770;0,16;
июль 2023;128 226;0,18;
август 2023;118 934;0,15;
сентябрь 2023;126 175;0,15;
октябрь 2023;121 797;0,14;
ноябрь 2023;95 358;0,11;
декабрь 2023;129 264;0,15;
январь 2024;115 007;0,14;
февраль 2024;109 557;0,13;
март 2024;97 488;0,12;
апрель 2024;93 067;0,12;
май 2024;95 696;0,14;
июнь 2024;106 283;0,16;
июль 2024;102 785;0,15;
август 2024;107 867;0,15;
сентябрь 2024;115 211;0,14;
октябрь 2024;107 051;0,13;
ноябрь 2024;89 706;0,10;
декабрь 2024;123 341;0,14;
