Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;27 264;0,161;
январь 2018;25 602;0,150;
февраль 2018;24 910;0,140;
март 2018;24 962;0,148;
апрель 2018;22 659;0,135;
май 2018;22 162;0,154;
июнь 2018;24 570;0,171;
июль 2018;26 541;0,183;
август 2018;29 280;0,175;
сентябрь 2018;35 642;0,175;
октябрь 2018;35 685;0,175;
ноябрь 2018;28 458;0,141;
декабрь 2018;37 055;0,176;
январь 2019;36 419;0,171;
февраль 2019;36 219;0,167;
март 2019;33 613;0,160;
апрель 2019;28 251;0,143;
май 2019;26 971;0,166;
июнь 2019;31 459;0,200;
июль 2019;30 751;0,192;
август 2019;34 589;0,188;
сентябрь 2019;42 301;0,187;
октябрь 2019;40 729;0,176;
ноябрь 2019;34 126;0,137;
декабрь 2019;49 052;0,184;
январь 2020;44 736;0,171;
февраль 2020;40 331;0,146;
март 2020;30 702;0,083;
апрель 2020;36 338;0,104;
май 2020;36 371;0,145;
июнь 2020;37 847;0,171;
июль 2020;36 411;0,170;
август 2020;40 037;0,145;
сентябрь 2020;44 531;0,122;
октябрь 2020;45 794;0,119;
ноябрь 2020;36 114;0,104;
декабрь 2020;47 523;0,143;
январь 2021;43 964;0,145;
февраль 2021;47 193;0,147;
март 2021;46 626;0,142;
апрель 2021;43 651;0,132;
май 2021;42 502;0,154;
июнь 2021;41 714;0,163;
июль 2021;44 088;0,174;
август 2021;46 035;0,154;
сентябрь 2021;47 890;0,126;
октябрь 2021;49 073;0,134;
ноябрь 2021;43 985;0,111;
декабрь 2021;57 540;0,150;
январь 2022;53 293;0,133;
февраль 2022;56 582;0,142;
март 2022;53 648;0,141;
апрель 2022;48 619;0,128;
май 2022;46 264;0,149;
июнь 2022;49 398;0,165;
июль 2022;54 185;0,169;
август 2022;47 160;0,134;
сентябрь 2022;46 947;0,118;
октябрь 2022;50 195;0,117;
ноябрь 2022;40 516;0,090;
декабрь 2022;52 765;0,116;
январь 2023;45 855;0,113;
февраль 2023;51 338;0,118;
март 2023;46 851;0,111;
апрель 2023;44 499;0,104;
май 2023;43 740;0,119;
июнь 2023;46 277;0,134;
июль 2023;49 061;0,140;
август 2023;47 411;0,125;
сентябрь 2023;50 956;0,118;
октябрь 2023;47 291;0,108;
ноябрь 2023;39 485;0,085;
декабрь 2023;51 307;0,116;
январь 2024;45 841;0,112;
февраль 2024;46 077;0,109;
март 2024;43 712;0,108;
апрель 2024;41 665;0,108;
май 2024;40 788;0,124;
июнь 2024;45 479;0,141;
июль 2024;45 139;0,140;
август 2024;46 172;0,131;
сентябрь 2024;52 800;0,125;
октябрь 2024;50 212;0,117;
ноябрь 2024;43 814;0,096;
декабрь 2024;51 400;0,120;
