Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Ивановская область, все устройства
декабрь 2017;112 749;0,29;
январь 2018;109 869;0,29;
февраль 2018;116 585;0,27;
март 2018;97 285;0,25;
апрель 2018;81 553;0,22;
май 2018;82 001;0,23;
июнь 2018;94 890;0,27;
июль 2018;103 274;0,28;
август 2018;108 665;0,27;
сентябрь 2018;126 646;0,27;
октябрь 2018;115 493;0,27;
ноябрь 2018;93 287;0,22;
декабрь 2018;134 212;0,31;
январь 2019;128 146;0,31;
февраль 2019;127 123;0,28;
март 2019;112 759;0,27;
апрель 2019;91 922;0,24;
май 2019;96 672;0,27;
июнь 2019;115 124;0,31;
июль 2019;109 882;0,30;
август 2019;114 422;0,30;
сентябрь 2019;132 237;0,29;
октябрь 2019;122 787;0,27;
ноябрь 2019;106 949;0,23;
декабрь 2019;137 385;0,29;
январь 2020;126 734;0,28;
февраль 2020;121 965;0,24;
март 2020;98 641;0,16;
апрель 2020;109 714;0,19;
май 2020;115 837;0,25;
июнь 2020;119 217;0,28;
июль 2020;110 006;0,26;
август 2020;107 553;0,23;
сентябрь 2020;113 544;0,21;
октябрь 2020;111 029;0,19;
ноябрь 2020;96 262;0,17;
декабрь 2020;125 872;0,24;
январь 2021;131 139;0,25;
февраль 2021;144 439;0,25;
март 2021;134 232;0,22;
апрель 2021;124 604;0,21;
май 2021;125 053;0,22;
июнь 2021;118 995;0,23;
июль 2021;122 647;0,23;
август 2021;125 643;0,21;
сентябрь 2021;129 812;0,20;
октябрь 2021;138 978;0,20;
ноябрь 2021;119 277;0,17;
декабрь 2021;166 659;0,25;
январь 2022;147 584;0,22;
февраль 2022;170 887;0,23;
март 2022;157 597;0,23;
апрель 2022;143 293;0,21;
май 2022;136 968;0,23;
июнь 2022;139 489;0,24;
июль 2022;140 724;0,24;
август 2022;130 151;0,19;
сентябрь 2022;121 270;0,17;
октябрь 2022;119 090;0,17;
ноябрь 2022;95 775;0,13;
декабрь 2022;124 926;0,17;
январь 2023;111 839;0,17;
февраль 2023;124 823;0,17;
март 2023;97 791;0,15;
апрель 2023;91 632;0,14;
май 2023;93 222;0,15;
июнь 2023;98 916;0,17;
июль 2023;107 228;0,19;
август 2023;98 266;0,16;
сентябрь 2023;108 805;0,16;
октябрь 2023;104 640;0,15;
ноябрь 2023;82 507;0,12;
декабрь 2023;104 833;0,15;
январь 2024;98 564;0,15;
февраль 2024;96 192;0,14;
март 2024;88 058;0,14;
апрель 2024;81 426;0,13;
май 2024;82 815;0,15;
июнь 2024;93 851;0,17;
июль 2024;90 880;0,17;
август 2024;92 507;0,16;
сентябрь 2024;100 961;0,16;
октябрь 2024;97 194;0,14;
ноябрь 2024;82 382;0,12;
декабрь 2024;111 897;0,16;
