Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;13 029;0,049;
январь 2018;10 352;0,040;
февраль 2018;10 642;0,038;
март 2018;9 628;0,037;
апрель 2018;8 466;0,034;
май 2018;8 440;0,036;
июнь 2018;8 710;0,037;
июль 2018;8 207;0,034;
август 2018;8 547;0,031;
сентябрь 2018;10 476;0,034;
октябрь 2018;9 449;0,033;
ноябрь 2018;9 090;0,032;
декабрь 2018;10 776;0,037;
январь 2019;10 336;0,038;
февраль 2019;9 992;0,034;
март 2019;8 738;0,032;
апрель 2019;7 447;0,029;
май 2019;7 678;0,032;
июнь 2019;9 985;0,041;
июль 2019;9 369;0,039;
август 2019;9 430;0,037;
сентябрь 2019;10 772;0,037;
октябрь 2019;9 385;0,032;
ноябрь 2019;10 075;0,032;
декабрь 2019;12 534;0,039;
январь 2020;10 372;0,034;
февраль 2020;10 659;0,032;
март 2020;14 298;0,031;
апрель 2020;11 483;0,028;
май 2020;10 116;0,033;
июнь 2020;9 460;0,033;
июль 2020;9 065;0,032;
август 2020;10 008;0,032;
сентябрь 2020;10 607;0,029;
октябрь 2020;10 274;0,027;
ноябрь 2020;10 989;0,030;
декабрь 2020;12 287;0,034;
январь 2021;13 380;0,039;
февраль 2021;12 502;0,033;
март 2021;14 428;0,038;
апрель 2021;12 199;0,032;
май 2021;12 933;0,036;
июнь 2021;12 441;0,037;
июль 2021;12 504;0,036;
август 2021;15 394;0,041;
сентябрь 2021;15 271;0,036;
октябрь 2021;15 552;0,036;
ноябрь 2021;17 144;0,039;
декабрь 2021;18 696;0,042;
январь 2022;16 751;0,039;
февраль 2022;20 212;0,043;
март 2022;18 339;0,041;
апрель 2022;17 197;0,038;
май 2022;15 868;0,040;
июнь 2022;15 623;0,040;
июль 2022;15 146;0,039;
август 2022;17 687;0,041;
сентябрь 2022;16 528;0,035;
октябрь 2022;17 582;0,038;
ноябрь 2022;19 328;0,041;
декабрь 2022;22 815;0,049;
январь 2023;18 780;0,044;
февраль 2023;17 451;0,037;
март 2023;15 535;0,036;
апрель 2023;14 487;0,034;
май 2023;15 777;0,041;
июнь 2023;17 422;0,044;
июль 2023;16 902;0,045;
август 2023;18 715;0,047;
сентябрь 2023;20 405;0,046;
октябрь 2023;21 382;0,048;
ноябрь 2023;18 887;0,043;
декабрь 2023;21 907;0,048;
январь 2024;20 100;0,048;
февраль 2024;17 131;0,040;
март 2024;16 885;0,041;
апрель 2024;15 335;0,039;
май 2024;14 807;0,042;
июнь 2024;18 387;0,052;
июль 2024;16 187;0,046;
август 2024;17 196;0,047;
сентябрь 2024;20 441;0,049;
октябрь 2024;19 127;0,045;
ноябрь 2024;21 766;0,050;
декабрь 2024;25 948;0,059;
