Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;20 904;0,056;
январь 2018;17 622;0,047;
февраль 2018;17 281;0,042;
март 2018;17 355;0,045;
апрель 2018;17 360;0,046;
май 2018;14 249;0,044;
июнь 2018;13 613;0,045;
июль 2018;12 401;0,040;
август 2018;13 721;0,036;
сентябрь 2018;16 051;0,036;
октябрь 2018;13 890;0,034;
ноябрь 2018;13 866;0,035;
декабрь 2018;17 420;0,042;
январь 2019;14 839;0,037;
февраль 2019;13 752;0,033;
март 2019;13 399;0,033;
апрель 2019;11 768;0,031;
май 2019;12 138;0,037;
июнь 2019;12 607;0,041;
июль 2019;12 542;0,041;
август 2019;14 390;0,042;
сентябрь 2019;15 590;0,039;
октябрь 2019;13 770;0,034;
ноябрь 2019;14 612;0,035;
декабрь 2019;17 142;0,041;
январь 2020;14 859;0,036;
февраль 2020;15 071;0,033;
март 2020;17 918;0,031;
апрель 2020;15 764;0,029;
май 2020;14 123;0,035;
июнь 2020;12 521;0,036;
июль 2020;12 235;0,036;
август 2020;13 787;0,035;
сентябрь 2020;14 777;0,032;
октябрь 2020;15 973;0,033;
ноябрь 2020;15 687;0,033;
декабрь 2020;17 960;0,039;
январь 2021;17 540;0,039;
февраль 2021;15 828;0,034;
март 2021;18 878;0,038;
апрель 2021;17 414;0,035;
май 2021;18 178;0,041;
июнь 2021;15 477;0,041;
июль 2021;15 941;0,041;
август 2021;20 603;0,043;
сентябрь 2021;22 160;0,041;
октябрь 2021;21 413;0,039;
ноябрь 2021;24 025;0,043;
декабрь 2021;26 906;0,048;
январь 2022;22 830;0,041;
февраль 2022;26 303;0,044;
март 2022;27 293;0,048;
апрель 2022;23 880;0,043;
май 2022;21 472;0,046;
июнь 2022;21 286;0,049;
июль 2022;19 395;0,045;
август 2022;21 800;0,043;
сентябрь 2022;21 124;0,037;
октябрь 2022;22 396;0,039;
ноябрь 2022;25 981;0,045;
декабрь 2022;27 559;0,048;
январь 2023;23 675;0,044;
февраль 2023;22 721;0,039;
март 2023;21 659;0,038;
апрель 2023;20 155;0,038;
май 2023;21 575;0,047;
июнь 2023;21 026;0,049;
июль 2023;20 690;0,050;
август 2023;24 445;0,052;
сентябрь 2023;26 316;0,049;
октябрь 2023;25 966;0,049;
ноябрь 2023;26 143;0,048;
декабрь 2023;30 345;0,055;
январь 2024;25 946;0,050;
февраль 2024;24 941;0,047;
март 2024;22 031;0,043;
апрель 2024;20 559;0,041;
май 2024;17 352;0,043;
июнь 2024;18 782;0,050;
июль 2024;17 677;0,047;
август 2024;21 564;0,051;
сентябрь 2024;26 074;0,053;
октябрь 2024;23 755;0,046;
ноябрь 2024;29 423;0,055;
декабрь 2024;32 011;0,062;
