Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;73 792;0,046;
январь 2018;61 868;0,040;
февраль 2018;66 377;0,039;
март 2018;62 927;0,040;
апрель 2018;58 485;0,039;
май 2018;53 081;0,039;
июнь 2018;52 333;0,041;
июль 2018;53 512;0,039;
август 2018;55 089;0,036;
сентябрь 2018;63 874;0,035;
октябрь 2018;61 271;0,036;
ноябрь 2018;59 333;0,035;
декабрь 2018;70 948;0,041;
январь 2019;66 515;0,040;
февраль 2019;64 719;0,037;
март 2019;61 739;0,038;
апрель 2019;51 826;0,033;
май 2019;51 266;0,037;
июнь 2019;59 459;0,043;
июль 2019;59 777;0,041;
август 2019;65 709;0,042;
сентябрь 2019;72 588;0,040;
октябрь 2019;65 703;0,035;
ноябрь 2019;67 531;0,035;
декабрь 2019;83 198;0,043;
январь 2020;69 484;0,037;
февраль 2020;68 965;0,034;
март 2020;81 450;0,030;
апрель 2020;66 565;0,029;
май 2020;65 719;0,036;
июнь 2020;61 199;0,036;
июль 2020;63 313;0,036;
август 2020;66 941;0,033;
сентябрь 2020;71 766;0,032;
октябрь 2020;77 010;0,030;
ноябрь 2020;79 084;0,033;
декабрь 2020;89 079;0,040;
январь 2021;89 247;0,041;
февраль 2021;88 196;0,037;
март 2021;86 360;0,038;
апрель 2021;70 412;0,034;
май 2021;84 973;0,042;
июнь 2021;84 317;0,041;
июль 2021;87 868;0,042;
август 2021;92 290;0,040;
сентябрь 2021;92 433;0,037;
октябрь 2021;96 629;0,038;
ноябрь 2021;108 557;0,041;
декабрь 2021;118 237;0,047;
январь 2022;107 279;0,042;
февраль 2022;128 041;0,046;
март 2022;116 021;0,045;
апрель 2022;103 264;0,041;
май 2022;100 942;0,044;
июнь 2022;102 081;0,049;
июль 2022;95 640;0,045;
август 2022;98 567;0,040;
сентябрь 2022;96 294;0,036;
октябрь 2022;100 631;0,037;
ноябрь 2022;107 380;0,038;
декабрь 2022;121 230;0,044;
январь 2023;107 021;0,042;
февраль 2023;106 973;0,039;
март 2023;94 372;0,037;
апрель 2023;90 872;0,037;
май 2023;99 477;0,045;
июнь 2023;112 192;0,052;
июль 2023;108 058;0,051;
август 2023;115 202;0,049;
сентябрь 2023;118 122;0,044;
октябрь 2023;117 504;0,044;
ноябрь 2023;117 290;0,043;
декабрь 2023;132 441;0,050;
январь 2024;114 432;0,046;
февраль 2024;107 489;0,042;
март 2024;91 761;0,039;
апрель 2024;91 363;0,040;
май 2024;84 868;0,043;
июнь 2024;100 290;0,051;
июль 2024;94 208;0,047;
август 2024;97 024;0,046;
сентябрь 2024;108 565;0,044;
октябрь 2024;111 965;0,044;
ноябрь 2024;121 460;0,046;
декабрь 2024;141 832;0,056;
