Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;79 530;0,051;
январь 2018;77 293;0,046;
февраль 2018;89 830;0,044;
март 2018;80 951;0,043;
апрель 2018;74 189;0,041;
май 2018;71 854;0,042;
июнь 2018;80 285;0,045;
июль 2018;75 436;0,043;
август 2018;79 502;0,039;
сентябрь 2018;92 834;0,040;
октябрь 2018;84 524;0,039;
ноябрь 2018;82 604;0,038;
декабрь 2018;96 573;0,044;
январь 2019;91 151;0,042;
февраль 2019;85 349;0,038;
март 2019;76 756;0,036;
апрель 2019;67 388;0,033;
май 2019;70 006;0,038;
июнь 2019;81 231;0,044;
июль 2019;78 417;0,041;
август 2019;82 723;0,040;
сентябрь 2019;90 064;0,042;
октябрь 2019;75 757;0,036;
ноябрь 2019;76 652;0,036;
декабрь 2019;99 633;0,047;
январь 2020;86 247;0,042;
февраль 2020;86 627;0,037;
март 2020;95 834;0,033;
апрель 2020;80 904;0,032;
май 2020;69 804;0,037;
июнь 2020;61 058;0,038;
июль 2020;60 149;0,036;
август 2020;63 028;0,034;
сентябрь 2020;67 040;0,032;
октябрь 2020;68 164;0,030;
ноябрь 2020;74 575;0,033;
декабрь 2020;82 057;0,040;
январь 2021;81 734;0,043;
февраль 2021;80 314;0,037;
март 2021;82 676;0,039;
апрель 2021;68 912;0,035;
май 2021;82 595;0,042;
июнь 2021;78 095;0,040;
июль 2021;77 675;0,039;
август 2021;82 999;0,039;
сентябрь 2021;82 692;0,035;
октябрь 2021;84 898;0,035;
ноябрь 2021;92 642;0,039;
декабрь 2021;103 579;0,044;
январь 2022;92 987;0,040;
февраль 2022;114 623;0,044;
март 2022;102 479;0,043;
апрель 2022;91 572;0,039;
май 2022;91 850;0,044;
июнь 2022;94 147;0,046;
июль 2022;82 708;0,040;
август 2022;90 729;0,039;
сентябрь 2022;84 850;0,034;
октябрь 2022;90 288;0,036;
ноябрь 2022;95 215;0,037;
декабрь 2022;103 637;0,041;
январь 2023;96 281;0,042;
февраль 2023;91 434;0,037;
март 2023;84 910;0,037;
апрель 2023;79 300;0,035;
май 2023;85 977;0,041;
июнь 2023;99 052;0,049;
июль 2023;89 073;0,044;
август 2023;95 681;0,044;
сентябрь 2023;100 585;0,041;
октябрь 2023;99 963;0,042;
ноябрь 2023;100 461;0,042;
декабрь 2023;110 421;0,046;
январь 2024;99 410;0,044;
февраль 2024;93 414;0,040;
март 2024;84 635;0,039;
апрель 2024;82 982;0,039;
май 2024;77 245;0,041;
июнь 2024;86 641;0,047;
июль 2024;82 585;0,044;
август 2024;86 402;0,045;
сентябрь 2024;101 393;0,045;
октябрь 2024;101 493;0,043;
ноябрь 2024;108 121;0,044;
декабрь 2024;123 663;0,051;
