Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;145 929;0,079;
январь 2018;142 657;0,078;
февраль 2018;146 831;0,072;
март 2018;132 295;0,072;
апрель 2018;128 259;0,068;
май 2018;114 508;0,072;
июнь 2018;124 326;0,077;
июль 2018;126 310;0,077;
август 2018;141 347;0,075;
сентябрь 2018;164 533;0,075;
октябрь 2018;141 199;0,071;
ноябрь 2018;129 667;0,060;
декабрь 2018;180 137;0,078;
январь 2019;141 043;0,067;
февраль 2019;138 597;0,064;
март 2019;122 415;0,059;
апрель 2019;106 079;0,052;
май 2019;106 211;0,057;
июнь 2019;125 730;0,070;
июль 2019;126 184;0,071;
август 2019;128 496;0,067;
сентябрь 2019;143 371;0,069;
октябрь 2019;125 969;0,060;
ноябрь 2019;118 312;0,053;
декабрь 2019;155 456;0,068;
январь 2020;141 530;0,064;
февраль 2020;133 401;0,056;
март 2020;122 607;0,044;
апрель 2020;111 550;0,043;
май 2020;109 155;0,053;
июнь 2020;111 879;0,056;
июль 2020;111 808;0,055;
август 2020;118 731;0,052;
сентябрь 2020;125 424;0,049;
октябрь 2020;123 165;0,046;
ноябрь 2020;120 296;0,044;
декабрь 2020;145 438;0,058;
январь 2021;148 956;0,062;
февраль 2021;148 880;0,057;
март 2021;141 862;0,057;
апрель 2021;114 595;0,050;
май 2021;123 490;0,055;
июнь 2021;125 557;0,056;
июль 2021;131 050;0,057;
август 2021;133 343;0,056;
сентябрь 2021;129 378;0,053;
октябрь 2021;126 909;0,052;
ноябрь 2021;132 209;0,053;
декабрь 2021;146 974;0,059;
январь 2022;139 865;0,055;
февраль 2022;165 219;0,062;
март 2022;175 305;0,069;
апрель 2022;135 049;0,054;
май 2022;135 022;0,058;
июнь 2022;136 781;0,061;
июль 2022;135 370;0,058;
август 2022;139 397;0,055;
сентябрь 2022;140 060;0,051;
октябрь 2022;138 210;0,048;
ноябрь 2022;132 456;0,046;
декабрь 2022;151 488;0,055;
январь 2023;133 507;0,051;
февраль 2023;137 651;0,049;
март 2023;121 417;0,046;
апрель 2023;112 178;0,045;
май 2023;113 332;0,051;
июнь 2023;121 189;0,055;
июль 2023;123 861;0,058;
август 2023;128 775;0,055;
сентябрь 2023;137 515;0,053;
октябрь 2023;129 619;0,051;
ноябрь 2023;116 607;0,044;
декабрь 2023;146 009;0,055;
январь 2024;131 982;0,052;
февраль 2024;123 928;0,049;
март 2024;116 305;0,049;
апрель 2024;110 131;0,048;
май 2024;99 515;0,049;
июнь 2024;113 627;0,056;
июль 2024;110 507;0,054;
август 2024;117 678;0,053;
сентябрь 2024;135 988;0,052;
октябрь 2024;132 770;0,051;
ноябрь 2024;131 206;0,049;
декабрь 2024;157 364;0,060;
