Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Кабардино-Балкарская Республика, все устройства
декабрь 2017;7 982;0,060;
январь 2018;6 509;0,043;
февраль 2018;6 546;0,038;
март 2018;5 439;0,036;
апрель 2018;5 970;0,039;
май 2018;5 247;0,036;
июнь 2018;5 559;0,036;
июль 2018;4 827;0,032;
август 2018;4 951;0,031;
сентябрь 2018;5 930;0,032;
октябрь 2018;5 419;0,031;
ноябрь 2018;6 276;0,035;
декабрь 2018;7 641;0,041;
январь 2019;6 378;0,036;
февраль 2019;5 634;0,030;
март 2019;4 947;0,028;
апрель 2019;4 779;0,028;
май 2019;5 160;0,034;
июнь 2019;6 339;0,040;
июль 2019;6 414;0,042;
август 2019;5 903;0,037;
сентябрь 2019;6 995;0,039;
октябрь 2019;5 762;0,030;
ноябрь 2019;7 121;0,035;
декабрь 2019;9 224;0,044;
январь 2020;7 289;0,036;
февраль 2020;6 457;0,029;
март 2020;7 591;0,024;
апрель 2020;6 479;0,026;
май 2020;5 965;0,028;
июнь 2020;6 298;0,033;
июль 2020;6 006;0,032;
август 2020;5 928;0,029;
сентябрь 2020;6 359;0,027;
октябрь 2020;6 779;0,025;
ноябрь 2020;7 507;0,029;
декабрь 2020;8 584;0,037;
январь 2021;8 087;0,037;
февраль 2021;7 142;0,030;
март 2021;7 450;0,031;
апрель 2021;7 372;0,030;
май 2021;8 214;0,035;
июнь 2021;8 006;0,037;
июль 2021;7 993;0,037;
август 2021;9 063;0,037;
сентябрь 2021;9 195;0,034;
октябрь 2021;9 213;0,032;
ноябрь 2021;10 647;0,036;
декабрь 2021;11 980;0,040;
январь 2022;9 680;0,034;
февраль 2022;11 780;0,036;
март 2022;10 516;0,035;
апрель 2022;10 423;0,034;
май 2022;10 459;0,039;
июнь 2022;10 246;0,038;
июль 2022;10 185;0,039;
август 2022;9 704;0,034;
сентябрь 2022;11 053;0,035;
октябрь 2022;10 903;0,034;
ноябрь 2022;11 735;0,036;
декабрь 2022;13 160;0,040;
январь 2023;10 851;0,036;
февраль 2023;9 608;0,029;
март 2023;9 285;0,030;
апрель 2023;8 648;0,028;
май 2023;9 641;0,036;
июнь 2023;11 076;0,042;
июль 2023;11 569;0,045;
август 2023;11 200;0,040;
сентябрь 2023;11 463;0,037;
октябрь 2023;11 698;0,037;
ноябрь 2023;12 387;0,038;
декабрь 2023;13 847;0,043;
январь 2024;11 396;0,038;
февраль 2024;10 492;0,034;
март 2024;9 361;0,034;
апрель 2024;9 316;0,033;
май 2024;9 106;0,037;
июнь 2024;10 596;0,043;
июль 2024;10 164;0,041;
август 2024;9 780;0,038;
сентябрь 2024;10 713;0,037;
октябрь 2024;9 942;0,033;
ноябрь 2024;12 855;0,040;
декабрь 2024;15 673;0,049;
