Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;41 651;0,047;
январь 2018;33 808;0,038;
февраль 2018;36 229;0,038;
март 2018;30 095;0,037;
апрель 2018;31 602;0,037;
май 2018;29 593;0,037;
июнь 2018;31 349;0,038;
июль 2018;29 330;0,035;
август 2018;28 741;0,032;
сентябрь 2018;31 915;0,032;
октябрь 2018;29 047;0,030;
ноябрь 2018;32 456;0,032;
декабрь 2018;39 782;0,038;
январь 2019;36 069;0,037;
февраль 2019;33 782;0,032;
март 2019;30 956;0,031;
апрель 2019;26 799;0,029;
май 2019;28 973;0,033;
июнь 2019;34 948;0,039;
июль 2019;33 550;0,038;
август 2019;34 264;0,037;
сентябрь 2019;37 101;0,037;
октябрь 2019;32 295;0,031;
ноябрь 2019;37 802;0,034;
декабрь 2019;46 982;0,041;
январь 2020;38 058;0,034;
февраль 2020;37 673;0,031;
март 2020;45 818;0,030;
апрель 2020;40 139;0,028;
май 2020;35 955;0,031;
июнь 2020;36 284;0,034;
июль 2020;35 055;0,033;
август 2020;35 932;0,031;
сентябрь 2020;39 151;0,030;
октябрь 2020;38 408;0,027;
ноябрь 2020;41 966;0,030;
декабрь 2020;46 686;0,036;
январь 2021;46 977;0,039;
февраль 2021;43 830;0,033;
март 2021;44 547;0,034;
апрель 2021;37 945;0,030;
май 2021;44 676;0,036;
июнь 2021;44 195;0,036;
июль 2021;44 409;0,036;
август 2021;50 426;0,039;
сентябрь 2021;46 818;0,034;
октябрь 2021;47 228;0,033;
ноябрь 2021;53 752;0,037;
декабрь 2021;59 248;0,040;
январь 2022;49 884;0,035;
февраль 2022;61 031;0,039;
март 2022;54 152;0,038;
апрель 2022;55 716;0,038;
май 2022;54 985;0,040;
июнь 2022;53 752;0,040;
июль 2022;49 403;0,036;
август 2022;51 721;0,035;
сентябрь 2022;50 864;0,032;
октябрь 2022;52 948;0,033;
ноябрь 2022;61 003;0,038;
декабрь 2022;66 540;0,041;
январь 2023;55 068;0,037;
февраль 2023;53 003;0,033;
март 2023;48 782;0,032;
апрель 2023;49 028;0,033;
май 2023;53 069;0,039;
июнь 2023;56 976;0,042;
июль 2023;56 438;0,042;
август 2023;58 876;0,043;
сентябрь 2023;58 817;0,039;
октябрь 2023;59 565;0,040;
ноябрь 2023;58 770;0,039;
декабрь 2023;66 374;0,043;
январь 2024;61 019;0,043;
февраль 2024;56 361;0,039;
март 2024;50 480;0,037;
апрель 2024;49 787;0,037;
май 2024;45 604;0,038;
июнь 2024;52 693;0,043;
июль 2024;51 071;0,041;
август 2024;52 968;0,041;
сентябрь 2024;60 282;0,042;
октябрь 2024;58 228;0,040;
ноябрь 2024;67 460;0,044;
декабрь 2024;79 493;0,052;
