Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Чеченская Республика, все устройства
декабрь 2017;4 621;0,040;
январь 2018;3 588;0,032;
февраль 2018;3 332;0,028;
март 2018;3 032;0,029;
апрель 2018;2 935;0,028;
май 2018;2 836;0,029;
июнь 2018;3 030;0,029;
июль 2018;2 851;0,028;
август 2018;3 243;0,029;
сентябрь 2018;3 367;0,027;
октябрь 2018;3 235;0,026;
ноябрь 2018;3 703;0,028;
декабрь 2018;5 159;0,037;
январь 2019;4 258;0,033;
февраль 2019;3 334;0,024;
март 2019;3 003;0,023;
апрель 2019;2 818;0,023;
май 2019;3 003;0,027;
июнь 2019;3 875;0,035;
июль 2019;3 950;0,035;
август 2019;4 191;0,036;
сентябрь 2019;4 279;0,033;
октябрь 2019;3 711;0,027;
ноябрь 2019;4 844;0,030;
декабрь 2019;6 187;0,037;
январь 2020;4 853;0,031;
февраль 2020;4 934;0,026;
март 2020;4 535;0,020;
апрель 2020;4 144;0,023;
май 2020;4 103;0,025;
июнь 2020;4 296;0,031;
июль 2020;4 202;0,030;
август 2020;4 671;0,031;
сентябрь 2020;4 665;0,026;
октябрь 2020;4 393;0,022;
ноябрь 2020;4 560;0,026;
декабрь 2020;5 390;0,031;
январь 2021;5 462;0,034;
февраль 2021;4 539;0,027;
март 2021;4 706;0,029;
апрель 2021;4 725;0,028;
май 2021;5 527;0,033;
июнь 2021;5 238;0,034;
июль 2021;5 891;0,038;
август 2021;6 915;0,040;
сентябрь 2021;6 954;0,035;
октябрь 2021;6 739;0,033;
ноябрь 2021;8 575;0,039;
декабрь 2021;8 351;0,037;
январь 2022;7 097;0,033;
февраль 2022;7 513;0,032;
март 2022;6 375;0,031;
апрель 2022;6 229;0,029;
май 2022;6 574;0,035;
июнь 2022;6 763;0,037;
июль 2022;6 896;0,037;
август 2022;7 226;0,036;
сентябрь 2022;7 082;0,031;
октябрь 2022;6 989;0,030;
ноябрь 2022;8 018;0,032;
декабрь 2022;10 369;0,034;
январь 2023;8 520;0,032;
февраль 2023;7 544;0,030;
март 2023;6 068;0,026;
апрель 2023;6 611;0,028;
май 2023;6 177;0,033;
июнь 2023;6 214;0,034;
июль 2023;7 079;0,038;
август 2023;7 542;0,038;
сентябрь 2023;7 574;0,034;
октябрь 2023;7 267;0,032;
ноябрь 2023;8 031;0,033;
декабрь 2023;9 107;0,038;
январь 2024;7 699;0,035;
февраль 2024;6 326;0,030;
март 2024;5 486;0,030;
апрель 2024;6 096;0,031;
май 2024;5 351;0,031;
июнь 2024;6 215;0,037;
июль 2024;5 978;0,036;
август 2024;6 345;0,035;
сентябрь 2024;6 960;0,035;
октябрь 2024;6 516;0,030;
ноябрь 2024;8 366;0,034;
декабрь 2024;9 639;0,041;
