Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;128 343;0,082;
январь 2018;122 251;0,080;
февраль 2018;120 606;0,073;
март 2018;110 354;0,073;
апрель 2018;102 710;0,069;
май 2018;99 716;0,074;
июнь 2018;103 865;0,081;
июль 2018;109 344;0,080;
август 2018;113 158;0,073;
сентябрь 2018;138 902;0,077;
октябрь 2018;124 776;0,076;
ноябрь 2018;104 293;0,064;
декабрь 2018;132 555;0,080;
январь 2019;112 462;0,068;
февраль 2019;109 858;0,066;
март 2019;100 551;0,062;
апрель 2019;81 643;0,055;
май 2019;82 764;0,061;
июнь 2019;99 247;0,077;
июль 2019;102 514;0,075;
август 2019;104 668;0,068;
сентябрь 2019;119 928;0,069;
октябрь 2019;107 613;0,060;
ноябрь 2019;104 977;0,057;
декабрь 2019;129 513;0,069;
январь 2020;115 755;0,064;
февраль 2020;110 496;0,058;
март 2020;110 379;0,046;
апрель 2020;96 833;0,047;
май 2020;99 795;0,057;
июнь 2020;97 146;0,061;
июль 2020;96 379;0,060;
август 2020;98 850;0,054;
сентябрь 2020;104 455;0,050;
октябрь 2020;108 102;0,049;
ноябрь 2020;108 476;0,048;
декабрь 2020;128 732;0,057;
январь 2021;132 422;0,059;
февраль 2021;140 498;0,056;
март 2021;130 920;0,057;
апрель 2021;102 679;0,051;
май 2021;116 986;0,060;
июнь 2021;112 672;0,060;
июль 2021;109 328;0,059;
август 2021;127 398;0,061;
сентябрь 2021;121 573;0,053;
октябрь 2021;120 910;0,050;
ноябрь 2021;126 277;0,052;
декабрь 2021;139 553;0,058;
январь 2022;130 327;0,055;
февраль 2022;154 983;0,060;
март 2022;147 803;0,061;
апрель 2022;128 471;0,055;
май 2022;120 106;0,057;
июнь 2022;116 740;0,059;
июль 2022;119 177;0,059;
август 2022;123 171;0,054;
сентябрь 2022;119 972;0,049;
октябрь 2022;117 755;0,047;
ноябрь 2022;118 416;0,046;
декабрь 2022;135 422;0,054;
январь 2023;121 765;0,052;
февраль 2023;124 535;0,049;
март 2023;111 486;0,047;
апрель 2023;101 856;0,045;
май 2023;110 422;0,053;
июнь 2023;115 082;0,057;
июль 2023;120 238;0,058;
август 2023;130 138;0,057;
сентябрь 2023;132 541;0,053;
октябрь 2023;130 749;0,054;
ноябрь 2023;120 760;0,047;
декабрь 2023;141 252;0,056;
январь 2024;121 360;0,051;
февраль 2024;116 149;0,048;
март 2024;107 413;0,048;
апрель 2024;103 005;0,047;
май 2024;94 159;0,050;
июнь 2024;104 485;0,056;
июль 2024;101 118;0,054;
август 2024;107 561;0,054;
сентябрь 2024;122 460;0,053;
октябрь 2024;118 668;0,051;
ноябрь 2024;128 689;0,053;
декабрь 2024;149 827;0,063;
