Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;375;0,00089;
январь 2018;505;0,00123;
февраль 2018;526;0,00118;
март 2018;491;0,00117;
апрель 2018;465;0,00115;
май 2018;397;0,00110;
июнь 2018;533;0,00158;
июль 2018;507;0,00143;
август 2018;532;0,00125;
сентябрь 2018;586;0,00119;
октябрь 2018;458;0,00103;
ноябрь 2018;623;0,00140;
декабрь 2018;565;0,00122;
январь 2019;547;0,00127;
февраль 2019;583;0,00126;
март 2019;669;0,00149;
апрель 2019;627;0,00150;
май 2019;615;0,00168;
июнь 2019;499;0,00140;
июль 2019;447;0,00126;
август 2019;558;0,00141;
сентябрь 2019;494;0,00107;
октябрь 2019;511;0,00112;
ноябрь 2019;584;0,00122;
декабрь 2019;547;0,00111;
январь 2020;507;0,00108;
февраль 2020;500;0,00096;
март 2020;517;0,00073;
апрель 2020;554;0,00091;
май 2020;495;0,00108;
июнь 2020;480;0,00115;
июль 2020;469;0,00116;
август 2020;530;0,00111;
сентябрь 2020;509;0,00091;
октябрь 2020;548;0,00094;
ноябрь 2020;585;0,00102;
декабрь 2020;474;0,00085;
январь 2021;497;0,00094;
февраль 2021;518;0,00093;
март 2021;610;0,00101;
апрель 2021;662;0,00107;
май 2021;572;0,00106;
июнь 2021;436;0,00097;
июль 2021;571;0,00122;
август 2021;581;0,00097;
сентябрь 2021;617;0,00092;
октябрь 2021;606;0,00089;
ноябрь 2021;725;0,00101;
декабрь 2021;713;0,00101;
январь 2022;606;0,00087;
февраль 2022;1 359;0,00184;
март 2022;1 466;0,00201;
апрель 2022;1 457;0,00208;
май 2022;1 360;0,00228;
июнь 2022;1 071;0,00190;
июль 2022;993;0,00178;
август 2022;1 097;0,00164;
сентябрь 2022;1 081;0,00149;
октябрь 2022;903;0,00122;
ноябрь 2022;964;0,00129;
декабрь 2022;643;0,00088;
январь 2023;688;0,00102;
февраль 2023;881;0,00120;
март 2023;678;0,00095;
апрель 2023;576;0,00086;
май 2023;629;0,00108;
июнь 2023;604;0,00107;
июль 2023;590;0,00109;
август 2023;455;0,00073;
сентябрь 2023;612;0,00087;
октябрь 2023;591;0,00084;
ноябрь 2023;595;0,00083;
декабрь 2023;474;0,00066;
январь 2024;512;0,00076;
февраль 2024;658;0,00095;
март 2024;484;0,00071;
апрель 2024;494;0,00077;
май 2024;442;0,00083;
июнь 2024;401;0,00079;
июль 2024;476;0,00094;
август 2024;392;0,00068;
сентябрь 2024;332;0,00050;
октябрь 2024;348;0,00051;
ноябрь 2024;395;0,00055;
декабрь 2024;296;0,00042;
