Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Калининградская область, все устройства
декабрь 2017;884;0,0026;
январь 2018;705;0,0021;
февраль 2018;872;0,0024;
март 2018;850;0,0027;
апрель 2018;935;0,0029;
май 2018;883;0,0028;
июнь 2018;859;0,0027;
июль 2018;800;0,0025;
август 2018;874;0,0024;
сентябрь 2018;896;0,0022;
октябрь 2018;813;0,0022;
ноябрь 2018;1 207;0,0033;
декабрь 2018;993;0,0026;
январь 2019;840;0,0024;
февраль 2019;943;0,0025;
март 2019;1 008;0,0029;
апрель 2019;958;0,0027;
май 2019;1 076;0,0035;
июнь 2019;926;0,0028;
июль 2019;936;0,0029;
август 2019;888;0,0026;
сентябрь 2019;872;0,0023;
октябрь 2019;870;0,0023;
ноябрь 2019;1 053;0,0027;
декабрь 2019;816;0,0020;
январь 2020;705;0,0018;
февраль 2020;1 032;0,0024;
март 2020;831;0,0016;
апрель 2020;1 145;0,0024;
май 2020;953;0,0024;
июнь 2020;1 066;0,0027;
июль 2020;1 061;0,0027;
август 2020;907;0,0021;
сентябрь 2020;933;0,0019;
октябрь 2020;905;0,0018;
ноябрь 2020;1 270;0,0026;
декабрь 2020;881;0,0019;
январь 2021;838;0,0019;
февраль 2021;1 033;0,0021;
март 2021;1 193;0,0023;
апрель 2021;1 152;0,0022;
май 2021;1 033;0,0021;
июнь 2021;936;0,0020;
июль 2021;964;0,0019;
август 2021;1 044;0,0020;
сентябрь 2021;1 077;0,0019;
октябрь 2021;1 171;0,0019;
ноябрь 2021;1 407;0,0024;
декабрь 2021;1 030;0,0017;
январь 2022;1 297;0,0022;
февраль 2022;3 889;0,0064;
март 2022;3 414;0,0056;
апрель 2022;3 029;0,0050;
май 2022;2 648;0,0048;
июнь 2022;2 440;0,0043;
июль 2022;2 224;0,0039;
август 2022;2 343;0,0039;
сентябрь 2022;2 473;0,0039;
октябрь 2022;2 385;0,0037;
ноябрь 2022;2 051;0,0032;
декабрь 2022;1 708;0,0026;
январь 2023;1 569;0,0026;
февраль 2023;2 423;0,0038;
март 2023;1 685;0,0028;
апрель 2023;1 489;0,0025;
май 2023;1 454;0,0026;
июнь 2023;1 587;0,0028;
июль 2023;1 754;0,0030;
август 2023;1 359;0,0023;
сентябрь 2023;1 511;0,0024;
октябрь 2023;1 519;0,0025;
ноябрь 2023;1 577;0,0025;
декабрь 2023;1 351;0,0021;
январь 2024;1 282;0,0021;
февраль 2024;1 326;0,0022;
март 2024;1 290;0,0022;
апрель 2024;1 062;0,0018;
май 2024;1 116;0,0021;
июнь 2024;1 005;0,0018;
июль 2024;1 280;0,0023;
август 2024;1 586;0,0028;
сентябрь 2024;1 107;0,0018;
октябрь 2024;1 151;0,0018;
ноябрь 2024;1 499;0,0023;
декабрь 2024;2 604;0,0041;
