Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;450;0,00140;
январь 2018;495;0,00163;
февраль 2018;466;0,00144;
март 2018;516;0,00184;
апрель 2018;503;0,00174;
май 2018;480;0,00179;
июнь 2018;584;0,00218;
июль 2018;551;0,00210;
август 2018;537;0,00178;
сентябрь 2018;667;0,00194;
октябрь 2018;547;0,00171;
ноябрь 2018;646;0,00196;
декабрь 2018;610;0,00182;
январь 2019;627;0,00192;
февраль 2019;623;0,00186;
март 2019;583;0,00181;
апрель 2019;589;0,00194;
май 2019;732;0,00267;
июнь 2019;691;0,00256;
июль 2019;572;0,00215;
август 2019;482;0,00157;
сентябрь 2019;674;0,00196;
октябрь 2019;502;0,00146;
ноябрь 2019;677;0,00181;
декабрь 2019;569;0,00151;
январь 2020;662;0,00177;
февраль 2020;669;0,00173;
март 2020;813;0,00157;
апрель 2020;748;0,00158;
май 2020;696;0,00189;
июнь 2020;689;0,00208;
июль 2020;832;0,00252;
август 2020;739;0,00192;
сентябрь 2020;707;0,00161;
октябрь 2020;769;0,00170;
ноябрь 2020;810;0,00183;
декабрь 2020;640;0,00152;
январь 2021;576;0,00141;
февраль 2021;674;0,00155;
март 2021;740;0,00169;
апрель 2021;731;0,00167;
май 2021;663;0,00157;
июнь 2021;634;0,00167;
июль 2021;514;0,00134;
август 2021;601;0,00137;
сентябрь 2021;738;0,00153;
октябрь 2021;731;0,00149;
ноябрь 2021;725;0,00141;
декабрь 2021;711;0,00139;
январь 2022;728;0,00144;
февраль 2022;1 826;0,00343;
март 2022;1 514;0,00297;
апрель 2022;1 614;0,00314;
май 2022;1 972;0,00431;
июнь 2022;1 629;0,00371;
июль 2022;1 416;0,00323;
август 2022;1 443;0,00287;
сентябрь 2022;1 673;0,00308;
октябрь 2022;1 366;0,00249;
ноябрь 2022;1 125;0,00190;
декабрь 2022;816;0,00147;
январь 2023;923;0,00179;
февраль 2023;1 332;0,00247;
март 2023;1 053;0,00203;
апрель 2023;826;0,00158;
май 2023;799;0,00177;
июнь 2023;772;0,00176;
июль 2023;863;0,00199;
август 2023;753;0,00156;
сентябрь 2023;685;0,00129;
октябрь 2023;809;0,00153;
ноябрь 2023;837;0,00155;
декабрь 2023;748;0,00141;
январь 2024;660;0,00131;
февраль 2024;711;0,00139;
март 2024;618;0,00132;
апрель 2024;542;0,00116;
май 2024;621;0,00154;
июнь 2024;552;0,00140;
июль 2024;574;0,00146;
август 2024;531;0,00124;
сентябрь 2024;450;0,00094;
октябрь 2024;552;0,00111;
ноябрь 2024;482;0,00092;
декабрь 2024;438;0,00086;
