Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Адыгея, все устройства
декабрь 2017;152;0,0020;
январь 2018;197;0,0026;
февраль 2018;145;0,0017;
март 2018;116;0,0016;
апрель 2018;147;0,0018;
май 2018;180;0,0024;
июнь 2018;209;0,0026;
июль 2018;213;0,0027;
август 2018;159;0,0019;
сентябрь 2018;197;0,0020;
октябрь 2018;197;0,0021;
ноябрь 2018;252;0,0027;
декабрь 2018;184;0,0019;
январь 2019;294;0,0030;
февраль 2019;221;0,0021;
март 2019;264;0,0026;
апрель 2019;286;0,0029;
май 2019;346;0,0037;
июнь 2019;226;0,0023;
июль 2019;277;0,0029;
август 2019;205;0,0021;
сентябрь 2019;192;0,0017;
октябрь 2019;217;0,0019;
ноябрь 2019;323;0,0026;
декабрь 2019;287;0,0022;
январь 2020;214;0,0017;
февраль 2020;314;0,0023;
март 2020;296;0,0017;
апрель 2020;289;0,0017;
май 2020;301;0,0022;
июнь 2020;353;0,0029;
июль 2020;359;0,0030;
август 2020;326;0,0025;
сентябрь 2020;307;0,0021;
октябрь 2020;233;0,0015;
ноябрь 2020;250;0,0015;
декабрь 2020;224;0,0014;
январь 2021;283;0,0019;
февраль 2021;267;0,0017;
март 2021;352;0,0020;
апрель 2021;323;0,0018;
май 2021;317;0,0018;
июнь 2021;245;0,0016;
июль 2021;215;0,0014;
август 2021;314;0,0018;
сентябрь 2021;300;0,0015;
октябрь 2021;330;0,0016;
ноябрь 2021;356;0,0017;
декабрь 2021;369;0,0017;
январь 2022;306;0,0014;
февраль 2022;966;0,0042;
март 2022;752;0,0035;
апрель 2022;965;0,0045;
май 2022;898;0,0046;
июнь 2022;802;0,0041;
июль 2022;689;0,0035;
август 2022;716;0,0033;
сентябрь 2022;636;0,0028;
октябрь 2022;562;0,0024;
ноябрь 2022;509;0,0021;
декабрь 2022;469;0,0019;
январь 2023;505;0,0022;
февраль 2023;636;0,0026;
март 2023;466;0,0020;
апрель 2023;441;0,0019;
май 2023;361;0,0018;
июнь 2023;372;0,0018;
июль 2023;494;0,0024;
август 2023;426;0,0020;
сентябрь 2023;474;0,0021;
октябрь 2023;486;0,0021;
ноябрь 2023;393;0,0016;
декабрь 2023;379;0,0015;
январь 2024;333;0,0015;
февраль 2024;386;0,0017;
март 2024;312;0,0014;
апрель 2024;318;0,0015;
май 2024;345;0,0018;
июнь 2024;419;0,0022;
июль 2024;387;0,0020;
август 2024;332;0,0016;
сентябрь 2024;254;0,0011;
октябрь 2024;272;0,0012;
ноябрь 2024;365;0,0015;
декабрь 2024;308;0,0013;
