Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;1 123;0,00117;
январь 2018;1 086;0,00115;
февраль 2018;1 178;0,00119;
март 2018;1 072;0,00117;
апрель 2018;1 283;0,00139;
май 2018;1 123;0,00140;
июнь 2018;1 228;0,00151;
июль 2018;1 277;0,00156;
август 2018;1 265;0,00133;
сентябрь 2018;1 463;0,00132;
октябрь 2018;1 183;0,00115;
ноябрь 2018;1 231;0,00119;
декабрь 2018;1 208;0,00115;
январь 2019;1 314;0,00126;
февраль 2019;1 497;0,00140;
март 2019;1 462;0,00140;
апрель 2019;1 385;0,00143;
май 2019;1 629;0,00188;
июнь 2019;1 558;0,00186;
июль 2019;1 266;0,00150;
август 2019;1 399;0,00146;
сентябрь 2019;1 500;0,00137;
октябрь 2019;1 269;0,00115;
ноябрь 2019;1 814;0,00156;
декабрь 2019;1 117;0,00094;
январь 2020;1 219;0,00105;
февраль 2020;1 310;0,00105;
март 2020;1 437;0,00090;
апрель 2020;1 279;0,00092;
май 2020;1 338;0,00117;
июнь 2020;1 141;0,00110;
июль 2020;1 123;0,00106;
август 2020;1 224;0,00100;
сентябрь 2020;1 097;0,00078;
октябрь 2020;1 359;0,00086;
ноябрь 2020;1 711;0,00117;
декабрь 2020;1 277;0,00092;
январь 2021;1 144;0,00087;
февраль 2021;1 632;0,00114;
март 2021;1 675;0,00116;
апрель 2021;1 311;0,00095;
май 2021;1 226;0,00098;
июнь 2021;1 495;0,00122;
июль 2021;1 466;0,00117;
август 2021;1 361;0,00101;
сентябрь 2021;1 408;0,00095;
октябрь 2021;1 315;0,00087;
ноябрь 2021;1 636;0,00102;
декабрь 2021;1 379;0,00089;
январь 2022;1 709;0,00110;
февраль 2022;3 762;0,00228;
март 2022;3 760;0,00236;
апрель 2022;3 685;0,00246;
май 2022;3 601;0,00265;
июнь 2022;3 148;0,00238;
июль 2022;2 751;0,00205;
август 2022;3 074;0,00203;
сентябрь 2022;3 457;0,00210;
октябрь 2022;2 857;0,00166;
ноябрь 2022;2 591;0,00151;
декабрь 2022;2 199;0,00130;
январь 2023;2 162;0,00139;
февраль 2023;2 797;0,00165;
март 2023;1 934;0,00117;
апрель 2023;1 868;0,00120;
май 2023;1 718;0,00128;
июнь 2023;1 735;0,00135;
июль 2023;1 813;0,00139;
август 2023;1 555;0,00108;
сентябрь 2023;1 685;0,00106;
октябрь 2023;1 610;0,00101;
ноябрь 2023;1 605;0,00096;
декабрь 2023;1 422;0,00088;
январь 2024;1 644;0,00106;
февраль 2024;1 545;0,00100;
март 2024;1 612;0,00107;
апрель 2024;1 191;0,00085;
май 2024;1 348;0,00111;
июнь 2024;1 327;0,00112;
июль 2024;1 308;0,00110;
август 2024;1 380;0,00103;
сентябрь 2024;1 184;0,00078;
октябрь 2024;1 318;0,00084;
ноябрь 2024;1 252;0,00074;
декабрь 2024;1 083;0,00068;
