Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;73;0,00126;
январь 2018;91;0,00165;
февраль 2018;84;0,00140;
март 2018;108;0,00184;
апрель 2018;92;0,00149;
май 2018;121;0,00226;
июнь 2018;125;0,00221;
июль 2018;96;0,00176;
август 2018;100;0,00172;
сентябрь 2018;133;0,00188;
октябрь 2018;116;0,00174;
ноябрь 2018;127;0,00190;
декабрь 2018;133;0,00206;
январь 2019;86;0,00130;
февраль 2019;105;0,00154;
март 2019;138;0,00206;
апрель 2019;110;0,00172;
май 2019;118;0,00209;
июнь 2019;85;0,00151;
июль 2019;81;0,00146;
август 2019;81;0,00137;
сентябрь 2019;142;0,00203;
октябрь 2019;106;0,00144;
ноябрь 2019;131;0,00162;
декабрь 2019;92;0,00110;
январь 2020;97;0,00123;
февраль 2020;79;0,00089;
март 2020;120;0,00105;
апрель 2020;100;0,00111;
май 2020;87;0,00103;
июнь 2020;106;0,00132;
июль 2020;76;0,00098;
август 2020;145;0,00165;
сентябрь 2020;122;0,00115;
октябрь 2020;136;0,00117;
ноябрь 2020;105;0,00098;
декабрь 2020;98;0,00102;
январь 2021;80;0,00089;
февраль 2021;115;0,00118;
март 2021;137;0,00138;
апрель 2021;179;0,00181;
май 2021;104;0,00107;
июнь 2021;130;0,00145;
июль 2021;128;0,00145;
август 2021;140;0,00143;
сентябрь 2021;116;0,00102;
октябрь 2021;112;0,00096;
ноябрь 2021;162;0,00133;
декабрь 2021;137;0,00114;
январь 2022;170;0,00140;
февраль 2022;276;0,00215;
март 2022;255;0,00212;
апрель 2022;223;0,00191;
май 2022;277;0,00249;
июнь 2022;318;0,00283;
июль 2022;458;0,00241;
август 2022;453;0,00349;
сентябрь 2022;314;0,00247;
октябрь 2022;212;0,00155;
ноябрь 2022;281;0,00207;
декабрь 2022;210;0,00158;
январь 2023;185;0,00150;
февраль 2023;220;0,00162;
март 2023;227;0,00172;
апрель 2023;156;0,00123;
май 2023;217;0,00193;
июнь 2023;204;0,00173;
июль 2023;237;0,00200;
август 2023;164;0,00139;
сентябрь 2023;155;0,00121;
октябрь 2023;146;0,00114;
ноябрь 2023;184;0,00138;
декабрь 2023;95;0,00073;
январь 2024;130;0,00105;
февраль 2024;159;0,00128;
март 2024;108;0,00091;
апрель 2024;123;0,00105;
май 2024;148;0,00143;
июнь 2024;163;0,00150;
июль 2024;165;0,00154;
август 2024;92;0,00086;
сентябрь 2024;131;0,00108;
октябрь 2024;188;0,00150;
ноябрь 2024;175;0,00132;
декабрь 2024;113;0,00088;
