Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;149;0,00114;
январь 2018;179;0,00138;
февраль 2018;226;0,00162;
март 2018;180;0,00139;
апрель 2018;215;0,00162;
май 2018;200;0,00165;
июнь 2018;264;0,00217;
июль 2018;207;0,00174;
август 2018;249;0,00188;
сентябрь 2018;239;0,00154;
октябрь 2018;219;0,00151;
ноябрь 2018;235;0,00167;
декабрь 2018;226;0,00153;
январь 2019;241;0,00169;
февраль 2019;305;0,00201;
март 2019;342;0,00238;
апрель 2019;245;0,00188;
май 2019;256;0,00213;
июнь 2019;269;0,00227;
июль 2019;194;0,00165;
август 2019;180;0,00140;
сентябрь 2019;241;0,00156;
октябрь 2019;232;0,00149;
ноябрь 2019;284;0,00172;
декабрь 2019;192;0,00111;
январь 2020;188;0,00111;
февраль 2020;222;0,00117;
март 2020;225;0,00097;
апрель 2020;403;0,00188;
май 2020;297;0,00166;
июнь 2020;282;0,00176;
июль 2020;224;0,00139;
август 2020;311;0,00181;
сентябрь 2020;280;0,00139;
октябрь 2020;255;0,00121;
ноябрь 2020;316;0,00158;
декабрь 2020;227;0,00114;
январь 2021;234;0,00124;
февраль 2021;254;0,00125;
март 2021;255;0,00119;
апрель 2021;324;0,00153;
май 2021;273;0,00141;
июнь 2021;267;0,00148;
июль 2021;342;0,00169;
август 2021;258;0,00121;
сентябрь 2021;212;0,00093;
октябрь 2021;324;0,00140;
ноябрь 2021;331;0,00137;
декабрь 2021;366;0,00148;
январь 2022;325;0,00137;
февраль 2022;875;0,00331;
март 2022;851;0,00332;
апрель 2022;870;0,00349;
май 2022;765;0,00341;
июнь 2022;725;0,00339;
июль 2022;630;0,00283;
август 2022;778;0,00322;
сентябрь 2022;741;0,00282;
октябрь 2022;716;0,00252;
ноябрь 2022;616;0,00226;
декабрь 2022;537;0,00201;
январь 2023;522;0,00210;
февраль 2023;728;0,00269;
март 2023;449;0,00173;
апрель 2023;438;0,00175;
май 2023;410;0,00186;
июнь 2023;416;0,00194;
июль 2023;386;0,00176;
август 2023;366;0,00161;
сентябрь 2023;285;0,00113;
октябрь 2023;360;0,00142;
ноябрь 2023;316;0,00123;
декабрь 2023;357;0,00137;
январь 2024;319;0,00131;
февраль 2024;352;0,00141;
март 2024;298;0,00125;
апрель 2024;276;0,00118;
май 2024;261;0,00129;
июнь 2024;270;0,00134;
июль 2024;276;0,00136;
август 2024;239;0,00114;
сентябрь 2024;244;0,00101;
октябрь 2024;275;0,00112;
ноябрь 2024;230;0,00089;
декабрь 2024;257;0,00100;
