Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Владимирская область, все устройства
декабрь 2017;848;0,00139;
январь 2018;794;0,00135;
февраль 2018;992;0,00153;
март 2018;926;0,00159;
апрель 2018;936;0,00167;
май 2018;968;0,00179;
июнь 2018;966;0,00174;
июль 2018;1 090;0,00192;
август 2018;875;0,00140;
сентябрь 2018;1 112;0,00156;
октябрь 2018;906;0,00140;
ноябрь 2018;1 072;0,00166;
декабрь 2018;1 022;0,00150;
январь 2019;1 137;0,00177;
февраль 2019;1 384;0,00200;
март 2019;1 275;0,00202;
апрель 2019;1 175;0,00196;
май 2019;1 256;0,00222;
июнь 2019;1 169;0,00198;
июль 2019;1 080;0,00183;
август 2019;900;0,00148;
сентябрь 2019;1 019;0,00148;
октябрь 2019;947;0,00136;
ноябрь 2019;1 387;0,00192;
декабрь 2019;931;0,00124;
январь 2020;902;0,00124;
февраль 2020;1 085;0,00132;
март 2020;1 085;0,00097;
апрель 2020;1 256;0,00124;
май 2020;1 192;0,00152;
июнь 2020;1 073;0,00146;
июль 2020;1 032;0,00143;
август 2020;1 099;0,00142;
сентябрь 2020;1 188;0,00132;
октябрь 2020;1 155;0,00122;
ноябрь 2020;1 304;0,00143;
декабрь 2020;920;0,00101;
январь 2021;1 028;0,00119;
февраль 2021;1 376;0,00142;
март 2021;1 272;0,00132;
апрель 2021;1 273;0,00136;
май 2021;1 316;0,00148;
июнь 2021;1 181;0,00135;
июль 2021;1 234;0,00135;
август 2021;1 086;0,00116;
сентябрь 2021;1 377;0,00141;
октябрь 2021;1 533;0,00153;
ноябрь 2021;1 576;0,00156;
декабрь 2021;1 461;0,00141;
январь 2022;1 485;0,00148;
февраль 2022;3 097;0,00283;
март 2022;3 206;0,00309;
апрель 2022;3 358;0,00326;
май 2022;3 028;0,00324;
июнь 2022;2 804;0,00297;
июль 2022;2 683;0,00282;
август 2022;2 725;0,00268;
сентябрь 2022;2 524;0,00235;
октябрь 2022;2 324;0,00216;
ноябрь 2022;2 118;0,00198;
декабрь 2022;1 654;0,00152;
январь 2023;1 726;0,00174;
февраль 2023;2 435;0,00225;
март 2023;1 693;0,00170;
апрель 2023;1 699;0,00168;
май 2023;1 730;0,00176;
июнь 2023;1 755;0,00168;
июль 2023;1 800;0,00176;
август 2023;1 347;0,00128;
сентябрь 2023;1 561;0,00133;
октябрь 2023;1 351;0,00119;
ноябрь 2023;1 244;0,00108;
декабрь 2023;1 307;0,00109;
январь 2024;1 156;0,00107;
февраль 2024;1 482;0,00136;
март 2024;1 451;0,00146;
апрель 2024;1 036;0,00107;
май 2024;1 173;0,00133;
июнь 2024;1 217;0,00133;
июль 2024;2 485;0,00269;
август 2024;2 238;0,00240;
сентябрь 2024;2 913;0,00285;
октябрь 2024;4 354;0,00410;
ноябрь 2024;4 863;0,00445;
декабрь 2024;4 716;0,00425;
