Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Чеченская Республика, все устройства
декабрь 2017;72;0,00063;
январь 2018;183;0,00167;
февраль 2018;190;0,00160;
март 2018;120;0,00115;
апрель 2018;129;0,00127;
май 2018;102;0,00104;
июнь 2018;127;0,00124;
июль 2018;149;0,00149;
август 2018;138;0,00126;
сентябрь 2018;182;0,00147;
октябрь 2018;117;0,00097;
ноябрь 2018;152;0,00117;
декабрь 2018;162;0,00117;
январь 2019;145;0,00113;
февраль 2019;178;0,00133;
март 2019;182;0,00144;
апрель 2019;172;0,00145;
май 2019;193;0,00178;
июнь 2019;181;0,00166;
июль 2019;84;0,00076;
август 2019;171;0,00147;
сентябрь 2019;151;0,00116;
октябрь 2019;131;0,00095;
ноябрь 2019;145;0,00092;
декабрь 2019;219;0,00134;
январь 2020;133;0,00086;
февраль 2020;206;0,00112;
март 2020;155;0,00071;
апрель 2020;175;0,00097;
май 2020;268;0,00169;
июнь 2020;257;0,00185;
июль 2020;229;0,00167;
август 2020;194;0,00129;
сентябрь 2020;171;0,00095;
октябрь 2020;172;0,00087;
ноябрь 2020;169;0,00097;
декабрь 2020;188;0,00110;
январь 2021;161;0,00102;
февраль 2021;175;0,00107;
март 2021;277;0,00171;
апрель 2021;195;0,00119;
май 2021;191;0,00115;
июнь 2021;168;0,00111;
июль 2021;143;0,00094;
август 2021;124;0,00072;
сентябрь 2021;363;0,00186;
октябрь 2021;324;0,00161;
ноябрь 2021;219;0,00100;
декабрь 2021;208;0,00092;
январь 2022;241;0,00114;
февраль 2022;470;0,00201;
март 2022;935;0,00455;
апрель 2022;1 535;0,00731;
май 2022;1 489;0,00797;
июнь 2022;1 022;0,00563;
июль 2022;493;0,00270;
август 2022;534;0,00270;
сентябрь 2022;615;0,00277;
октябрь 2022;469;0,00203;
ноябрь 2022;356;0,00144;
декабрь 2022;413;0,00137;
январь 2023;345;0,00131;
февраль 2023;487;0,00194;
март 2023;261;0,00114;
апрель 2023;286;0,00124;
май 2023;182;0,00098;
июнь 2023;214;0,00118;
июль 2023;292;0,00159;
август 2023;215;0,00108;
сентябрь 2023;186;0,00085;
октябрь 2023;197;0,00087;
ноябрь 2023;209;0,00086;
декабрь 2023;146;0,00061;
январь 2024;138;0,00063;
февраль 2024;207;0,00098;
март 2024;194;0,00106;
апрель 2024;187;0,00095;
май 2024;190;0,00113;
июнь 2024;178;0,00106;
июль 2024;223;0,00135;
август 2024;175;0,00099;
сентябрь 2024;98;0,00049;
октябрь 2024;183;0,00086;
ноябрь 2024;153;0,00063;
декабрь 2024;186;0,00079;
