Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;1 898;0,00171;
январь 2018;2 045;0,00187;
февраль 2018;2 284;0,00191;
март 2018;1 772;0,00170;
апрель 2018;2 094;0,00204;
май 2018;1 912;0,00199;
июнь 2018;1 900;0,00196;
июль 2018;2 175;0,00223;
август 2018;2 145;0,00191;
сентябрь 2018;1 979;0,00153;
октябрь 2018;1 925;0,00162;
ноябрь 2018;2 395;0,00202;
декабрь 2018;2 216;0,00184;
январь 2019;2 223;0,00187;
февраль 2019;2 402;0,00196;
март 2019;2 327;0,00210;
апрель 2019;2 111;0,00199;
май 2019;2 435;0,00252;
июнь 2019;2 252;0,00226;
июль 2019;1 881;0,00190;
август 2019;1 913;0,00174;
сентябрь 2019;2 119;0,00164;
октябрь 2019;2 314;0,00176;
ноябрь 2019;2 491;0,00185;
декабрь 2019;1 917;0,00141;
январь 2020;1 892;0,00143;
февраль 2020;2 180;0,00156;
март 2020;1 915;0,00112;
апрель 2020;2 297;0,00153;
май 2020;2 076;0,00163;
июнь 2020;2 078;0,00174;
июль 2020;1 944;0,00167;
август 2020;2 111;0,00157;
сентябрь 2020;2 042;0,00131;
октябрь 2020;2 046;0,00118;
ноябрь 2020;2 505;0,00157;
декабрь 2020;1 920;0,00125;
январь 2021;1 933;0,00131;
февраль 2021;2 573;0,00158;
март 2021;2 511;0,00160;
апрель 2021;2 203;0,00141;
май 2021;2 285;0,00151;
июнь 2021;2 333;0,00164;
июль 2021;2 516;0,00176;
август 2021;2 303;0,00144;
сентябрь 2021;3 066;0,00171;
октябрь 2021;3 048;0,00167;
ноябрь 2021;3 408;0,00185;
декабрь 2021;2 207;0,00121;
январь 2022;2 827;0,00153;
февраль 2022;6 906;0,00348;
март 2022;6 498;0,00360;
апрель 2022;6 470;0,00358;
май 2022;6 076;0,00378;
июнь 2022;4 982;0,00313;
июль 2022;4 674;0,00291;
август 2022;4 710;0,00261;
сентябрь 2022;5 016;0,00258;
октябрь 2022;4 510;0,00232;
ноябрь 2022;4 170;0,00214;
декабрь 2022;3 223;0,00168;
январь 2023;3 478;0,00196;
февраль 2023;4 895;0,00252;
март 2023;3 448;0,00191;
апрель 2023;3 120;0,00177;
май 2023;2 930;0,00182;
июнь 2023;2 982;0,00189;
июль 2023;3 204;0,00209;
август 2023;2 506;0,00151;
сентябрь 2023;2 537;0,00135;
октябрь 2023;2 539;0,00138;
ноябрь 2023;2 379;0,00129;
декабрь 2023;2 460;0,00132;
январь 2024;2 462;0,00140;
февраль 2024;2 709;0,00152;
март 2024;2 629;0,00159;
апрель 2024;2 281;0,00139;
май 2024;2 146;0,00148;
июнь 2024;2 110;0,00149;
июль 2024;2 151;0,00150;
август 2024;1 929;0,00124;
сентябрь 2024;1 556;0,00089;
октябрь 2024;1 604;0,00088;
ноябрь 2024;2 029;0,00108;
декабрь 2024;1 689;0,00092;
