Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;1;0,00000158;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;2;0,00000339;
август 2018;2;0,00000297;
сентябрь 2018;2;0,00000257;
октябрь 2018;0;0;
ноябрь 2018;1;0,00000139;
декабрь 2018;0;0;
январь 2019;4;0,00000575;
февраль 2019;1;0,00000136;
март 2019;0;0;
апрель 2019;0;0;
май 2019;2;0,00000342;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;1;0,00000139;
октябрь 2019;1;0,00000136;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;4;0,00000501;
март 2020;0;0;
апрель 2020;1;0,00000097;
май 2020;1;0,00000133;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;1;0,00000110;
декабрь 2020;0;0;
январь 2021;3;0,00000342;
февраль 2021;3;0,00000304;
март 2021;0;0;
апрель 2021;1;0,00000102;
май 2021;1;0,00000107;
июнь 2021;0;0;
июль 2021;1;0,00000113;
август 2021;1;0,00000103;
сентябрь 2021;0;0;
октябрь 2021;4;0,00000359;
ноябрь 2021;2;0,00000177;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;4;0,00000332;
март 2022;1;0,00000089;
апрель 2022;0;0;
май 2022;3;0,00000303;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;2;0,00000185;
сентябрь 2022;1;0,00000084;
октябрь 2022;0;0;
ноябрь 2022;1;0,00000075;
декабрь 2022;2;0,00000159;
январь 2023;0;0;
февраль 2023;1;0,00000078;
март 2023;1;0,00000082;
апрель 2023;5;0,00000426;
май 2023;0;0;
июнь 2023;9;0,00000949;
июль 2023;3;0,00000320;
август 2023;0;0;
сентябрь 2023;3;0,00000260;
октябрь 2023;1;0,00000087;
ноябрь 2023;0;0;
декабрь 2023;1;0,00000086;
январь 2024;1;0,00000087;
февраль 2024;0;0;
март 2024;2;0,00000192;
апрель 2024;0;0;
май 2024;3;0,00000350;
июнь 2024;3;0,00000361;
июль 2024;4;0,00000481;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;4;0,00000363;
ноябрь 2024;2;0,00000172;
декабрь 2024;3;0,00000267;
