Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;0;0;
январь 2018;2;0,00000109;
февраль 2018;10;0,00000493;
март 2018;3;0,00000164;
апрель 2018;4;0,00000214;
май 2018;10;0,00000629;
июнь 2018;3;0,00000186;
июль 2018;7;0,00000427;
август 2018;5;0,00000266;
сентябрь 2018;4;0,00000182;
октябрь 2018;2;0,00000101;
ноябрь 2018;12;0,00000561;
декабрь 2018;6;0,00000262;
январь 2019;7;0,00000334;
февраль 2019;9;0,00000418;
март 2019;12;0,00000579;
апрель 2019;10;0,00000493;
май 2019;7;0,00000381;
июнь 2019;4;0,00000225;
июль 2019;2;0,00000113;
август 2019;3;0,00000158;
сентябрь 2019;4;0,00000192;
октябрь 2019;2;0,00000096;
ноябрь 2019;2;0,00000090;
декабрь 2019;4;0,00000175;
январь 2020;8;0,00000366;
февраль 2020;5;0,00000213;
март 2020;13;0,00000471;
апрель 2020;14;0,00000549;
май 2020;9;0,00000443;
июнь 2020;10;0,00000507;
июль 2020;6;0,00000300;
август 2020;3;0,00000133;
сентябрь 2020;15;0,00000592;
октябрь 2020;8;0,00000299;
ноябрь 2020;3;0,00000112;
декабрь 2020;3;0,00000119;
январь 2021;4;0,00000168;
февраль 2021;14;0,00000544;
март 2021;15;0,00000604;
апрель 2021;4;0,00000176;
май 2021;2;0,00000090;
июнь 2021;2;0,00000089;
июль 2021;3;0,00000131;
август 2021;2;0,00000085;
сентябрь 2021;6;0,00000246;
октябрь 2021;1;0,00000041;
ноябрь 2021;1;0,00000040;
декабрь 2021;1;0,00000040;
январь 2022;3;0,00000119;
февраль 2022;22;0,00000826;
март 2022;16;0,00000630;
апрель 2022;11;0,00000442;
май 2022;10;0,00000429;
июнь 2022;13;0,00000581;
июль 2022;3;0,00000129;
август 2022;10;0,00000399;
сентябрь 2022;7;0,00000255;
октябрь 2022;9;0,00000317;
ноябрь 2022;8;0,00000283;
декабрь 2022;13;0,00000475;
январь 2023;4;0,00000155;
февраль 2023;13;0,00000465;
март 2023;9;0,00000346;
апрель 2023;3;0,00000122;
май 2023;5;0,00000228;
июнь 2023;9;0,00000415;
июль 2023;11;0,00000515;
август 2023;7;0,00000299;
сентябрь 2023;4;0,00000154;
октябрь 2023;10;0,00000394;
ноябрь 2023;9;0,00000345;
декабрь 2023;2;0,00000075;
январь 2024;3;0,00000119;
февраль 2024;20;0,00000806;
март 2024;12;0,00000509;
апрель 2024;3;0,00000131;
май 2024;15;0,00000741;
июнь 2024;3;0,00000148;
июль 2024;8;0,00000396;
август 2024;18;0,00000816;
сентябрь 2024;6;0,00000233;
октябрь 2024;4;0,00000156;
ноябрь 2024;9;0,00000342;
декабрь 2024;14;0,00000535;
