Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;2;0,00000277;
январь 2018;1;0,00000141;
февраль 2018;0;0;
март 2018;2;0,00000285;
апрель 2018;2;0,00000281;
май 2018;3;0,00000475;
июнь 2018;3;0,00000491;
июль 2018;0;0;
август 2018;1;0,00000133;
сентябрь 2018;0;0;
октябрь 2018;4;0,00000520;
ноябрь 2018;2;0,00000260;
декабрь 2018;3;0,00000388;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;3;0,00000424;
май 2019;3;0,00000462;
июнь 2019;2;0,00000322;
июль 2019;2;0,00000319;
август 2019;0;0;
сентябрь 2019;2;0,00000250;
октябрь 2019;2;0,00000244;
ноябрь 2019;2;0,00000236;
декабрь 2019;3;0,00000343;
январь 2020;2;0,00000229;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;4;0,00000472;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;3;0,00000345;
сентябрь 2020;3;0,00000299;
октябрь 2020;2;0,00000178;
ноябрь 2020;3;0,00000278;
декабрь 2020;2;0,00000198;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;1;0,00000102;
май 2021;0;0;
июнь 2021;3;0,00000320;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;4;0,00000354;
октябрь 2021;2;0,00000164;
ноябрь 2021;1;0,00000084;
декабрь 2021;0;0;
январь 2022;1;0,00000081;
февраль 2022;1;0,00000078;
март 2022;8;0,00000668;
апрель 2022;0;0;
май 2022;9;0,00000842;
июнь 2022;5;0,00000490;
июль 2022;4;0,00000392;
август 2022;0;0;
сентябрь 2022;3;0,00000238;
октябрь 2022;2;0,00000155;
ноябрь 2022;4;0,00000297;
декабрь 2022;2;0,00000156;
январь 2023;0;0;
февраль 2023;3;0,00000232;
март 2023;8;0,00000648;
апрель 2023;2;0,00000173;
май 2023;4;0,00000376;
июнь 2023;2;0,00000195;
июль 2023;4;0,00000388;
август 2023;1;0,00000087;
сентябрь 2023;2;0,00000160;
октябрь 2023;3;0,00000242;
ноябрь 2023;0;0;
декабрь 2023;2;0,00000161;
январь 2024;1;0,00000082;
февраль 2024;1;0,00000082;
март 2024;0;0;
апрель 2024;0;0;
май 2024;4;0,00000412;
июнь 2024;1;0,00000104;
июль 2024;2;0,00000208;
август 2024;6;0,00000568;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;2;0,00000156;
декабрь 2024;3;0,00000243;
