Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;1;0,00000061;
март 2018;0;0;
апрель 2018;0;0;
май 2018;2;0,00000149;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;4;0,00000259;
сентябрь 2018;4;0,00000223;
октябрь 2018;2;0,00000123;
ноябрь 2018;2;0,00000123;
декабрь 2018;1;0,00000060;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;2;0,00000125;
апрель 2019;0;0;
май 2019;5;0,00000373;
июнь 2019;0;0;
июль 2019;1;0,00000073;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;2;0,00000108;
декабрь 2019;2;0,00000107;
январь 2020;1;0,00000055;
февраль 2020;0;0;
март 2020;1;0,00000041;
апрель 2020;1;0,00000049;
май 2020;0;0;
июнь 2020;1;0,00000063;
июль 2020;1;0,00000062;
август 2020;2;0,00000110;
сентябрь 2020;2;0,00000096;
октябрь 2020;3;0,00000138;
ноябрь 2020;1;0,00000044;
декабрь 2020;0;0;
январь 2021;1;0,00000044;
февраль 2021;0;0;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;1;0,00000054;
август 2021;0;0;
сентябрь 2021;1;0,00000044;
октябрь 2021;1;0,00000041;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;2;0,00000084;
февраль 2022;8;0,00000311;
март 2022;3;0,00000124;
апрель 2022;1;0,00000043;
май 2022;4;0,00000191;
июнь 2022;4;0,00000204;
июль 2022;3;0,00000149;
август 2022;0;0;
сентябрь 2022;3;0,00000122;
октябрь 2022;3;0,00000120;
ноябрь 2022;5;0,00000195;
декабрь 2022;1;0,00000039;
январь 2023;4;0,00000171;
февраль 2023;6;0,00000238;
март 2023;2;0,00000085;
апрель 2023;0;0;
май 2023;1;0,00000048;
июнь 2023;2;0,00000100;
июль 2023;2;0,00000097;
август 2023;5;0,00000219;
сентябрь 2023;4;0,00000162;
октябрь 2023;5;0,00000206;
ноябрь 2023;1;0,00000039;
декабрь 2023;8;0,00000320;
январь 2024;1;0,00000042;
февраль 2024;2;0,00000084;
март 2024;3;0,00000136;
апрель 2024;1;0,00000046;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;6;0,00000324;
август 2024;2;0,00000101;
сентябрь 2024;3;0,00000130;
октябрь 2024;0;0;
ноябрь 2024;3;0,00000124;
декабрь 2024;0;0;
