"Country","Year","Month","Variable","Value"
"Kyrgyzstan",2009,3,"GDP billion currency units",33.86
"Kyrgyzstan",2009,3,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2009,3,"Household consumption billion currency units",34.29
"Kyrgyzstan",2009,3,"Consumption as percent of GDP",101.27
"Kyrgyzstan",2009,3,"Consumption growth",-3.44
"Kyrgyzstan",2009,3,"Investment billion currency units",6.37
"Kyrgyzstan",2009,3,"Investment as percent of GDP",18.8
"Kyrgyzstan",2009,3,"Investment growth",25.77
"Kyrgyzstan",2009,3,"Government expenditure billion currency units",6.9
"Kyrgyzstan",2009,6,"GDP billion currency units",43.69
"Kyrgyzstan",2009,6,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2009,6,"Household consumption billion currency units",32.27
"Kyrgyzstan",2009,6,"Consumption as percent of GDP",73.86
"Kyrgyzstan",2009,6,"Consumption growth",-20.39
"Kyrgyzstan",2009,6,"Investment billion currency units",13.34
"Kyrgyzstan",2009,6,"Investment as percent of GDP",30.52
"Kyrgyzstan",2009,6,"Investment growth",23.33
"Kyrgyzstan",2009,6,"Government expenditure billion currency units",10.06
"Kyrgyzstan",2009,9,"GDP billion currency units",61.91
"Kyrgyzstan",2009,9,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2009,9,"Household consumption billion currency units",48.73
"Kyrgyzstan",2009,9,"Consumption as percent of GDP",78.71
"Kyrgyzstan",2009,9,"Consumption growth",-6.2
"Kyrgyzstan",2009,9,"Investment billion currency units",18.06
"Kyrgyzstan",2009,9,"Investment as percent of GDP",29.18
"Kyrgyzstan",2009,9,"Investment growth",1.49
"Kyrgyzstan",2009,9,"Government expenditure billion currency units",8.23
"Kyrgyzstan",2009,12,"GDP billion currency units",61.76
"Kyrgyzstan",2009,12,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2009,12,"Household consumption billion currency units",42.23
"Kyrgyzstan",2009,12,"Consumption as percent of GDP",68.38
"Kyrgyzstan",2009,12,"Consumption growth",-8.13
"Kyrgyzstan",2009,12,"Investment billion currency units",19
"Kyrgyzstan",2009,12,"Investment as percent of GDP",30.76
"Kyrgyzstan",2009,12,"Investment growth",13.99
"Kyrgyzstan",2009,12,"Government expenditure billion currency units",11.9
"Kyrgyzstan",2010,3,"GDP billion currency units",42.03
"Kyrgyzstan",2010,3,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2010,3,"Household consumption billion currency units",34.76
"Kyrgyzstan",2010,3,"Consumption as percent of GDP",82.69
"Kyrgyzstan",2010,3,"Consumption growth",1.36
"Kyrgyzstan",2010,3,"Investment billion currency units",7.64
"Kyrgyzstan",2010,3,"Investment as percent of GDP",18.18
"Kyrgyzstan",2010,3,"Investment growth",20.05
"Kyrgyzstan",2010,3,"Government expenditure billion currency units",7.34
"Kyrgyzstan",2010,6,"GDP billion currency units",45.49
"Kyrgyzstan",2010,6,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2010,6,"Household consumption billion currency units",32.91
"Kyrgyzstan",2010,6,"Consumption as percent of GDP",72.34
"Kyrgyzstan",2010,6,"Consumption growth",1.99
"Kyrgyzstan",2010,6,"Investment billion currency units",15.14
"Kyrgyzstan",2010,6,"Investment as percent of GDP",33.27
"Kyrgyzstan",2010,6,"Investment growth",13.49
"Kyrgyzstan",2010,6,"Government expenditure billion currency units",11.11
"Kyrgyzstan",2010,9,"GDP billion currency units",62.22
"Kyrgyzstan",2010,9,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2010,9,"Household consumption billion currency units",58.18
"Kyrgyzstan",2010,9,"Consumption as percent of GDP",93.5
"Kyrgyzstan",2010,9,"Consumption growth",19.39
"Kyrgyzstan",2010,9,"Investment billion currency units",18.3
"Kyrgyzstan",2010,9,"Investment as percent of GDP",29.4
"Kyrgyzstan",2010,9,"Investment growth",1.28
"Kyrgyzstan",2010,9,"Government expenditure billion currency units",9.96
"Kyrgyzstan",2010,12,"GDP billion currency units",70.62
"Kyrgyzstan",2010,12,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2010,12,"Household consumption billion currency units",60.58
"Kyrgyzstan",2010,12,"Consumption as percent of GDP",85.77
"Kyrgyzstan",2010,12,"Consumption growth",43.44
"Kyrgyzstan",2010,12,"Investment billion currency units",20.11
"Kyrgyzstan",2010,12,"Investment as percent of GDP",28.47
"Kyrgyzstan",2010,12,"Investment growth",5.84
"Kyrgyzstan",2010,12,"Government expenditure billion currency units",11.54
"Kyrgyzstan",2011,3,"GDP billion currency units",50.69
"Kyrgyzstan",2011,3,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2011,3,"Household consumption billion currency units",44.09
"Kyrgyzstan",2011,3,"Consumption as percent of GDP",86.99
"Kyrgyzstan",2011,3,"Consumption growth",26.87
"Kyrgyzstan",2011,3,"Investment billion currency units",8
"Kyrgyzstan",2011,3,"Investment as percent of GDP",15.78
"Kyrgyzstan",2011,3,"Investment growth",4.69
"Kyrgyzstan",2011,3,"Government expenditure billion currency units",9.49
"Kyrgyzstan",2011,6,"GDP billion currency units",62.28
"Kyrgyzstan",2011,6,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2011,6,"Household consumption billion currency units",48.09
"Kyrgyzstan",2011,6,"Consumption as percent of GDP",77.22
"Kyrgyzstan",2011,6,"Consumption growth",46.13
"Kyrgyzstan",2011,6,"Investment billion currency units",13.73
"Kyrgyzstan",2011,6,"Investment as percent of GDP",22.05
"Kyrgyzstan",2011,6,"Investment growth",-9.27
"Kyrgyzstan",2011,6,"Government expenditure billion currency units",14.46
"Kyrgyzstan",2011,9,"GDP billion currency units",88.28
"Kyrgyzstan",2011,9,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2011,9,"Household consumption billion currency units",72.54
"Kyrgyzstan",2011,9,"Consumption as percent of GDP",82.17
"Kyrgyzstan",2011,9,"Consumption growth",24.68
"Kyrgyzstan",2011,9,"Investment billion currency units",23.18
"Kyrgyzstan",2011,9,"Investment as percent of GDP",26.26
"Kyrgyzstan",2011,9,"Investment growth",26.71
"Kyrgyzstan",2011,9,"Government expenditure billion currency units",13.87
"Kyrgyzstan",2011,12,"GDP billion currency units",84.73
"Kyrgyzstan",2011,12,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2011,12,"Household consumption billion currency units",73.8
"Kyrgyzstan",2011,12,"Consumption as percent of GDP",87.09
"Kyrgyzstan",2011,12,"Consumption growth",21.82
"Kyrgyzstan",2011,12,"Investment billion currency units",22.84
"Kyrgyzstan",2011,12,"Investment as percent of GDP",26.95
"Kyrgyzstan",2011,12,"Investment growth",13.57
"Kyrgyzstan",2011,12,"Government expenditure billion currency units",14.31
"Kyrgyzstan",2012,3,"GDP billion currency units",55.5
"Kyrgyzstan",2012,3,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2012,3,"Household consumption billion currency units",55.98
"Kyrgyzstan",2012,3,"Consumption as percent of GDP",100.87
"Kyrgyzstan",2012,3,"Consumption growth",26.95
"Kyrgyzstan",2012,3,"Investment billion currency units",14.3
"Kyrgyzstan",2012,3,"Investment as percent of GDP",25.76
"Kyrgyzstan",2012,3,"Investment growth",78.69
"Kyrgyzstan",2012,3,"Government expenditure billion currency units",11.59
"Kyrgyzstan",2012,6,"GDP billion currency units",68.01
"Kyrgyzstan",2012,6,"Retail sales Y-on-Y",NA
"Kyrgyzstan",2012,6,"Household consumption billion currency units",66.42
"Kyrgyzstan",2012,6,"Consumption as percent of GDP",97.66
"Kyrgyzstan",2012,6,"Consumption growth",38.12
"Kyrgyzstan",2012,6,"Investment billion currency units",21.07
"Kyrgyzstan",2012,6,"Investment as percent of GDP",30.98
"Kyrgyzstan",2012,6,"Investment growth",53.43
"Kyrgyzstan",2012,6,"Government expenditure billion currency units",16.25
