Year,Region,Fitted Values,Lower Bound,Upper Bound
2019,Altai Krai,-384.68745960674755,-2515.187725774106,1745.8128065606109
2020,Altai Krai,-60.53479446117149,-2191.0350606285297,2069.9654717061867
2021,Altai Krai,274.277021760512,-1856.2232444068468,2404.77728792787
2022,Altai Krai,257.39957774343316,-1873.1006884239255,2387.899843910792
2023,Altai Krai,107.33995582951968,-2023.1603103378388,2237.840221996878
2024,Altai Krai,440.9259030878792,-1689.574363079479,2571.4261692552377
2019,Altai Republic,-248.74227323878085,-2379.2425394061397,1881.7579929285776
2020,Altai Republic,-111.90238923865945,-2242.402655406018,2018.597876928699
2021,Altai Republic,93.08166203324959,-2037.4186041341086,2223.581928200608
2022,Altai Republic,115.53136190630369,-2014.9689042610548,2246.031628073662
2023,Altai Republic,92.33141008004179,-2038.1688560873163,2222.8316762474005
2024,Altai Republic,3985.937654880102,1855.4373887127435,6116.43792104746
2019,Amur Oblast,156.9530620973245,-1973.5472040700338,2287.4533282646835
2020,Amur Oblast,275.09192050491794,-1855.4083456624408,2405.5921866722765
2021,Amur Oblast,366.0267898420447,-1764.4734763253136,2496.527056009403
2022,Amur Oblast,332.93110657013625,-1797.569159597222,2463.4313727374947
2023,Amur Oblast,1180.0254937287577,-950.4747724386009,3310.525759896116
2024,Amur Oblast,591.2464352792917,-1539.2538308880667,2721.74670144665
2019,Arkhangel'skaya Oblast',-334.38191222846535,-2464.8821783958238,1796.118353938893
2020,Arkhangel'skaya Oblast',-250.96248052070882,-2381.4627466880675,1879.5377856466496
2021,Arkhangel'skaya Oblast',40.45859068539323,-2090.0416754819653,2170.9588568527515
2022,Arkhangel'skaya Oblast',216.81630715092,-1913.6839590164386,2347.3165733182786
2023,Arkhangel'skaya Oblast',24.387140235571565,-2106.1131259317867,2154.8874064029305
2024,Arkhangel'skaya Oblast',-146.40092247573955,-2276.901188643098,1984.099343691619
2019,Astrakhan Oblast,-365.6445123743697,-2496.144778541728,1764.8557537929887
2020,Astrakhan Oblast,-169.96886598020797,-2300.4691321475666,1960.5314001871504
2021,Astrakhan Oblast,127.23920788337887,-2003.2610582839793,2257.7394740507375
2022,Astrakhan Oblast,116.00607883213956,-2014.494187335219,2246.5063449994977
2023,Astrakhan Oblast,62.48339789412694,-2068.0168682732315,2192.9836640614853
2024,Astrakhan Oblast,80.0154281897652,-2050.4848379775935,2210.5156943571237
2019,Belgorod Oblast,400.76228636529686,-1729.7379798020615,2531.2625525326557
2020,Belgorod Oblast,352.06308402316614,-1778.4371821441923,2482.563350190525
2021,Belgorod Oblast,370.95926489889035,-1759.5410012684683,2501.459531066249
2022,Belgorod Oblast,418.7067448252789,-1711.7935213420797,2549.207010992637
2023,Belgorod Oblast,569.1753376170584,-1561.3249285502998,2699.675603784417
2024,Belgorod Oblast,1466.6152094017664,-663.885056765592,3597.115475569125
2019,Bryansk Oblast,-278.41614697543514,-2408.9164131427938,1852.0841191919233
2020,Bryansk Oblast,-166.69801617554958,-2297.198282342908,1963.8022499918088
2021,Bryansk Oblast,53.48664631457905,-2077.0136198527794,2183.986912481938
2022,Bryansk Oblast,55.674684879347865,-2074.8255812880107,2186.1749510467066
2023,Bryansk Oblast,32.25607148273468,-2098.2441946846234,2162.756337650093
2024,Bryansk Oblast,113.7122911394249,-2016.7879750279335,2244.2125573067833
2019,Chechen Republic,-80.20921603725458,-2210.709482204613,2050.291050130104
2020,Chechen Republic,-185.07198729903416,-2315.572253466393,1945.4282788683242
2021,Chechen Republic,44.112187876626535,-2086.388078290732,2174.612454043985
