"","Coefficient","Robust_SE","P_value","Significance"
"privatetravelers.Q1",11.4833469106429,0.0755638446917808,2.59288055556467e-68,"***"
"privatetravelers.Q2",11.6669920402943,0.0537801177847101,4.97014407806932e-76,"***"
"privatetravelers.Q3",11.8039889861738,0.0609618634673114,1.45149042349252e-73,"***"
"privatetravelers.Q4",11.5835910473513,0.0591722544687239,8.40222670990085e-74,"***"
"privatetravelers.post_war",-0.038794285068176,0.00740574625107857,3.24678492377745e-06,"***"
"privatetravelers.time_trend",-0.011297664138238,0.00175159266990687,4.35318519545994e-08,"***"
"privatetravelers.covid",-0.107985561654073,0.0661707226669731,0.108978806846872,"ns"
"privatetravelers.log_mediazona",0.105852158636916,0.0376376004702666,0.00700820900074433,"**"
"privatetravelers.log_mediazona_lag1",0.0471294077215901,0.0846484901179938,0.580170946427702,"ns"
"privatetravelers.log_mediazona_lag2",-0.101648659840159,0.0788603607570307,0.203340205444187,"ns"
"businessvisitors.Q1",10.293219003171,0.115823965534803,1.77853711311527e-58,"***"
"businessvisitors.Q2",10.355939007049,0.110086243062965,9.40310001552224e-60,"***"
"businessvisitors.Q3",10.3318021598678,0.111280251036518,1.85297276420191e-59,"***"
"businessvisitors.Q4",10.3562433005209,0.109529333385275,7.22319161428907e-60,"***"
"businessvisitors.war",-0.391266815328094,0.135937826054135,0.00578986871554619,"**"
"businessvisitors.post_war",-0.0587730457045929,0.0145843341443077,0.000182743191233598,"***"
"businessvisitors.time_trend",0.0383922597157254,0.00331247816237851,4.99369484296823e-16,"***"
"businessvisitors.covid",-0.254055598982099,0.107842600675725,0.0222884479424936,"*"
"alltypes.Q1",11.4155701445061,0.136458489058486,4.03689967204642e-57,"***"
"alltypes.Q2",11.5976449761354,0.118254937921225,1.09032392362748e-60,"***"
"alltypes.Q3",11.8060547360682,0.120104133368087,9.68322620490018e-61,"***"
"alltypes.Q4",11.6878016015885,0.113669672739259,9.44005900574588e-62,"***"
"alltypes.war",0.916786903616632,0.202039844360606,3.39067220307822e-05,"***"
"alltypes.time_trend",0.0260871527049729,0.00495248371976594,2.68356210303763e-06,"***"
"alltypes.log_mediazona_lag1",-0.103236466418302,0.220241364099078,0.641212979329629,"ns"
"alltypes.log_mediazona_lag2",0.0831951216921309,0.226404329476052,0.714765369334245,"ns"
"transit.Q1",7.70128633557366,0.133365987138118,1.55744983635106e-49,"***"
"transit.Q2",7.93118483817841,0.113936572897408,8.83838625262756e-54,"***"
"transit.Q3",8.00211327838722,0.111991387730647,2.24545904098398e-54,"***"
"transit.Q4",8.12120843552096,0.124979633450653,3.25611436785101e-52,"***"
"transit.post_war",-0.0846984862169345,0.0342283685515894,0.0165764968119599,"*"
"transit.time_trend",-0.00934708702493153,0.00326973644441008,0.00606949347459693,"**"
"transit.log_mediazona_lag2",0.150802977988889,0.0366263969874617,0.000134772886177368,"***"
