"","Coefficient","Robust_SE","P_value","Significance"
"privatetravelers.Q1",11.3745167282694,0.069638448074857,3.59746196899463e-72,"***"
"privatetravelers.Q2",11.5952646968205,0.0594498877237383,3.5979751740547e-76,"***"
"privatetravelers.Q3",11.8273899354144,0.060605393923703,3.49284242451572e-76,"***"
"privatetravelers.Q4",11.6247921374513,0.0581500977331421,1.00027575481097e-76,"***"
"privatetravelers.time_trend",-0.0106823854656271,0.00209905703921694,5.03823776087947e-06,"***"
"privatetravelers.covid",0.18168205641892,0.0655865414940516,0.00775229289400532,"**"
"privatetravelers.log_mediazona",0.0421686736568369,0.0094399129535405,4.30492824572705e-05,"***"
"businessvisitors.Q1",10.0943124242274,0.0830733201151037,1.65571536264155e-65,"***"
"businessvisitors.Q2",10.2536356433526,0.086871603040377,7.45840812983232e-65,"***"
"businessvisitors.Q3",10.1684824969382,0.0877944467553577,1.98621969140402e-64,"***"
"businessvisitors.Q4",10.2186122828979,0.09541543890842,1.14708489950735e-62,"***"
"businessvisitors.time_trend",0.0524726138061223,0.00308480364375064,6.75281249377211e-23,"***"
"businessvisitors.covid",-0.342078909888329,0.185913178666303,0.0714799683853898,"ns"
"businessvisitors.log_mediazona",-0.033033912527406,0.0152574725631649,0.0349909207214271,"*"
"alltypes.Q1",11.5511767506404,0.0428922170973198,3.6848092585915e-86,"***"
"alltypes.Q2",11.7665405858273,0.036041805557881,1.13513852925286e-90,"***"
"alltypes.Q3",11.8768344165437,0.0421678993915722,3.27880697422604e-87,"***"
"alltypes.Q4",11.7480155423181,0.0302958880386811,1.04921529018971e-94,"***"
"alltypes.time_trend",0.0210450733932937,0.000866665840318324,9.84148417906355e-31,"***"
"transit.Q1",7.57471746145324,0.0971206975820901,2.26017183787142e-56,"***"
"transit.Q2",7.86481834372232,0.089279275736955,3.7362693917311e-59,"***"
"transit.Q3",7.96401584902218,0.103449938478805,4.47882616184132e-56,"***"
"transit.Q4",8.11658436360406,0.123401258435776,1.72435973320677e-52,"***"
"transit.covid",0.506144674449217,0.167812282164418,0.00392586655006427,"**"
"transit.log_mediazona_lag2",0.0491232079490362,0.0144469126254646,0.00128641165180729,"**"
