"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",7.47719401013035,2.14858388504382,3.48005682355653,0.000778528846517662
"Month02",7.52698181746828,2.12802036525062,3.53708166537297,0.000645022768381657
"Month03",7.65371744151337,2.1321182897481,3.58972458437924,0.000541258571134266
"Month04",7.66105383101546,2.06175691305238,3.71578908382243,0.000353286960972293
"Month05",8.0563604152172,2.2612137185577,3.56284784100633,0.000592083052908033
"Month06",7.86909133074803,2.12450327486421,3.70396761626596,0.000367850755630352
"Month07",7.8435693300252,2.10793868443658,3.72096654800074,0.000347082606435891
"Month08",7.79642563944768,2.05801251120823,3.78832762045285,0.000275242538624615
"Month09",7.87743357297065,2.09587931578688,3.75853395452455,0.000305070887276255
"Month10",7.87309744676012,2.10224044345901,3.74509845972032,0.00031950677093323
"Month11",7.76450894913532,2.12125693086922,3.66033403881616,0.000426701846770788
"Month12",7.84272514362284,2.2670724147005,3.45940654245,0.000833010563770915
"log_avg_nominal_gross_wages_RUSmoscowoblast",2.75923589960879,1.41219681451877,1.95386073048823,0.0538579110716273
"log_avg_nominal_gross_wages_RUSsakha",-1.46893409450928,1.10511739273284,-1.32921090932861,0.187175757227164
"log_avg_nominal_gross_wages_RUSsakhalin",-0.85411846429599,0.598797550250924,-1.42638937640622,0.157254497413679
"log_KGZ_BRE_RUBLE",-1.34286078128548,0.293596898097342,-4.5738248257659,1.54121256159174e-05
