"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",10.4055243402561,0.671196980184969,15.5029367643885,1.17276947356706e-32
"Month02",10.493258088323,0.680366690372272,15.422945063024,1.87802935304077e-32
"Month03",10.6934421885245,0.67911906452097,15.7460491792663,2.81429315561903e-33
"Month04",10.6722429870939,0.662803075794076,16.1016799360925,3.52578269332385e-34
"Month05",10.832718863517,0.676234006166308,16.0191867973775,5.70182235371734e-34
"Month06",10.9055670871521,0.672436444263532,16.2179893433589,1.79243421147915e-34
"Month07",10.9010403139483,0.67875688324135,16.0603016825276,4.48672761889097e-34
"Month08",10.9254436002104,0.668259603371006,16.3491007762515,8.37490962160923e-35
"Month09",10.929514898272,0.674991432402734,16.1920794451668,2.08373131811457e-34
"Month10",10.9373111007921,0.674122856016663,16.2245071550011,1.72582441767517e-34
"Month11",10.7797043009082,0.673982268086864,15.994047338229,6.60225688178718e-34
"Month12",10.7627516784548,0.678526896124621,15.8619381780234,1.42819512049008e-33
"time_trend",0.0057233436663599,0.000389587283931266,14.6907866412027,1.43591068413147e-30
"log_KGZ_BRE_RUBLE",-1.24861403548077,0.143665259360152,-8.69113410605858,6.72227331398494e-15
"covid",-0.149652160639929,0.0855073705343233,-1.75016679503502,0.0821902968590317
"post_war",0.000380430818354655,0.000155825912132184,2.44138354878965,0.0158269611093513
"log_mediazona_lag1",-0.0542079898478358,0.0234773260612122,-2.30895075983099,0.0223494173888452
"log_mediazona_lag2",0.0958714513068333,0.0484901646375122,1.97713189929379,0.0499101179819927
"log_mediazona_lag3",-0.0781692924277124,0.0441051607005206,-1.77233890969112,0.0784239580060565
