"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",4.63491650410127,1.81942707250286,2.54745934813718,0.0125676492827179
"Month02",4.63567802174328,1.78351382312701,2.59918255840351,0.0109379686313345
"Month03",4.6630568552494,1.75278336644086,2.6603726076646,0.0092581336782711
"Month04",4.68682786477623,1.7277326148072,2.71270439916957,0.00801109862903634
"Month05",4.92622538238936,1.79389278006116,2.74610915275628,0.00729715824442491
"Month06",4.85826206552117,1.75341204971405,2.77074750701837,0.00680831517684948
"Month07",5.00211870730562,1.78861226499428,2.79664788462222,0.0063268530505921
"Month08",5.00302900436066,1.77768493360163,2.81435079399836,0.00601592208276297
"Month09",4.95867489047225,1.7624353697322,2.81353573335612,0.00602992455445926
"Month10",4.9459965017327,1.7625015549153,2.80623667419708,0.00615665727717422
"Month11",4.79174160462395,1.7619069026757,2.71963382250619,0.00785797127778172
"Month12",4.58945236323838,1.78749068500178,2.56753917754476,0.0119106466987599
"log_avg_nominal_gross_wages_RUSmoscowoblast",2.09554197856365,0.768735407675377,2.72596000865952,0.0077205074635964
"log_avg_nominal_gross_wages_RUSsakhalin",-1.42694628615806,0.755356725595742,-1.88910250985406,0.0621343007270722
"log_KGZ_BRE_RUBLE",-1.28555853195782,0.255655273977258,-5.02848430215515,2.54308498418581e-06
"log_mediazona_lag4",-0.0242912313491848,0.011371243241867,-2.13619837624691,0.0354082482268508
