Category: All categories

Month,работа: (Russia)
2004-01,56
2004-02,49
2004-03,51
2004-04,52
2004-05,51
2004-06,52
2004-07,57
2004-08,55
2004-09,58
2004-10,55
2004-11,54
2004-12,47
2005-01,61
2005-02,59
2005-03,62
2005-04,60
2005-05,61
2005-06,57
2005-07,57
2005-08,60
2005-09,65
2005-10,60
2005-11,61
2005-12,54
2006-01,63
2006-02,65
2006-03,66
2006-04,60
2006-05,67
2006-06,65
2006-07,62
2006-08,62
2006-09,67
2006-10,65
2006-11,65
2006-12,49
2007-01,61
2007-02,59
2007-03,61
2007-04,54
2007-05,58
2007-06,64
2007-07,62
2007-08,59
2007-09,70
2007-10,76
2007-11,72
2007-12,61
2008-01,74
2008-02,77
2008-03,75
2008-04,77
2008-05,73
2008-06,77
2008-07,82
2008-08,72
2008-09,88
2008-10,88
2008-11,86
2008-12,72
2009-01,100
2009-02,100
2009-03,94
2009-04,86
2009-05,83
2009-06,88
2009-07,92
2009-08,85
2009-09,92
2009-10,87
2009-11,82
2009-12,67
2010-01,78
2010-02,80
2010-03,80
2010-04,73
2010-05,70
2010-06,69
2010-07,65
2010-08,67
2010-09,72
2010-10,70
2010-11,69
2010-12,58
2011-01,73
2011-02,73
2011-03,73
2011-04,65
2011-05,69
2011-06,63
2011-07,64
2011-08,60
2011-09,67
2011-10,67
2011-11,65
2011-12,56
2012-01,67
2012-02,65
2012-03,61
2012-04,64
2012-05,61
2012-06,57
2012-07,58
2012-08,56
2012-09,62
2012-10,65
2012-11,62
2012-12,52
2013-01,62
2013-02,66
2013-03,63
2013-04,63
2013-05,61
2013-06,58
2013-07,59
2013-08,53
2013-09,62
2013-10,68
2013-11,65
2013-12,60
2014-01,66
2014-02,73
2014-03,72
2014-04,69
2014-05,68
2014-06,61
2014-07,64
2014-08,60
2014-09,71
2014-10,73
2014-11,71
2014-12,65
2015-01,77
2015-02,83
2015-03,80
2015-04,82
2015-05,74
2015-06,71
2015-07,72
2015-08,67
2015-09,81
2015-10,82
2015-11,78
2015-12,72
2016-01,83
2016-02,88
2016-03,87
2016-04,78
2016-05,75
2016-06,68
2016-07,66
2016-08,63
2016-09,76
2016-10,78
2016-11,81
2016-12,68
2017-01,75
2017-02,80
2017-03,78
2017-04,72
2017-05,73
2017-06,63
2017-07,62
2017-08,61
2017-09,67
2017-10,76
2017-11,67
2017-12,61
2018-01,70
2018-02,74
2018-03,67
2018-04,67
2018-05,69
2018-06,53
2018-07,53
2018-08,53
2018-09,62
2018-10,67
2018-11,66
2018-12,57
2019-01,69
2019-02,67
2019-03,66
2019-04,65
2019-05,67
2019-06,53
2019-07,53
2019-08,48
2019-09,61
2019-10,65
2019-11,63
2019-12,60
2020-01,64
2020-02,66
2020-03,60
2020-04,57
2020-05,52
2020-06,51
2020-07,47
2020-08,45
2020-09,54
2020-10,57
2020-11,54
2020-12,51
2021-01,55
2021-02,58
2021-03,56
2021-04,52
2021-05,48
2021-06,39
2021-07,39
2021-08,38
2021-09,48
2021-10,50
2021-11,49
2021-12,44
2022-01,47
2022-02,47
2022-03,51
2022-04,51
2022-05,53
2022-06,40
2022-07,39
2022-08,37
2022-09,46
2022-10,50
2022-11,49
2022-12,46
2023-01,46
2023-02,45
2023-03,47
2023-04,44
2023-05,46
2023-06,34
2023-07,31
2023-08,30
2023-09,39
2023-10,44
2023-11,42
2023-12,39
2024-01,40
2024-02,41
2024-03,36
2024-04,40
2024-05,38
2024-06,30
2024-07,29
2024-08,28
2024-09,38
2024-10,42
2024-11,40
2024-12,42
2025-01,44
2025-02,42
