Category: All categories

Month,Золотая Корона: (Russia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,19
2007-08,0
2007-09,0
2007-10,0
2007-11,15
2007-12,0
2008-01,20
2008-02,0
2008-03,0
2008-04,13
2008-05,12
2008-06,14
2008-07,18
2008-08,12
2008-09,0
2008-10,7
2008-11,0
2008-12,12
2009-01,0
2009-02,0
2009-03,8
2009-04,0
2009-05,10
2009-06,10
2009-07,14
2009-08,11
2009-09,11
2009-10,11
2009-11,7
2009-12,11
2010-01,9
2010-02,10
2010-03,13
2010-04,17
2010-05,18
2010-06,17
2010-07,23
2010-08,21
2010-09,17
2010-10,26
2010-11,24
2010-12,26
2011-01,16
2011-02,21
2011-03,25
2011-04,22
2011-05,27
2011-06,29
2011-07,32
2011-08,29
2011-09,31
2011-10,29
2011-11,28
2011-12,31
2012-01,29
2012-02,28
2012-03,28
2012-04,31
2012-05,28
2012-06,38
2012-07,37
2012-08,34
2012-09,34
2012-10,35
2012-11,34
2012-12,40
2013-01,29
2013-02,30
2013-03,35
2013-04,36
2013-05,41
2013-06,41
2013-07,47
2013-08,43
2013-09,39
2013-10,38
2013-11,37
2013-12,46
2014-01,34
2014-02,37
2014-03,39
2014-04,37
2014-05,45
2014-06,48
2014-07,48
2014-08,48
2014-09,47
2014-10,43
2014-11,44
2014-12,55
2015-01,39
2015-02,40
2015-03,40
2015-04,36
2015-05,38
2015-06,44
2015-07,49
2015-08,45
2015-09,43
2015-10,43
2015-11,43
2015-12,51
2016-01,38
2016-02,40
2016-03,42
2016-04,40
2016-05,41
2016-06,48
2016-07,52
2016-08,64
2016-09,55
2016-10,60
2016-11,43
2016-12,47
2017-01,39
2017-02,42
2017-03,45
2017-04,52
2017-05,47
2017-06,55
2017-07,56
2017-08,52
2017-09,50
2017-10,49
2017-11,47
2017-12,56
2018-01,46
2018-02,43
2018-03,49
2018-04,50
2018-05,52
2018-06,57
2018-07,55
2018-08,58
2018-09,53
2018-10,48
2018-11,48
2018-12,51
2019-01,47
2019-02,49
2019-03,48
2019-04,48
2019-05,49
2019-06,52
2019-07,52
2019-08,51
2019-09,47
2019-10,43
2019-11,41
2019-12,49
2020-01,36
2020-02,37
2020-03,40
2020-04,30
2020-05,36
2020-06,42
2020-07,41
2020-08,42
2020-09,40
2020-10,34
2020-11,33
2020-12,39
2021-01,30
2021-02,33
2021-03,40
2021-04,42
2021-05,39
2021-06,38
2021-07,39
2021-08,41
2021-09,41
2021-10,42
2021-11,38
2021-12,39
2022-01,32
2022-02,38
2022-03,91
2022-04,95
2022-05,94
2022-06,100
2022-07,81
2022-08,68
2022-09,75
2022-10,74
2022-11,59
2022-12,53
2023-01,45
2023-02,48
2023-03,60
2023-04,50
2023-05,44
2023-06,43
2023-07,45
2023-08,47
2023-09,38
2023-10,35
2023-11,35
2023-12,34
2024-01,28
2024-02,30
2024-03,34
2024-04,29
2024-05,29
2024-06,34
2024-07,31
2024-08,34
2024-09,32
2024-10,26
2024-11,24
2024-12,29
2025-01,36
2025-02,39
