region,Year,count_ailyk_sum,count_ailyk_average,count_aviabilet_bishkek_sum,count_aviabilet_bishkek_average,count_bilet_bishkek_sum,count_bilet_bishkek_average,count_jumush_izdeim_sum,count_jumush_izdeim_average,count_jumush_sum,count_jumush_average,count_perevod_deneg_v_kyrgyzstan_sum,count_perevod_deneg_v_kyrgyzstan_average,count_perevod_deneg_sum,count_perevod_deneg_average,count_poisk_raboty_sum,count_poisk_raboty_average,count_rabota_sum,count_rabota_average,count_unistream_kyrgyzstan_sum,count_unistream_kyrgyzstan_average,count_unistream_sum,count_unistream_average,count_vakancii_sum,count_vakancii_average,count_zarplata_sum,count_zarplata_average,count_zolotaya_korona_kyrgyzstan_sum,count_zolotaya_korona_kyrgyzstan_average,count_zolotaya_korona_sum,count_zolotaya_korona_average,pct_ailyk_average,pct_aviabilet_bishkek_average,pct_bilet_bishkek_average,pct_jumush_izdeim_average,pct_jumush_average,pct_perevod_deneg_v_kyrgyzstan_average,pct_perevod_deneg_average,pct_poisk_raboty_average,pct_rabota_average,pct_unistream_kyrgyzstan_average,pct_unistream_average,pct_vakancii_average,pct_zarplata_average,pct_zolotaya_korona_kyrgyzstan_average,pct_zolotaya_korona_average
Altai Krai,2017,0,0,92,92,181,181,0,0,6,6,0,0,2546,2546,2254,2254,668866,668866,0,0,310,310,221719,221719,74056,74056,0,0,1419,1419,0,1.08e-4,2.14e-4,0,7.09e-6,0,0.003,0.0026,0.79,0,3.66e-4,0.26,0.087,0,0.00167
Altai Krai,2018,2,0.16666666666666666,1447,120.58333333333333,3139,261.5833333333333,0,0,104,8.666666666666668,5,0.41666666666666663,32169,2680.75,24233,2019.4166666666667,7513697,626141.4166666666,0,0,3408,284,2349651,195804.25,684308,57025.666666666664,10,0.8333333333333333,18336,1528,1.8583333333333328e-7,1.5008333333333334e-4,3.3058333333333334e-4,0,1.03175e-5,5.1e-7,0.0032416666666666666,0.002416666666666667,0.7491666666666666,0,3.4766666666666664e-4,0.23333333333333334,0.06891666666666667,1.0108333333333333e-6,0.0018600000000000001
Altai Krai,2019,5,0.41666666666666674,1391,115.91666666666667,3372,281,0,0,15,1.25,9,0.75,27402,2283.5,23848,1987.3333333333333,8008059,667338.25,0,0,3333,277.75,2547357,212279.75,613979,51164.916666666664,28,2.333333333333333,19923,1660.25,4.6500000000000005e-7,1.3866666666666666e-4,3.4175e-4,0,1.5458333333333333e-6,9.633333333333334e-7,0.0026333333333333334,0.002275,0.7691666666666667,0,3.226666666666667e-4,0.24583333333333335,0.05991666666666667,2.5541666666666666e-6,0.0019741666666666666
Altai Krai,2020,1,0.08333333333333333,1408,117.33333333333334,1913,159.41666666666666,0,0,33,2.75,7,0.5833333333333333,33982,2831.8333333333335,33521,2793.4166666666665,10432877,869406.4166666666,1,0.08333333333333333,3635,302.9166666666667,2816705,234725.41666666666,617959,51496.583333333336,31,2.583333333333333,19289,1607.4166666666667,6.833333333333332e-8,1.0758333333333334e-4,1.4933333333333332e-4,0,2.5116666666666666e-6,5.533333333333334e-7,0.0025833333333333333,0.0025,0.785,6.833333333333332e-8,2.7783333333333333e-4,0.215,0.04716666666666667,2.5566666666666666e-6,0.0014908333333333334
Altai Krai,2021,3,0.25,2899,241.58333333333334,2729,227.41666666666666,0,0,125,10.416666666666666,13,1.0833333333333333,33235,2769.5833333333335,33296,2774.6666666666665,11567409,963950.75,0,0,2616,218,3221281,268440.0833333333,719362,59946.833333333336,21,1.75,20398,1699.8333333333333,2.2916666666666666e-7,2.0775e-4,1.945e-4,0,8.0125e-6,9.241666666666667e-7,0.0022916666666666667,0.0022916666666666667,0.8008333333333333,0,1.835e-4,0.2225,0.049833333333333334,1.5325000000000002e-6,0.0014366666666666666
Altai Krai,2022,9,0.75,4428,369,6624,552,1,0.08333333333333334,23,1.9166666666666665,14,1.1666666666666667,34688,2890.6666666666665,30866,2572.1666666666665,11382769,948564.0833333334,7,0.5833333333333333,6677,556.4166666666666,3036082,253006.83333333334,810686,67557.16666666667,30,2.5,36964,3080.3333333333335,6.15e-7,2.846666666666667e-4,4.3575e-4,6.583333333333333e-8,1.3716666666666667e-6,8.941666666666666e-7,0.0021333333333333334,0.0018916666666666667,0.705,4.5249999999999996e-7,4.2466666666666667e-4,0.18833333333333332,0.050749999999999997,1.96e-6,0.0023441666666666667
Altai Krai,2023,7,0.5833333333333333,3664,305.3333333333333,4257,354.75,0,0,20,1.6666666666666665,10,0.8333333333333334,30988,2582.3333333333335,26930,2244.1666666666665,10259304,854942,5,0.4166666666666667,3904,325.3333333333333,2500434,208369.5,755969,62997.416666666664,41,3.416666666666667,26775,2231.25,4.4333333333333336e-7,2.36e-4,2.749166666666667e-4,0,1.2925e-6,6.175e-7,0.0019333333333333333,0.00165,0.6408333333333334,3.308333333333334e-7,2.5125e-4,0.1525,0.04758333333333333,2.5383333333333337e-6,0.0016883333333333334
Altai Krai,2024,3,0.25,2247,187.25,3223,268.5833333333333,0,0,24,2,20,1.6666666666666667,27645,2303.75,28801,2400.0833333333335,8737133,794284.8181818182,12,1,2681,223.41666666666666,2308846,192403.83333333334,733445,61120.416666666664,19,1.5833333333333335,18475,1539.5833333333333,2.408333333333334e-7,1.5558333333333334e-4,2.2708333333333331e-4,0,1.7025e-6,1.3391666666666666e-6,0.0018416666666666666,0.0018833333333333334,0.6427272727272727,8.375e-7,1.8941666666666667e-4,0.15333333333333332,0.04958333333333333,1.2441666666666667e-6,0.0012641666666666667
Altai Republic,2017,0,0,17,17,15,15,0,0,0,0,0,0,164,164,171,171,46346,46346,0,0,6,6,17400,17400,3846,3846,0,0,73,73,0,2.93e-4,2.59e-4,0,0,0,0.0028,0.00295,0.8,0,1.036e-4,0.3,0.066,0,0.00126
Altai Republic,2018,3,0.25,272,22.666666666666668,480,40,0,0,2,0.16666666666666669,0,0,2099,174.91666666666666,1448,120.66666666666667,555165,46263.75,0,0,120,10,175050,14587.5,30743,2561.9166666666665,0,0,1326,110.5,4.583333333333333e-6,3.8416666666666666e-4,6.858333333333333e-4,0,3.0500000000000004e-6,0,0.0028583333333333334,0.0019833333333333335,0.7525000000000001,0,1.7014166666666668e-4,0.24083333333333334,0.042,0,0.0018258333333333334
