Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0
17532,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,66,0,0,0,0,0,1,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0
17563,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17591,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45,0,0,3,0,0,1,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
17622,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,45,2,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
17652,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,2,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0
17683,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,0,2,0,0
17713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0
17744,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,1,0,0,0,0
17775,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,47,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
