Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,1247,687,1159,1444,573,1253,742,701,1448,1709,1597,15574,1351,1110,1309,940,1254,949,544,729,41629,1094,1364,9517,2386,1287,3375,4755,599,721,4236,13221,4461,2251,2468,1301,1833,744,2280,7334,323,156,1816,5191,2254,2401,2854,5075,5953,2422,171,114,509,1047,957,741,104,980,347,115,1813,524,446,354,1776,2620,315,163,638,35,397,2872,214,525,8469,4345,1845,2142,4913,868,946
17532,997,555,1156,1140,624,1276,674,746,1287,1622,1502,15826,1236,857,1054,888,1210,968,460,629,39011,972,1282,7379,2153,951,3255,4417,543,579,3810,12521,4335,1686,2655,1216,1457,663,1862,6087,383,79,1638,4761,2283,2228,2982,5076,5130,1940,101,97,466,1016,795,651,69,809,318,75,1529,411,387,185,1617,2019,294,129,399,60,294,2614,76,463,7476,3622,1760,1915,4633,798,762
17563,1029,541,1291,929,509,1003,656,622,1480,1357,1769,16083,1273,883,1014,923,1199,1061,585,595,41862,985,1285,7092,2335,1068,2959,4427,569,606,3719,13280,5130,1951,2751,1358,1288,618,2240,6495,266,106,1626,4770,2188,2190,2923,4536,5129,1581,102,94,371,891,815,675,122,717,318,79,1422,404,343,195,1468,1900,288,120,409,22,259,2487,142,437,6840,4033,1733,2071,4344,790,723
17591,1001,516,1127,866,506,990,603,571,1104,1341,1477,14251,1117,841,927,707,1149,774,435,538,36100,877,1044,5663,1865,881,2937,3876,480,556,3510,11269,4676,1700,1982,1141,1292,561,1566,4890,258,58,1408,3710,1979,2103,2696,3960,4333,1762,139,98,345,854,680,516,110,666,220,48,1227,365,401,197,1186,1590,272,115,245,31,208,2339,90,432,6517,3688,1529,1846,3653,760,781
17622,955,551,993,790,565,958,522,520,1113,1210,1421,12164,896,646,870,709,865,738,373,402,32178,925,944,5101,1553,872,2818,3353,355,545,2734,10202,4196,1745,1556,861,1297,609,1602,5308,196,87,1293,3712,2029,1938,2813,3694,4012,1667,138,99,306,896,667,456,74,606,259,83,1217,420,305,208,1033,1444,336,114,333,27,235,2004,125,472,6022,3148,1665,2060,3641,796,713
17652,712,538,997,773,495,892,431,417,1104,1147,1283,11894,1006,677,797,685,892,615,404,350,28870,727,903,4738,1378,784,2518,2971,334,372,2573,9380,3727,1649,1373,816,1024,478,1473,4715,261,82,1234,3354,1604,1635,2075,2816,3327,1505,103,52,263,726,555,386,69,513,181,82,1141,393,273,168,1041,1246,278,96,298,38,229,1683,75,448,5037,3049,1390,1542,3227,623,636
17683,717,480,1004,859,622,896,450,443,1186,1232,1235,12504,1075,631,698,847,808,636,364,381,33205,614,959,4883,1420,698,2665,2717,410,396,2548,10257,4292,1890,1314,834,975,484,1664,5532,281,98,1429,3747,1598,1511,2211,2989,3267,1374,99,23,336,668,528,437,94,616,179,35,1248,346,234,231,1008,1263,274,116,276,21,214,2026,151,353,5314,3435,1436,1336,3103,570,629
17713,896,503,988,846,681,887,622,465,1416,1121,1300,14142,1327,851,761,956,939,824,374,499,35427,652,905,5504,1376,689,2896,2823,344,454,2519,10875,4399,1684,1366,1071,1031,540,1515,5932,356,140,1450,3809,1689,1740,2450,3530,3493,1397,107,48,366,735,618,387,61,583,182,59,1318,321,234,210,1077,1370,230,131,276,43,223,2213,119,458,5295,3445,1533,1686,3228,518,704
17744,1017,464,1322,1117,647,1219,610,548,1398,1553,1724,16690,1381,997,1137,1016,1063,942,379,564,42536,874,1117,6045,1674,814,3204,4336,429,606,3333,13371,4911,2056,1698,1132,1252,541,2075,6448,349,119,1560,4102,2074,2142,2754,4617,4742,1635,107,75,353,968,656,411,75,565,189,65,1388,327,293,209,1240,1475,293,106,414,31,237,2135,164,486,6059,3855,2057,1820,8666,539,745
17775,1159,716,1259,1204,849,1448,893,725,1715,1696,1897,18980,1567,1134,1391,1040,1262,1176,584,734,51959,1099,1453,7777,2041,1168,3853,4461,465,919,4068,15529,5663,2420,2433,1527,1847,645,2244,7260,249,134,1852,4810,2411,2640,3609,5689,5584,1868,165,109,553,1157,851,583,122,750,282,121,1641,447,430,302,1598,2146,350,148,475,36,277,2299,172,511,8395,4419,1721,2315,5113,777,831
