Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,324,43,136,337,90,143,212,111,217,404,285,5520,578,132,274,411,122,74,66,76,25347,61,180,996,325,405,456,638,42,67,538,6583,1209,580,233,211,141,134,491,2155,100,136,235,1508,310,343,405,551,1135,812,6,7,60,178,167,55,2,81,31,15,150,42,61,43,280,131,43,28,215,18,93,726,12,54,1037,778,439,258,950,107,361
17532,190,59,131,314,116,202,158,124,189,410,221,5087,420,107,282,332,164,106,69,64,25154,55,170,1049,279,328,410,665,66,42,585,6578,1151,520,227,136,101,170,579,2178,98,106,214,1521,296,261,346,586,1034,674,13,6,49,167,143,64,1,97,22,6,195,67,67,24,278,178,73,41,186,15,85,682,24,109,1091,572,426,275,821,92,255
17563,270,132,326,339,184,236,257,191,269,650,389,7356,678,135,305,395,198,133,87,77,33076,122,138,1285,300,371,404,1070,56,49,964,8808,1896,552,197,203,189,218,576,2791,85,125,503,2335,293,388,418,802,1301,909,10,7,58,232,187,65,29,74,42,32,237,49,94,51,409,238,47,33,166,6,113,846,12,58,1381,796,519,494,916,255,388
17591,241,90,200,333,114,167,252,106,238,866,336,6569,621,100,278,305,159,95,86,73,28768,121,130,921,253,467,365,1060,39,83,869,7109,1588,473,207,134,91,170,488,2166,96,73,304,1574,229,323,290,579,1239,716,8,15,27,152,169,19,23,63,53,37,182,59,87,59,264,160,46,26,149,6,116,713,22,78,1167,604,438,314,754,129,293
17622,227,118,214,310,164,150,163,123,233,430,300,5934,606,133,304,330,163,111,77,61,28805,71,114,796,243,390,458,872,54,73,708,7659,1403,498,171,180,161,125,544,2495,101,96,301,1745,262,318,403,681,1095,734,14,15,48,127,181,64,19,57,41,13,120,58,52,55,233,212,51,12,203,1,134,810,15,64,1143,595,491,267,789,109,271
17652,285,169,248,389,195,187,203,126,279,391,394,6931,749,124,268,465,185,135,71,59,30171,73,143,934,266,513,440,915,74,119,935,8545,1612,541,202,237,130,227,542,2708,76,66,397,1800,274,334,473,590,1160,707,13,10,54,241,140,95,9,85,43,24,188,53,70,52,266,191,93,23,182,17,97,792,21,64,1106,711,427,383,811,86,410
17683,264,95,229,330,158,222,231,165,245,380,328,7026,700,78,288,338,139,91,122,108,30108,91,174,913,317,532,459,824,57,77,861,8190,1673,772,207,205,135,168,787,2823,99,89,294,1816,255,327,409,781,1132,675,16,13,30,266,131,79,27,59,55,27,245,58,67,47,343,161,62,47,223,3,126,688,21,74,1259,583,410,360,828,106,271
17713,296,77,173,412,218,176,266,145,271,411,377,7120,877,140,248,359,181,91,82,80,29147,106,124,1110,473,507,550,901,58,53,594,8206,1754,837,269,178,173,189,557,2663,104,60,391,1686,367,323,345,957,1158,853,15,13,35,216,89,44,12,61,41,11,254,63,57,41,444,240,89,51,180,4,186,1047,39,59,1326,702,429,288,818,96,278
17744,170,73,132,306,118,99,256,160,214,367,268,6352,716,82,246,323,157,83,93,87,26509,63,131,829,206,343,446,476,50,74,545,7348,1523,533,202,133,165,210,510,2109,90,54,271,1754,268,300,246,503,1015,619,6,5,28,140,183,47,5,65,35,12,119,60,58,47,256,121,59,45,174,7,143,707,47,100,1245,591,371,260,795,73,262
17775,212,95,153,262,187,170,211,108,243,328,327,5712,593,165,199,281,133,53,78,52,25629,59,114,942,311,360,372,505,49,37,534,7018,1250,529,212,126,114,138,550,2137,94,50,263,1625,327,232,301,384,1050,557,11,4,43,170,154,59,1,35,40,26,207,45,68,42,242,156,45,29,174,0,119,776,25,107,1131,648,231,299,699,59,233
17805,285,84,169,261,133,235,154,188,218,333,234,5582,492,122,234,302,172,99,66,69,28248,98,75,934,230,297,329,560,65,92,550,7865,1299,654,169,140,121,109,516,2197,74,77,242,1659,300,322,346,519,1020,685,3,11,49,209,161,77,11,41,33,31,175,63,78,46,301,184,50,75,186,4,117,678,13,115,1446,741,378,444,671,99,190
17836,335,79,216,299,175,264,276,221,328,357,272,5849,503,139,258,409,186,98,92,73,27368,105,98,1064,262,306,423,631,62,83,739,8288,1404,720,248,242,142,146,687,2579,71,77,317,2087,298,368,399,495,1228,796,4,8,31,288,210,50,15,64,39,16,177,75,58,35,251,145,35,64,168,19,126,943,23,130,1869,751,391,397,529,124,327
